minutes,tags,accX_means1,accY_means1,accZ_means1,accX_medians1,accY_medians1,accZ_medians1,accX_maxes1,accY_maxes1,accZ_maxes1,accX_mins1,accY_mins1,accZ_mins1,accX_variances1,accY_variances1,accZ_variances1,accX_means5,accY_means5,accZ_means5,accX_medians5,accY_medians5,accZ_medians5,accX_maxes5,accY_maxes5,accZ_maxes5,accX_mins5,accY_mins5,accZ_mins5,accX_variances5,accY_variances5,accZ_variances5,accX_means10,accY_means10,accZ_means10,accX_medians10,accY_medians10,accZ_medians10,accX_maxes10,accY_maxes10,accZ_maxes10,accX_mins10,accY_mins10,accZ_mins10,accX_variances10,accY_variances10,accZ_variances10,accX_means20,accY_means20,accZ_means20,accX_medians20,accY_medians20,accZ_medians20,accX_maxes20,accY_maxes20,accZ_maxes20,accX_mins20,accY_mins20,accZ_mins20,accX_variances20,accY_variances20,accZ_variances20,accX_means30,accY_means30,accZ_means30,accX_medians30,accY_medians30,accZ_medians30,accX_maxes30,accY_maxes30,accZ_maxes30,accX_mins30,accY_mins30,accZ_mins30,accX_variances30,accY_variances30,accZ_variances30,tags
5.25 AM,1,0.399315685,-0.329412042,9.597817667,0.399814,-0.327992,9.59794,0.454879,-0.275321,9.63146,0.354327,-0.399814,9.56682,0.000109218,0.000117699,0.000121299,0.411404283,-0.345526731,9.599769677,0.409391,-0.339962,9.60034,0.763717,-0.0550643,9.75116,0.181951,-0.773294,9.18855,0.000680521,0.000830168,0.000271975,0.42190083,-0.354554077,9.596817792,0.414179,-0.349538,9.59794,1.26408,1.05101,9.85172,-0.246592,-1.36224,9.18855,0.002797402,0.003470779,0.000362267,0.584614578,-0.364495033,9.494097047,0.418967,-0.351933,9.59555,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,1.186831034,0.18484471,0.607103445,0.584614578,-0.364495033,9.494097047,0.418967,-0.351933,9.59555,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,1.186831034,0.18484471,0.607103445,
5.26 AM,1,0.398046803,-0.328478358,9.59439405,0.39742,-0.327992,9.59555,0.450091,-0.263351,9.62906,0.354327,-0.378268,9.56442,0.000102827,0.000132931,0.000117243,0.406486008,-0.338376357,9.599113643,0.402209,-0.33278,9.60034,0.763717,-0.0550643,9.75116,0.181951,-0.773294,9.18855,0.000659876,0.000764318,0.000277667,0.414530194,-0.35009906,9.596913927,0.406997,-0.342356,9.59794,1.26408,1.05101,9.85172,-0.246592,-1.36224,9.18855,0.002445573,0.003300215,0.000353115,0.569067263,-0.361493643,9.50245513,0.414179,-0.347144,9.59555,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,1.090595926,0.169551153,0.557289694,0.569067263,-0.361493643,9.50245513,0.414179,-0.347144,9.59555,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,1.090595926,0.169551153,0.557289694,
5.27 AM,1,0.397420358,-0.32901304,9.591740633,0.39742,-0.327992,9.59076,0.457273,-0.160405,9.62906,0.347144,-0.392632,9.55724,0.000114233,0.000186079,0.000127385,0.400683511,-0.331106281,9.597408247,0.399814,-0.330386,9.59794,0.701471,-0.148434,9.71525,0.189134,-0.773294,9.46866,0.000280709,0.000303952,0.00017222,0.411929003,-0.347013068,9.596557183,0.404603,-0.339962,9.59555,0.811599,0.0311233,9.75116,0.150828,-0.773294,9.18855,0.00105672,0.001157154,0.000247297,0.555863655,-0.358995135,9.509323246,0.411785,-0.34475,9.59555,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,1.008804742,0.156597981,0.514997107,0.555863655,-0.358995135,9.509323246,0.411785,-0.34475,9.59555,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,1.008804742,0.156597981,0.514997107,
5.28 AM,1,0.460261482,-0.350795327,9.591237783,0.402209,-0.330386,9.58597,3.66776,0.766112,14.106,-0.325597,-1.52025,9.10715,0.049763692,0.01932605,0.038079783,0.410888758,-0.333308847,9.595549643,0.399814,-0.327992,9.59555,3.66776,0.766112,14.106,-0.325597,-1.52025,9.10715,0.010644699,0.004045669,0.007725644,0.412480045,-0.343491749,9.596766247,0.402209,-0.337568,9.59555,3.66776,0.766112,14.106,-0.325597,-1.52025,9.10715,0.00588123,0.002628945,0.004018709,0.549034928,-0.358409435,9.515174284,0.409391,-0.342356,9.59555,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,0.940908019,0.146797303,0.481376635,0.549034928,-0.358409435,9.515174284,0.409391,-0.342356,9.59555,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,0.940908019,0.146797303,0.481376635,
5.29 AM,1,0.84746706,-0.655879296,9.517484017,0.878634,-0.694289,9.51415,1.51068,0.301656,10.127,-0.19871,-1.11326,9.14546,0.019735474,0.018716838,0.002551307,0.500502278,-0.398715613,9.57853483,0.402209,-0.33278,9.58836,3.66776,0.766112,14.106,-0.325597,-1.52025,9.10715,0.044638212,0.024300763,0.009136664,0.458386886,-0.374655328,9.588897277,0.406997,-0.339962,9.59555,3.66776,0.766112,14.106,-0.325597,-1.52025,9.10715,0.024579996,0.013231059,0.004825694,0.568930404,-0.378240759,9.515328266,0.414179,-0.347144,9.59315,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,0.885038135,0.143764545,0.449455278,0.568930404,-0.378240759,9.515328266,0.414179,-0.347144,9.59315,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,0.885038135,0.143764545,0.449455278,
5.30 AM,1,0.99084948,-0.711881275,9.509024667,1.01031,-0.711047,9.50936,1.36224,-0.172375,9.71286,0.33278,-1.16353,9.45669,0.00385761,0.001919393,0.000264327,0.618809037,-0.475209459,9.56077623,0.411785,-0.342356,9.57879,3.66776,0.766112,14.106,-0.325597,-1.52025,9.10715,0.077431731,0.037463743,0.009741869,0.51510666,-0.410368095,9.580272953,0.409391,-0.339962,9.59315,3.66776,0.766112,14.106,-0.325597,-1.52025,9.10715,0.049810309,0.023351358,0.005387044,0.595300346,-0.399093291,9.514934291,0.416573,-0.349538,9.59315,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,0.84039496,0.141421644,0.421383172,0.595300346,-0.399093291,9.514934291,0.416573,-0.349538,9.59315,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,0.84039496,0.141421644,0.421383172,
5.31 AM,1,0.989955783,-0.729916797,9.523022583,0.988763,-0.7302,9.52372,1.07974,-0.627254,9.56921,0.857087,-0.840329,9.47824,0.001007957,0.000620061,0.00016783,0.737190833,-0.555497147,9.546501937,0.87624,-0.675136,9.53091,3.66776,0.766112,14.106,-0.325597,-1.52025,9.10715,0.081401297,0.039784218,0.009607267,0.57183842,-0.446936752,9.57280779,0.409391,-0.339962,9.58836,3.66776,0.766112,14.106,-0.325597,-1.52025,9.10715,0.068372007,0.032059627,0.005634465,0.618515372,-0.418553497,9.515410073,0.421361,-0.354327,9.59076,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,0.799642253,0.139198392,0.396609421,0.618515372,-0.418553497,9.515410073,0.421361,-0.354327,9.59076,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,0.799642253,0.139198392,0.396609421,
5.32 AM,1,0.964562448,-0.737083113,9.5227989,0.979186,-0.744565,9.52133,1.1372,-0.392632,9.89481,0.684712,-1.08453,8.98984,0.003294969,0.002910922,0.001022725,0.850619251,-0.637111162,9.53271359,0.95764,-0.711047,9.52133,3.66776,0.766112,14.106,-0.325597,-1.52025,8.98984,0.056422213,0.030004022,0.009299275,0.625651381,-0.484108721,9.565060918,0.411785,-0.342356,9.58358,3.66776,0.766112,14.106,-0.325597,-1.52025,8.98984,0.078962003,0.038563734,0.005782097,0.637740209,-0.436249587,9.515820564,0.423755,-0.356721,9.59076,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,0.761683842,0.136950443,0.374635247,0.637740209,-0.436249587,9.515820564,0.423755,-0.356721,9.59076,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,0.761683842,0.136950443,0.374635247,
5.33 AM,1,0.933443075,-0.705317432,9.524734267,0.96961,-0.725412,9.52133,1.07974,0.100552,9.7368,0.421361,-1.00792,9.34656,0.007561503,0.004992197,0.000646232,0.945255569,-0.708015583,9.519412887,0.974398,-0.723018,9.51894,1.51068,0.301656,10.127,-0.19871,-1.16353,8.98984,0.009921862,0.006644882,0.000963374,0.678072164,-0.520662215,9.557481265,0.673939,-0.460864,9.56203,3.66776,0.766112,14.106,-0.325597,-1.52025,8.98984,0.081670253,0.04044656,0.00579371,0.653303518,-0.450411053,9.516289706,0.428544,-0.361509,9.58836,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,0.726353091,0.13361512,0.354955576,0.653303518,-0.450411053,9.516289706,0.428544,-0.361509,9.58836,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,0.726353091,0.13361512,0.354955576,
5.34 AM,1,0.978511989,-0.691012667,9.519239433,0.988763,-0.737382,9.51654,1.77403,-0.275321,10.1366,0.0263351,-1.27845,9.13588,0.00766618,0.012044074,0.001627012,0.971464555,-0.715042257,9.51976397,0.986369,-0.7302,9.51894,1.77403,0.100552,10.1366,0.0263351,-1.27845,8.98984,0.005129772,0.004775137,0.000777653,0.735983416,-0.556878935,9.5491494,0.885817,-0.672742,9.5357,3.66776,0.766112,14.106,-0.325597,-1.52025,8.98984,0.080335358,0.039553586,0.005820662,0.669563942,-0.462441133,9.516437192,0.433332,-0.363903,9.58836,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,0.695442371,0.130286302,0.337289561,0.669563942,-0.462441133,9.516437192,0.433332,-0.363903,9.58836,15.7388,5.29096,14.9416,-1.64235,-8.63073,-3.0836,0.695442371,0.130286302,0.337289561,
