minutes,tags,accX_means1,accY_means1,accZ_means1,accX_medians1,accY_medians1,accZ_medians1,accX_maxes1,accY_maxes1,accZ_maxes1,accX_mins1,accY_mins1,accZ_mins1,accX_variances1,accY_variances1,accZ_variances1,accX_means5,accY_means5,accZ_means5,accX_medians5,accY_medians5,accZ_medians5,accX_maxes5,accY_maxes5,accZ_maxes5,accX_mins5,accY_mins5,accZ_mins5,accX_variances5,accY_variances5,accZ_variances5,accX_means10,accY_means10,accZ_means10,accX_medians10,accY_medians10,accZ_medians10,accX_maxes10,accY_maxes10,accZ_maxes10,accX_mins10,accY_mins10,accZ_mins10,accX_variances10,accY_variances10,accZ_variances10,accX_means20,accY_means20,accZ_means20,accX_medians20,accY_medians20,accZ_medians20,accX_maxes20,accY_maxes20,accZ_maxes20,accX_mins20,accY_mins20,accZ_mins20,accX_variances20,accY_variances20,accZ_variances20,accX_means30,accY_means30,accZ_means30,accX_medians30,accY_medians30,accZ_medians30,accX_maxes30,accY_maxes30,accZ_maxes30,accX_mins30,accY_mins30,accZ_mins30,accX_variances30,accY_variances30,accZ_variances30
5.13 AM,1,0.33848968,-0.466729515,-9.7348686,0.337568,-0.466849,-9.73441,0.366297,-0.433332,-9.70328,0.301656,-0.497973,-9.76313,9.59E-05,9.47E-05,0.00011043,0.339952464,-0.464181406,-9.762859543,0.339962,-0.464455,-9.76792,0.371085,-0.428544,-9.70328,0.299262,-0.497973,-9.79905,9.94E-05,0.000101275,0.00029347,0.342608325,-0.463329515,-9.766950647,0.339962,-0.462061,-9.77032,0.404603,-0.42615,-9.70328,0.299262,-0.524308,-9.81102,0.000175388,0.000142655,0.000207046,0.234809237,-0.455495403,-9.57134937,0.339962,-0.462061,-9.77032,10.0911,5.46573,9.77511,-12.3224,-19.3419,-18.3125,1.259565998,0.228286049,2.687700044,0.234809237,-0.455495403,-9.57134937,0.339962,-0.462061,-9.77032,10.0911,5.46573,9.77511,-12.3224,-19.3419,-18.3125,1.259565998,0.228286049,2.687700044
5.14 AM,1,0.340193493,-0.465720045,-9.746998283,0.339962,-0.466849,-9.74877,0.371085,-0.435726,-9.70807,0.308839,-0.497973,-9.77989,9.88E-05,0.00010244,0.00014418,0.340013918,-0.464888468,-9.75847188,0.339962,-0.464455,-9.76313,0.371085,-0.430938,-9.70328,0.299262,-0.497973,-9.79426,9.90E-05,0.000101047,0.000327877,0.339806434,-0.462266536,-9.764726517,0.339962,-0.462061,-9.76792,0.375874,-0.428544,-9.70328,0.299262,-0.497973,-9.80862,0.000101006,0.000108307,0.000244344,0.243591259,-0.456347456,-9.585986779,0.339962,-0.462061,-9.76792,10.0911,5.46573,9.77511,-12.3224,-19.3419,-18.3125,1.155458762,0.209278735,2.466093847,0.243591259,-0.456347456,-9.585986779,0.339962,-0.462061,-9.76792,10.0911,5.46573,9.77511,-12.3224,-19.3419,-18.3125,1.155458762,0.209278735,2.466093847
5.15 AM,1,0.341175048,-0.467096613,-9.767148917,0.339962,-0.466849,-9.76792,0.375874,-0.43812,-9.73919,0.306445,-0.497973,-9.79426,9.94E-05,9.57E-05,0.000102737,0.340197466,-0.465842915,-9.75737137,0.339962,-0.466849,-9.76074,0.375874,-0.430938,-9.70328,0.301656,-0.497973,-9.79426,9.76E-05,9.94E-05,0.00030603,0.339654407,-0.463449616,-9.76426366,0.339962,-0.464455,-9.76792,0.375874,-0.428544,-9.70328,0.299262,-0.497973,-9.79905,9.99E-05,0.000104041,0.000242442,0.251097704,-0.457174314,-9.599922328,0.339962,-0.462061,-9.76792,10.0911,5.46573,9.77511,-12.3224,-19.3419,-18.3125,1.067261123,0.193195936,2.278732617,0.251097704,-0.457174314,-9.599922328,0.339962,-0.462061,-9.76792,10.0911,5.46573,9.77511,-12.3224,-19.3419,-18.3125,1.067261123,0.193195936,2.278732617
5.16 AM,1,0.34202097,-0.466817327,-9.7804563,0.342356,-0.466849,-9.77989,0.375874,-0.435726,-9.75116,0.313627,-0.497973,-9.80623,9.95E-05,0.000101966,8.47E-05,0.340440069,-0.466337699,-9.759719237,0.339962,-0.466849,-9.76313,0.375874,-0.433332,-9.70328,0.301656,-0.497973,-9.80623,9.82E-05,9.94E-05,0.00038275,0.33996883,-0.464313488,-9.765306722,0.339962,-0.464455,-9.76792,0.375874,-0.428544,-9.70328,0.299262,-0.497973,-9.80623,0.000100112,0.000102886,0.000264279,0.257592223,-0.457863101,-9.612817612,0.339962,-0.462061,-9.76792,10.0911,5.46573,9.77511,-12.3224,-19.3419,-18.3125,0.991583616,0.179409677,2.1181338,0.257592223,-0.457863101,-9.612817612,0.339962,-0.462061,-9.76792,10.0911,5.46573,9.77511,-12.3224,-19.3419,-18.3125,0.991583616,0.179409677,2.1181338
5.17 AM,1,0.341697772,-0.469730122,-9.764890333,0.342356,-0.469243,-9.76553,0.375874,-0.445302,-9.71047,0.311233,-0.497973,-9.79186,9.91E-05,0.000106297,0.000143139,0.340715393,-0.467218724,-9.758872487,0.339962,-0.466849,-9.76074,0.375874,-0.433332,-9.70328,0.301656,-0.497973,-9.80623,0.000100169,0.000102005,0.000374587,0.340250136,-0.465183741,-9.764535768,0.339962,-0.464455,-9.76792,0.375874,-0.428544,-9.70328,0.299262,-0.497973,-9.80623,0.00010095,0.000105246,0.0002647,0.26319926,-0.458654236,-9.622955794,0.339962,-0.464455,-9.76792,10.0911,5.46573,9.77511,-12.3224,-19.3419,-18.3125,0.925924795,0.167464881,1.97837338,0.26319926,-0.458654236,-9.622955794,0.339962,-0.464455,-9.76792,10.0911,5.46573,9.77511,-12.3224,-19.3419,-18.3125,0.925924795,0.167464881,1.97837338
5.18 AM,1,0.340069767,-0.469969572,-9.769303617,0.339962,-0.469243,-9.77032,0.373479,-0.440514,-9.73201,0.306445,-0.509943,-9.79905,0.00010334,0.000104058,0.000117606,0.34103141,-0.467866736,-9.76575949,0.339962,-0.466849,-9.76792,0.375874,-0.435726,-9.70807,0.306445,-0.509943,-9.80623,0.000100644,0.000104931,0.000235116,0.340491937,-0.466024071,-9.764309517,0.339962,-0.466849,-9.76792,0.375874,-0.428544,-9.70328,0.299262,-0.509943,-9.80623,0.000100314,0.000106498,0.000266395,0.268003666,-0.459361444,-9.632102533,0.339962,-0.464455,-9.76792,10.0911,5.46573,9.77511,-12.3224,-19.3419,-18.3125,0.868407189,0.157012332,1.855987337,0.268003666,-0.459361444,-9.632102533,0.339962,-0.464455,-9.76792,10.0911,5.46573,9.77511,-12.3224,-19.3419,-18.3125,0.868407189,0.157012332,1.855987337
5.19 AM,1,0.340009927,-0.47283849,-9.747924267,0.339962,-0.474032,-9.74877,0.373479,-0.435726,-9.71765,0.301656,-0.497973,-9.77271,9.94E-05,0.000105578,9.35E-05,0.340994697,-0.469290425,-9.765944687,0.339962,-0.469243,-9.76792,0.375874,-0.435726,-9.71047,0.301656,-0.509943,-9.80623,0.00010082,0.000107554,0.00021817,0.340504307,-0.467089446,-9.762208283,0.339962,-0.466849,-9.76553,0.375874,-0.430938,-9.70328,0.299262,-0.509943,-9.80623,0.000100174,0.000109145,0.000286984,0.272239329,-0.460154212,-9.638915576,0.339962,-0.464455,-9.76792,10.0911,5.46573,9.77511,-12.3224,-19.3419,-18.3125,0.817617311,0.147792578,1.747559793,0.272239329,-0.460154212,-9.638915576,0.339962,-0.464455,-9.76792,10.0911,5.46573,9.77511,-12.3224,-19.3419,-18.3125,0.817617311,0.147792578,1.747559793
5.20 AM,1,0.341729683,-0.472176112,-9.72525195,0.342356,-0.471637,-9.72722,0.375874,-0.445302,-9.6961,0.313627,-0.497973,-9.75595,0.000108634,9.91E-05,9.97E-05,0.341105624,-0.470306324,-9.757565293,0.339962,-0.469243,-9.76074,0.375874,-0.435726,-9.6961,0.301656,-0.509943,-9.80623,0.000102762,0.00010791,0.000478242,0.340651545,-0.46807462,-9.757468332,0.339962,-0.469243,-9.76074,0.375874,-0.430938,-9.6961,0.301656,-0.509943,-9.80623,0.000100366,0.000108613,0.000392146,0.276099904,-0.460822095,-9.643712041,0.339962,-0.464455,-9.76792,10.0911,5.46573,9.77511,-12.3224,-19.3419,-18.3125,0.772453531,0.13959497,1.650869781,0.276099904,-0.460822095,-9.643712041,0.339962,-0.464455,-9.76792,10.0911,5.46573,9.77511,-12.3224,-19.3419,-18.3125,0.772453531,0.13959497,1.650869781
5.21 AM,1,0.34234417,-0.472854463,-9.731301267,0.342356,-0.474032,-9.73201,0.373479,-0.43812,-9.67934,0.313627,-0.507549,-9.75835,0.000106179,0.000104852,0.000161377,0.341170264,-0.471513752,-9.747734287,0.339962,-0.471637,-9.74638,0.375874,-0.435726,-9.67934,0.301656,-0.509943,-9.79905,0.000104236,0.000105894,0.000430091,0.340805166,-0.468925726,-9.753726762,0.339962,-0.469243,-9.75595,0.375874,-0.433332,-9.67934,0.301656,-0.509943,-9.80623,0.000101345,0.00010935,0.00044233,0.279586444,-0.461455378,-9.648322,0.339962,-0.464455,-9.76553,10.0911,5.46573,9.77511,-12.3224,-19.3419,-18.3125,0.732022478,0.132260603,1.564372922,0.279586444,-0.461455378,-9.648322,0.339962,-0.464455,-9.76553,10.0911,5.46573,9.77511,-12.3224,-19.3419,-18.3125,0.732022478,0.132260603,1.564372922
5.22 AM,1,0.343581127,-0.47290235,-9.739800083,0.34475,-0.474032,-9.74159,0.38545,-0.447696,-9.69371,0.316021,-0.500367,-9.76553,0.000112073,0.000103511,0.000138336,0.341546935,-0.472148197,-9.742716237,0.342356,-0.471637,-9.74159,0.38545,-0.435726,-9.67934,0.301656,-0.509943,-9.79905,0.000107789,0.000104683,0.000357674,0.341131164,-0.469683461,-9.750794362,0.339962,-0.469243,-9.74877,0.38545,-0.433332,-9.67934,0.301656,-0.509943,-9.80623,0.000104152,0.000109419,0.000431386,0.282786178,-0.462027726,-9.652895904,0.342356,-0.466849,-9.76553,10.0911,5.46573,9.77511,-12.3224,-19.3419,-18.3125,0.695621485,0.125658973,1.486558684,0.282786178,-0.462027726,-9.652895904,0.342356,-0.466849,-9.76553,10.0911,5.46573,9.77511,-12.3224,-19.3419,-18.3125,0.695621485,0.125658973,1.486558684
