minutes,tags,accX_means1,accY_means1,accZ_means1,accX_medians1,accY_medians1,accZ_medians1,accX_maxes1,accY_maxes1,accZ_maxes1,accX_mins1,accY_mins1,accZ_mins1,accX_variances1,accY_variances1,accZ_variances1,accX_means5,accY_means5,accZ_means5,accX_medians5,accY_medians5,accZ_medians5,accX_maxes5,accY_maxes5,accZ_maxes5,accX_mins5,accY_mins5,accZ_mins5,accX_variances5,accY_variances5,accZ_variances5,accX_means10,accY_means10,accZ_means10,accX_medians10,accY_medians10,accZ_medians10,accX_maxes10,accY_maxes10,accZ_maxes10,accX_mins10,accY_mins10,accZ_mins10,accX_variances10,accY_variances10,accZ_variances10,accX_means20,accY_means20,accZ_means20,accX_medians20,accY_medians20,accZ_medians20,accX_maxes20,accY_maxes20,accZ_maxes20,accX_mins20,accY_mins20,accZ_mins20,accX_variances20,accY_variances20,accZ_variances20,accX_means30,accY_means30,accZ_means30,accX_medians30,accY_medians30,accZ_medians30,accX_maxes30,accY_maxes30,accZ_maxes30,accX_mins30,accY_mins30,accZ_mins30,accX_variances30,accY_variances30,accZ_variances30
7.37 AM,2,0.53559184,0.029459401,9.5870483,0.536278,0.0287292,9.58597,0.576978,0.110129,9.61949,0.457273,-0.0885817,9.56203,0.000193281,0.000206239,9.54E-05,0.557528179,0.035555577,9.581830203,0.548249,0.0335174,9.58118,0.761323,0.143646,9.69371,0.457273,-0.0885817,9.48781,0.000743786,0.000254075,0.000117464,0.564159423,0.036265428,9.57891829,0.560219,0.0359115,9.57879,0.761323,0.143646,9.69371,0.457273,-0.0885817,9.43514,0.00052787,0.000188787,0.000117505,0.513897287,0.043739807,9.580326752,0.538672,0.0430938,9.58118,2.40607,0.641618,9.79905,-0.110129,-1.20184,9.16222,0.004183942,0.000481609,0.000140774,0.491447547,0.046579077,9.581070996,0.454879,0.047882,9.58118,2.40607,0.641618,9.79905,-0.110129,-1.20184,9.16222,0.003820346,0.000367046,0.000126722
7.38 AM,2,0.540248335,0.032535819,9.579814317,0.541066,0.0335174,9.57879,0.579372,0.112523,9.61949,0.464455,-0.0359115,9.54527,0.000287416,0.000196838,0.000113087,0.554556294,0.036129363,9.581710493,0.545855,0.0335174,9.58118,0.687106,0.143646,9.62428,0.457273,-0.0885817,9.48781,0.000778436,0.00025466,0.000115163,0.560168059,0.035418315,9.579266223,0.555431,0.0335174,9.57879,0.761323,0.143646,9.69371,0.457273,-0.0885817,9.43514,0.000565312,0.000197841,0.000119962,0.518609273,0.042793539,9.580307188,0.541066,0.0430938,9.58118,2.40607,0.641618,9.79905,-0.110129,-1.20184,9.16222,0.003976722,0.000489214,0.000142112,0.494491777,0.045899153,9.580787303,0.454879,0.047882,9.58118,2.40607,0.641618,9.79905,-0.110129,-1.20184,9.16222,0.003837584,0.000375556,0.000125689
7.39 AM,2,0.584630948,0.047411161,9.57734065,0.58416,0.047882,9.5764,0.634436,0.13407,9.62428,0.54346,0.0071823,9.54767,0.000498573,0.00025461,9.53E-05,0.551220502,0.034471848,9.581755957,0.545855,0.0335174,9.58118,0.687106,0.143646,9.62428,0.457273,-0.0885817,9.48781,0.000593743,0.000234525,0.00011521,0.560612166,0.036002077,9.579497632,0.555431,0.0335174,9.57879,0.761323,0.143646,9.69371,0.457273,-0.0885817,9.43514,0.000628241,0.000225056,0.000118425,0.525610418,0.042594031,9.580153572,0.545855,0.0430938,9.58118,2.40607,0.641618,9.79905,-0.110129,-1.20184,9.16222,0.003892957,0.000494664,0.000142731,0.49909164,0.045726512,9.580555218,0.457273,0.047882,9.58118,2.40607,0.641618,9.79905,-0.110129,-1.20184,9.16222,0.004025274,0.000379363,0.000125618
7.40 AM,2,0.594797943,0.051692609,9.576470717,0.596131,0.0526702,9.5764,0.658377,0.150828,9.70328,0.517125,-0.00957639,9.52133,0.000273786,0.000175056,0.000154412,0.559392365,0.037982397,9.581017783,0.550643,0.0359115,9.58118,0.658377,0.150828,9.70328,0.457273,-0.0885817,9.52133,0.000891463,0.000275303,0.000127046,0.562180706,0.037014781,9.57966082,0.555431,0.0335174,9.57879,0.761323,0.150828,9.70328,0.457273,-0.0885817,9.43514,0.0007287,0.000254502,0.000123048,0.532969484,0.04255393,9.579721459,0.550643,0.0430938,9.57879,2.40607,0.641618,9.79905,-0.110129,-1.20184,9.16222,0.003784134,0.000498555,0.000144654,0.50403958,0.045683418,9.580399473,0.462061,0.047882,9.58118,2.40607,0.641618,9.79905,-0.110129,-1.20184,9.16222,0.004220446,0.000381726,0.000128168
7.41 AM,2,0.584343632,0.043696315,9.579195933,0.58416,0.0430938,9.57879,0.612889,0.071823,9.60512,0.557825,0.0143646,9.55485,6.80E-05,8.52E-05,9.01E-05,0.56792254,0.040959061,9.579973983,0.569795,0.0406997,9.57879,0.658377,0.150828,9.70328,0.457273,-0.0885817,9.52133,0.000880657,0.000257098,0.00012364,0.564475846,0.0381432,9.579939707,0.557825,0.0359115,9.57879,0.761323,0.150828,9.70328,0.457273,-0.0885817,9.48781,0.000759019,0.000252378,0.000118004,0.539813615,0.042093664,9.579576413,0.555431,0.0406997,9.57879,2.40607,0.641618,9.79905,-0.110129,-1.20184,9.16222,0.003504202,0.000492893,0.000144293,0.508598609,0.045381362,9.580319674,0.521914,0.0454879,9.58118,2.40607,0.641618,9.79905,-0.110129,-1.20184,9.16222,0.004308256,0.000379983,0.000128323
7.42 AM,2,0.586346705,0.043588581,9.585811233,0.586554,0.0430938,9.58597,0.617678,0.071823,9.61709,0.562613,0.0167587,9.55964,7.63E-05,8.28E-05,9.98E-05,0.578073513,0.043784897,9.57972657,0.58416,0.0430938,9.57879,0.658377,0.150828,9.70328,0.464455,-0.0359115,9.52133,0.000613051,0.000199357,0.000121283,0.567800846,0.039670237,9.580778387,0.565007,0.0383056,9.58118,0.761323,0.150828,9.70328,0.457273,-0.0885817,9.48781,0.000783946,0.000243646,0.00012048,0.546706626,0.041627613,9.57970428,0.560219,0.0406997,9.57879,2.40607,0.641618,9.79905,-0.110129,-1.20184,9.16222,0.00314799,0.000486364,0.000146277,0.51323731,0.045105642,9.580404129,0.536278,0.0454879,9.58118,2.40607,0.641618,9.79905,-0.110129,-1.20184,9.16222,0.0043627,0.000378282,0.000128963
7.43 AM,2,0.584375577,0.043628482,9.583640833,0.58416,0.0430938,9.58358,0.608101,0.071823,9.61231,0.562613,0.0143646,9.55006,6.58E-05,7.78E-05,9.19E-05,0.586898961,0.04600343,9.580491873,0.586554,0.0454879,9.58118,0.658377,0.150828,9.70328,0.517125,-0.00957639,9.52133,0.000212636,0.00014532,0.000119531,0.570727628,0.041066396,9.581101183,0.576978,0.0406997,9.58118,0.687106,0.150828,9.70328,0.457273,-0.0885817,9.48781,0.000757048,0.000224364,0.000117718,0.553518836,0.041216825,9.579785673,0.567401,0.0406997,9.57879,2.40607,0.641618,9.79905,-0.110129,-1.20184,9.16222,0.002686187,0.000480507,0.000146869,0.517818952,0.044831783,9.580511859,0.541066,0.0454879,9.58118,2.40607,0.641618,9.79905,-0.110129,-1.20184,9.16222,0.004363631,0.000376564,0.000129567
7.44 AM,1,0.570054875,0.035803761,9.582316183,0.579372,0.0406997,9.58118,0.972004,0.25138,9.66498,0.179557,-0.296868,9.49739,0.002888496,0.001540299,0.000199871,0.583983746,0.04368195,9.58148698,0.586554,0.0454879,9.58118,0.972004,0.25138,9.70328,0.179557,-0.296868,9.49739,0.000737838,0.000417478,0.00013813,0.567602124,0.039076899,9.581621468,0.57219,0.0383056,9.58118,0.972004,0.25138,9.70328,0.179557,-0.296868,9.48781,0.000934148,0.000347208,0.000126688,0.559648129,0.040421585,9.579905379,0.569795,0.0406997,9.57879,2.40607,0.641618,9.79905,-0.110129,-1.20184,9.16222,0.002223107,0.000537795,0.000150957,0.521981891,0.044272096,9.580534745,0.545855,0.0454879,9.58118,2.40607,0.641618,9.79905,-0.110129,-1.20184,9.16222,0.004355441,0.000425352,0.000133347
7.45 AM,1,0.49618097,0.003383661,9.586457483,0.495578,0.0023941,9.58836,0.524308,0.0526702,9.62428,0.43812,-0.0287292,9.55964,0.000105398,9.91E-05,8.91E-05,0.564260352,0.03402016,9.583484333,0.581766,0.0406997,9.58358,0.972004,0.25138,9.66498,0.179557,-0.296868,9.49739,0.001833624,0.000620889,0.000120993,0.561826358,0.036001278,9.582251058,0.57219,0.0383056,9.58118,0.972004,0.25138,9.70328,0.179557,-0.296868,9.49739,0.001368468,0.000452021,0.00012554,0.562156548,0.037970625,9.580010299,0.569795,0.0383056,9.57879,2.40607,0.641618,9.79905,-0.110129,-1.20184,9.16222,0.001774003,0.000593294,0.000152,0.523675053,0.042659669,9.580637549,0.545855,0.0430938,9.58118,2.40607,0.641618,9.79905,-0.110129,-1.20184,9.16222,0.004180361,0.000476814,0.000134295
7.46 AM,1,0.493890618,0.000331184,9.586613267,0.493184,0,9.58597,0.529096,0.023941,9.61231,0.469243,-0.0263351,9.56203,7.76E-05,8.76E-05,7.74E-05,0.546169749,0.025347134,9.5849678,0.574584,0.0311233,9.58597,0.972004,0.25138,9.66498,0.179557,-0.296868,9.49739,0.002417989,0.000754402,0.000114521,0.557046144,0.033153097,9.582470892,0.57219,0.0383056,9.58118,0.972004,0.25138,9.70328,0.179557,-0.296868,9.49739,0.001767619,0.000566683,0.000125315,0.562742107,0.035227186,9.580226966,0.569795,0.0359115,9.58118,0.972004,0.25138,9.70328,0.179557,-0.296868,9.43514,0.001134497,0.000374114,0.000122517,0.525273116,0.040948952,9.580815101,0.545855,0.0430938,9.58118,2.40607,0.641618,9.79905,-0.110129,-1.20184,9.16222,0.004006338,0.000530856,0.000135305
