minutes,tags,accX_means1,accY_means1,accZ_means1,accX_medians1,accY_medians1,accZ_medians1,accX_maxes1,accY_maxes1,accZ_maxes1,accX_mins1,accY_mins1,accZ_mins1,accX_variances1,accY_variances1,accZ_variances1,accX_means5,accY_means5,accZ_means5,accX_medians5,accY_medians5,accZ_medians5,accX_maxes5,accY_maxes5,accZ_maxes5,accX_mins5,accY_mins5,accZ_mins5,accX_variances5,accY_variances5,accZ_variances5,accX_means10,accY_means10,accZ_means10,accX_medians10,accY_medians10,accZ_medians10,accX_maxes10,accY_maxes10,accZ_maxes10,accX_mins10,accY_mins10,accZ_mins10,accX_variances10,accY_variances10,accZ_variances10,accX_means20,accY_means20,accZ_means20,accX_medians20,accY_medians20,accZ_medians20,accX_maxes20,accY_maxes20,accZ_maxes20,accX_mins20,accY_mins20,accZ_mins20,accX_variances20,accY_variances20,accZ_variances20,accX_means30,accY_means30,accZ_means30,accX_medians30,accY_medians30,accZ_medians30,accX_maxes30,accY_maxes30,accZ_maxes30,accX_mins30,accY_mins30,accZ_mins30,accX_variances30,accY_variances30,accZ_variances30
9.22 AM,3,6.038511442,5.629743227,-0.66819691,6.480825,6.92493,-2.67062,13.3639,7.63718,9.72243,0.866664,-4.09151,-4.9079,4.953112042,6.882633648,19.19216046,6.038511442,5.629743227,-0.66819691,6.480825,6.92493,-2.67062,13.3639,7.63718,9.72243,0.866664,-4.09151,-4.9079,4.953112042,6.882633648,19.19216046,6.038511442,5.629743227,-0.66819691,6.480825,6.92493,-2.67062,13.3639,7.63718,9.72243,0.866664,-4.09151,-4.9079,4.953112042,6.882633648,19.19216046,6.038511442,5.629743227,-0.66819691,6.480825,6.92493,-2.67062,13.3639,7.63718,9.72243,0.866664,-4.09151,-4.9079,4.953112042,6.882633648,19.19216046,6.038511442,5.629743227,-0.66819691,6.480825,6.92493,-2.67062,13.3639,7.63718,9.72243,0.866664,-4.09151,-4.9079,4.953112042,6.882633648,19.19216046
9.23 AM,3,1.10015612,0.780536027,9.580349083,0.998339,0.775688,9.58358,1.57771,1.03664,9.69849,0.749353,0.608101,9.39923,0.030657286,0.0026323,0.000722519,3.569333781,3.205139627,4.456076086,1.32394,0.830752,9.55006,13.3639,7.63718,9.72243,0.749353,-4.09151,-4.9079,8.591729618,9.323367343,35.86851159,3.569333781,3.205139627,4.456076086,1.32394,0.830752,9.55006,13.3639,7.63718,9.72243,0.749353,-4.09151,-4.9079,8.591729618,9.323367343,35.86851159,3.569333781,3.205139627,4.456076086,1.32394,0.830752,9.55006,13.3639,7.63718,9.72243,0.749353,-4.09151,-4.9079,8.591729618,9.323367343,35.86851159,3.569333781,3.205139627,4.456076086,1.32394,0.830752,9.55006,13.3639,7.63718,9.72243,0.749353,-4.09151,-4.9079,8.591729618,9.323367343,35.86851159
9.24 AM,1,1.3614399,0.863770875,9.528831833,1.36224,0.86427,9.52612,1.40534,0.914546,9.56921,1.31675,0.818782,9.48302,0.000223157,0.000243573,0.000220258,2.833369154,2.424683376,6.146994669,1.35985,0.859481,9.53091,13.3639,7.63718,9.72243,0.749353,-4.09151,-4.9079,6.810192128,7.432832905,29.62735836,2.833369154,2.424683376,6.146994669,1.35985,0.859481,9.53091,13.3639,7.63718,9.72243,0.749353,-4.09151,-4.9079,6.810192128,7.432832905,29.62735836,2.833369154,2.424683376,6.146994669,1.35985,0.859481,9.53091,13.3639,7.63718,9.72243,0.749353,-4.09151,-4.9079,6.810192128,7.432832905,29.62735836,2.833369154,2.424683376,6.146994669,1.35985,0.859481,9.53091,13.3639,7.63718,9.72243,0.749353,-4.09151,-4.9079,6.810192128,7.432832905,29.62735836
9.25 AM,1,1.376654217,0.88816673,9.509611433,1.37661,0.888211,9.50936,1.40773,0.919334,9.53809,1.35027,0.854693,9.47824,7.92E-05,0.000124478,9.13E-05,2.46919042,2.040554215,6.98764886,1.36942,0.873846,9.51894,13.3639,7.63718,9.72243,0.749353,-4.09151,-4.9079,5.504998472,6.016731342,24.33843625,2.46919042,2.040554215,6.98764886,1.36942,0.873846,9.51894,13.3639,7.63718,9.72243,0.749353,-4.09151,-4.9079,5.504998472,6.016731342,24.33843625,2.46919042,2.040554215,6.98764886,1.36942,0.873846,9.51894,13.3639,7.63718,9.72243,0.749353,-4.09151,-4.9079,5.504998472,6.016731342,24.33843625,2.46919042,2.040554215,6.98764886,1.36942,0.873846,9.51894,13.3639,7.63718,9.72243,0.749353,-4.09151,-4.9079,5.504998472,6.016731342,24.33843625
9.26 AM,1,1.38385635,0.90053619,9.501387867,1.38379,0.900181,9.50218,1.41252,0.933698,9.53091,1.35745,0.871452,9.47106,7.31E-05,0.000105617,9.42E-05,2.252123606,1.81255061,7.490396661,1.37421,0.883422,9.51175,13.3639,7.63718,9.72243,0.749353,-4.09151,-4.9079,4.592181104,5.021016833,20.48050324,2.252123606,1.81255061,7.490396661,1.37421,0.883422,9.51175,13.3639,7.63718,9.72243,0.749353,-4.09151,-4.9079,4.592181104,5.021016833,20.48050324,2.252123606,1.81255061,7.490396661,1.37421,0.883422,9.51175,13.3639,7.63718,9.72243,0.749353,-4.09151,-4.9079,4.592181104,5.021016833,20.48050324,2.252123606,1.81255061,7.490396661,1.37421,0.883422,9.51175,13.3639,7.63718,9.72243,0.749353,-4.09151,-4.9079,4.592181104,5.021016833,20.48050324
9.27 AM,1,1.387320367,0.908364907,9.499875567,1.38618,0.907363,9.49978,1.41012,0.945669,9.5333,1.36464,0.883422,9.47345,7.24E-05,0.000110998,8.22E-05,1.321885391,0.868274946,9.524011157,1.37661,0.885817,9.51175,1.57771,1.03664,9.69849,0.749353,0.608101,9.39923,0.018586889,0.002795669,0.001141863,2.107989733,1.661852993,7.825309812,1.379,0.890605,9.50936,13.3639,7.63718,9.72243,0.749353,-4.09151,-4.9079,3.930518712,4.297547058,17.62714121,2.107989733,1.661852993,7.825309812,1.379,0.890605,9.50936,13.3639,7.63718,9.72243,0.749353,-4.09151,-4.9079,3.930518712,4.297547058,17.62714121,2.107989733,1.661852993,7.825309812,1.379,0.890605,9.50936,13.3639,7.63718,9.72243,0.749353,-4.09151,-4.9079,3.930518712,4.297547058,17.62714121
9.28 AM,1,1.389024133,0.916014038,9.496072917,1.38858,0.91694,9.49739,1.41012,0.950457,9.52133,1.36464,0.883422,9.46866,7.76E-05,0.000117814,8.64E-05,1.379658993,0.895370548,9.507155923,1.38139,0.897787,9.50457,1.41252,0.950457,9.56921,1.31675,0.818782,9.46866,0.000205985,0.000474845,0.000251771,2.005280361,1.55530457,8.063990256,1.38139,0.897787,9.50457,13.3639,7.63718,9.72243,0.749353,-4.09151,-4.9079,3.432203755,3.75161398,15.45028232,2.005280361,1.55530457,8.063990256,1.38139,0.897787,9.50457,13.3639,7.63718,9.72243,0.749353,-4.09151,-4.9079,3.432203755,3.75161398,15.45028232,2.005280361,1.55530457,8.063990256,1.38139,0.897787,9.50457,13.3639,7.63718,9.72243,0.749353,-4.09151,-4.9079,3.432203755,3.75161398,15.45028232
9.29 AM,1,1.389682383,0.922661647,9.494069967,1.39097,0.921728,9.495,1.41252,0.955245,9.52133,1.36703,0.895393,9.46627,7.69E-05,9.85E-05,8.20E-05,1.38530749,0.907148702,9.50020355,1.38618,0.907363,9.49978,1.41252,0.955245,9.53809,1.35027,0.854693,9.46627,9.86E-05,0.000256336,0.00011606,1.928330614,1.476224205,8.24275022,1.38139,0.902575,9.50218,13.3639,7.63718,9.72243,0.749353,-4.09151,-4.9079,3.04455597,3.326361861,13.74233731,1.928330614,1.476224205,8.24275022,1.38139,0.902575,9.50218,13.3639,7.63718,9.72243,0.749353,-4.09151,-4.9079,3.04455597,3.326361861,13.74233731,1.928330614,1.476224205,8.24275022,1.38139,0.902575,9.50218,13.3639,7.63718,9.72243,0.749353,-4.09151,-4.9079,3.04455597,3.326361861,13.74233731
9.30 AM,1,1.390823717,0.929037942,9.490398867,1.39097,0.92891,9.49021,1.41491,0.95764,9.51894,1.36703,0.897787,9.45669,6.77E-05,0.000108743,8.74E-05,1.38814139,0.915322945,9.496361037,1.38858,0.914546,9.49739,1.41491,0.95764,9.5333,1.35745,0.871452,9.45669,7.93E-05,0.000210125,0.000102025,1.868607625,1.415425731,8.381377847,1.38379,0.907363,9.50218,13.3639,7.63718,9.72243,0.749353,-4.09151,-4.9079,2.734756792,2.986286819,12.36890725,1.868607625,1.415425731,8.381377847,1.38379,0.907363,9.50218,13.3639,7.63718,9.72243,0.749353,-4.09151,-4.9079,2.734756792,2.986286819,12.36890725,1.868607625,1.415425731,8.381377847,1.38379,0.907363,9.50218,13.3639,7.63718,9.72243,0.749353,-4.09151,-4.9079,2.734756792,2.986286819,12.36890725
9.31 AM,1,1.392950567,0.931858988,9.49070585,1.39337,0.931304,9.49021,1.4197,0.960034,9.51654,1.36464,0.897787,9.46387,7.42E-05,0.000109399,7.85E-05,1.389960233,0.921587504,9.494224633,1.39097,0.921728,9.495,1.4197,0.960034,9.5333,1.36464,0.883422,9.45669,7.72E-05,0.000182585,9.57E-05,1.82104192,1.367069057,8.492310647,1.38618,0.909757,9.49978,13.3639,7.63718,9.72243,0.749353,-4.09151,-4.9079,2.481608797,2.708668101,11.24259142,1.82104192,1.367069057,8.492310647,1.38618,0.909757,9.49978,13.3639,7.63718,9.72243,0.749353,-4.09151,-4.9079,2.481608797,2.708668101,11.24259142,1.82104192,1.367069057,8.492310647,1.38618,0.909757,9.49978,13.3639,7.63718,9.72243,0.749353,-4.09151,-4.9079,2.481608797,2.708668101,11.24259142
