accX_variances1,accY_variances1,accZ_variances1,gyroX_variances1,gyroY_variances1,gyroZ_variances1,gravX_variances1,gravY_variances1,gravZ_variances1,magX_variances1,magY_variances1,magZ_variances1,accX_variances2,accY_variances2,accZ_variances2,gyroX_variances2,gyroY_variances2,gyroZ_variances2,gravX_variances2,gravY_variances2,gravZ_variances2,magX_variances2,magY_variances2,magZ_variances2,accX_variances3,accY_variances3,accZ_variances3,gyroX_variances3,gyroY_variances3,gyroZ_variances3,gravX_variances3,gravY_variances3,gravZ_variances3,magX_variances3,magY_variances3,magZ_variances3,accX_variances4,accY_variances4,accZ_variances4,gyroX_variances4,gyroY_variances4,gyroZ_variances4,gravX_variances4,gravY_variances4,gravZ_variances4,magX_variances4,magY_variances4,magZ_variances4,accX_variances5,accY_variances5,accZ_variances5,gyroX_variances5,gyroY_variances5,gyroZ_variances5,gravX_variances5,gravY_variances5,gravZ_variances5,magX_variances5,magY_variances5,magZ_variances5,tags
9.137379788,7.82636135,9.39009302,0.044111846,0.073920001,0.080417261,8.323384012,7.619275295,10.02023488,231.3539217,227.5201644,452.9210019,0.015254322,0.003578593,0.00280764,0.000119147,0.000396543,5.08E-05,0.012543956,0.001173016,0.000263831,1.0483741,0.637965636,0.638796258,0.000685532,0.000325451,0.000261546,3.25E-05,2.60E-05,1.26E-06,0.000468292,0.000119534,1.13E-05,0.604106823,0.616079716,0.600013861,8.77E-05,8.41E-05,0.000102991,9.25E-07,1.01E-06,5.63E-07,1.10E-05,2.94E-06,2.76E-07,0.59388347,0.573183175,0.662958204,7.90E-05,8.79E-05,8.57E-05,9.87E-07,9.20E-07,5.07E-07,9.86E-06,2.10E-06,2.55E-07,0.601781021,0.524190601,0.669337914,1
0.000137827,0.000112218,9.92E-05,1.07E-06,9.70E-07,5.75E-07,3.73E-06,3.58E-06,9.77E-08,0.637185907,0.565685878,0.666436763,0.013727782,0.001389833,0.000720647,1.56E-05,4.55E-05,1.07E-05,0.012879098,0.000474711,0.000280924,1.03851556,0.586779293,0.680620666,0.017498649,0.013931038,0.001193753,1.66E-05,0.000197612,0.000198028,0.003403092,0.000594124,5.16E-05,0.602045473,0.619017203,0.744988927,0.002722513,0.000696961,0.000198604,1.88E-06,9.93E-06,3.34E-06,0.001232471,9.19E-05,1.78E-05,0.642632281,0.572820298,0.651994687,0.000976255,0.000312911,0.000113413,1.25E-06,2.22E-06,1.01E-06,1.63E-05,4.39E-06,2.50E-07,0.621422945,0.584515236,0.578451504,1
0.000152104,0.000123683,9.64E-05,1.25E-06,1.91E-06,6.11E-07,2.68E-06,1.02E-06,4.06E-08,0.555257682,0.554704647,0.703056337,0.000963109,0.000567394,0.000191493,4.53E-06,3.87E-05,3.85E-06,0.000353163,8.37E-05,5.26E-06,0.562271911,0.609508204,0.687128868,0.000108171,9.04E-05,8.50E-05,4.93E-06,8.97E-06,6.39E-07,1.27E-05,2.47E-06,1.79E-07,0.650437975,0.610641224,0.75765259,9.26E-05,8.93E-05,8.00E-05,6.15E-06,1.08E-05,5.69E-07,2.83E-06,1.24E-06,3.89E-08,0.578347985,0.573816154,0.665528459,0.009571975,0.002594275,0.000575462,1.30E-05,7.98E-05,1.91E-05,0.001950705,0.000386424,2.57E-05,0.7009072,0.585138634,0.669780651,1
0.000261953,0.000124054,0.000113853,2.65E-06,5.34E-06,7.15E-07,8.58E-06,1.40E-06,1.21E-07,0.650438204,0.593083153,0.593108453,0.000108175,8.23E-05,8.79E-05,2.36E-06,4.27E-06,5.77E-07,1.14E-05,8.31E-07,1.57E-07,0.543017593,0.577539213,0.603932931,7.21E-05,7.87E-05,7.85E-05,2.01E-06,2.84E-06,4.87E-07,1.90E-06,8.88E-07,2.57E-08,0.570324718,0.614452998,0.643488471,0.000353065,0.000199507,0.000120544,1.99E-06,3.19E-06,7.40E-07,4.21E-06,1.26E-06,5.79E-08,0.557912126,0.62432862,0.644207673,0.000174686,0.000134803,9.25E-05,1.83E-06,2.96E-06,6.53E-07,3.34E-06,2.14E-06,4.51E-08,0.687399458,0.60449542,0.688823851,1
5.14E-05,8.12E-05,7.96E-05,1.69E-06,2.63E-06,5.42E-07,4.96E-07,6.20E-07,6.85E-09,0.616967213,0.596743789,0.737606172,6.30E-05,7.57E-05,8.22E-05,1.34E-06,1.69E-06,4.62E-07,1.08E-06,9.26E-07,1.51E-08,0.603567756,0.556897144,0.623879458,5.75E-05,8.31E-05,9.06E-05,1.30E-06,1.28E-06,4.35E-07,3.13E-07,9.08E-07,4.39E-09,0.599564226,0.620802476,0.700379616,5.51E-05,7.67E-05,8.55E-05,1.12E-06,1.37E-06,5.51E-07,6.11E-07,5.67E-07,8.65E-09,0.557775361,0.637645916,0.662965775,5.85E-05,7.45E-05,8.65E-05,1.11E-06,1.07E-06,5.11E-07,7.44E-07,6.37E-07,1.03E-08,0.642864093,0.579859462,0.660344088,0
5.92E-05,7.27E-05,7.77E-05,1.23E-06,1.52E-06,5.36E-07,8.48E-07,7.51E-07,1.18E-08,0.563582647,0.62334955,0.746645159,5.59E-05,7.26E-05,9.83E-05,8.25E-07,8.69E-07,4.79E-07,7.23E-07,6.70E-07,1.01E-08,0.603321471,0.563088327,0.635858613,5.70E-05,8.07E-05,9.49E-05,1.25E-06,1.54E-06,4.83E-07,1.44E-06,8.11E-07,1.93E-08,0.609692742,0.629315291,0.649923175,0.000140056,8.61E-05,8.49E-05,8.93E-07,9.53E-07,5.05E-07,3.21E-06,6.07E-07,4.43E-08,0.621096612,0.529519746,0.663035975,5.58E-05,6.98E-05,8.57E-05,7.76E-07,7.85E-07,5.20E-07,1.17E-06,6.14E-07,1.68E-08,0.577123818,0.584892078,0.66791644,0
5.49E-05,7.53E-05,8.29E-05,1.16E-06,1.39E-06,5.13E-07,7.02E-07,4.85E-07,9.71E-09,0.585417724,0.620285287,0.660287342,0.000126536,0.000119265,9.85E-05,7.01E-07,9.38E-07,6.33E-07,1.71E-06,1.84E-06,2.36E-08,0.644775854,0.600134119,0.58700587,5.62E-05,7.78E-05,8.25E-05,8.70E-07,6.68E-07,5.12E-07,3.66E-07,7.40E-07,5.10E-09,0.581505745,0.609628566,0.689305195,6.33E-05,7.44E-05,8.18E-05,8.23E-07,9.27E-07,4.82E-07,8.74E-07,7.71E-07,1.25E-08,0.613336484,0.604727192,0.718388448,5.91E-05,7.08E-05,9.11E-05,8.69E-07,7.39E-07,5.02E-07,9.93E-07,7.57E-07,1.43E-08,0.630331188,0.578545918,0.664831089,0
5.40E-05,7.32E-05,9.41E-05,7.95E-07,8.97E-07,5.17E-07,1.03E-06,6.28E-07,1.41E-08,0.551549146,0.552763397,0.646046276,5.77E-05,7.96E-05,8.35E-05,1.56E-06,1.81E-06,4.82E-07,2.04E-06,8.09E-07,2.71E-08,0.5903936,0.611303522,0.705157002,5.53E-05,7.90E-05,0.000130363,1.24E-06,1.41E-06,5.31E-07,2.10E-06,7.16E-07,2.91E-08,0.579922861,0.585262395,0.639905893,5.81E-05,7.25E-05,8.66E-05,8.45E-07,8.43E-07,4.77E-07,1.06E-06,9.15E-07,1.46E-08,0.61237293,0.647842766,0.680777974,6.20E-05,7.80E-05,7.40E-05,7.73E-07,6.74E-07,4.97E-07,7.37E-07,1.24E-06,1.03E-08,0.608522801,0.53826495,0.668406397,0
5.26E-05,6.98E-05,8.09E-05,9.60E-07,9.76E-07,4.80E-07,6.74E-07,5.28E-07,9.29E-09,0.627157553,0.579553136,0.706068298,5.98E-05,6.84E-05,7.95E-05,1.02E-06,1.06E-06,4.73E-07,7.38E-07,7.52E-07,1.04E-08,0.561600897,0.578577271,0.704861612,5.89E-05,7.71E-05,9.43E-05,8.12E-07,6.55E-07,5.60E-07,6.42E-07,6.93E-07,9.00E-09,0.538427332,0.535321555,0.646219333,7.60E-05,8.11E-05,9.41E-05,9.49E-07,9.98E-07,5.30E-07,1.06E-06,1.01E-06,1.51E-08,0.458256032,0.693978081,0.640631022,5.71E-05,7.97E-05,8.88E-05,8.70E-07,6.66E-07,4.98E-07,7.27E-07,8.63E-07,9.92E-09,0.61215281,0.583775278,0.643349863,0
5.95E-05,8.02E-05,7.87E-05,7.99E-07,7.72E-07,5.25E-07,1.05E-06,6.10E-07,1.44E-08,0.579787843,0.610753067,0.658628728,5.86E-05,7.50E-05,7.96E-05,1.01E-06,1.27E-06,4.70E-07,8.78E-07,9.42E-07,1.21E-08,0.650761625,0.615963791,0.644984135,8.09E-05,8.25E-05,8.34E-05,7.97E-07,7.79E-07,4.79E-07,1.65E-06,9.22E-07,2.32E-08,0.623071119,0.613010836,0.707970521,6.63E-05,7.65E-05,7.50E-05,7.97E-07,7.15E-07,5.06E-07,9.05E-07,6.72E-07,1.24E-08,0.541819426,0.640189007,0.597473923,5.38E-05,6.88E-05,8.35E-05,7.37E-07,6.59E-07,4.70E-07,9.92E-07,6.65E-07,1.39E-08,0.558655342,0.629495537,0.630886275,0
