minutes,tags,accX_means1,accY_means1,accZ_means1,accX_medians1,accY_medians1,accZ_medians1,accX_maxes1,accY_maxes1,accZ_maxes1,accX_mins1,accY_mins1,accZ_mins1,accX_variances1,accY_variances1,accZ_variances1,accX_means5,accY_means5,accZ_means5,accX_medians5,accY_medians5,accZ_medians5,accX_maxes5,accY_maxes5,accZ_maxes5,accX_mins5,accY_mins5,accZ_mins5,accX_variances5,accY_variances5,accZ_variances5,accX_means10,accY_means10,accZ_means10,accX_medians10,accY_medians10,accZ_medians10,accX_maxes10,accY_maxes10,accZ_maxes10,accX_mins10,accY_mins10,accZ_mins10,accX_variances10,accY_variances10,accZ_variances10,accX_means20,accY_means20,accZ_means20,accX_medians20,accY_medians20,accZ_medians20,accX_maxes20,accY_maxes20,accZ_maxes20,accX_mins20,accY_mins20,accZ_mins20,accX_variances20,accY_variances20,accZ_variances20,accX_means30,accY_means30,accZ_means30,accX_medians30,accY_medians30,accZ_medians30,accX_maxes30,accY_maxes30,accZ_maxes30,accX_mins30,accY_mins30,accZ_mins30,accX_variances30,accY_variances30,accZ_variances30
12.16 PM,3,41681191.93,1.6181628,0.574918855,41681196,1.61841,0.574584,41711181,1.80754,0.641618,41651206,1.51307,0.514731,301291268.2,0.000203427,0.000141009,41561039.58,1.594428871,0.549320365,41561025,1.61602,0.557825,41711181,2.1092,0.811599,41410907,0.811599,-0.124493,7520939683,0.011248631,0.001187049,41410838.26,1.615809182,0.535423431,41410857,1.63278,0.526702,41711181,2.1092,0.811599,41110469,0.811599,-0.124493,30085849032,0.00612329,0.000828642,41110434.93,1.413415028,0.508036118,41110419,1.60883,0.514731,41711181,9.49978,4.5823,40509705,-2.66703,-2.19539,1.20E+11,0.283958021,0.053496791,40810025.99,1.25107098,0.479612836,40810042,0.938487,0.433332,41711181,9.49978,4.5823,39908818,-2.66703,-2.19539,2.71E+11,0.242057545,0.037310178
12.17 PM,3,41741283.84,1.308905467,0.474175167,41741281,1.18268,0.433332,41771288,1.92725,0.699077,41711281,1.08453,0.375874,301514556.4,0.042480615,0.005289916,41621116.24,1.527026191,0.539257957,41621125,1.60883,0.560219,41771288,2.1092,0.811599,41470990,0.811599,-0.124493,7522684843,0.030956043,0.003132372,41470920.75,1.583620892,0.531027863,41470940,1.63038,0.529096,41771288,2.1092,0.811599,41170545,0.811599,-0.124493,30084895477,0.018719126,0.001674848,41170514.72,1.433083939,0.510742846,41170495,1.60883,0.514731,41771288,9.49978,4.5823,40569772,-2.66703,-2.19539,1.20E+11,0.273838973,0.053419363,40870108.33,1.263192695,0.481126172,40870106,0.938487,0.435726,41771288,9.49978,4.5823,39968911,-2.66703,-2.19539,2.71E+11,0.240315271,0.037395989
12.18 PM,2,41801372.98,1.133410317,0.404698412,41801372,1.13241,0.404603,41831367,1.16832,0.430938,41771388,1.10129,0.380662,301280350.2,0.000112839,8.93E-05,41681197.87,1.45126734,0.516340031,41681196,1.59926,0.560219,41831367,1.92725,0.699077,41531031,1.08453,0.375874,7524164504,0.047164143,0.00560144,41531003.76,1.533440951,0.519469149,41530981,1.6232,0.526702,41831367,2.1092,0.811599,41230637,0.811599,-0.124493,30084357822,0.036211456,0.003127463,41230595.22,1.443953353,0.510026014,41230587,1.60883,0.514731,41831367,9.49978,4.5823,40629847,-2.66703,-2.19539,1.20E+11,0.264845344,0.053560511,40930190.5,1.26982861,0.480413794,40930171,1.13001,0.433332,41831367,9.49978,4.5823,40029016,-2.66703,-2.19539,2.71E+11,0.237229097,0.037489317
12.19 PM,2,41861465.28,1.116691233,0.399363532,41861466,1.11804,0.399814,41891461,1.14199,0.423755,41831467,1.08931,0.373479,301367399.9,8.73E-05,8.16E-05,41741286.38,1.357599753,0.484464991,41741281,1.18268,0.433332,41891461,1.92725,0.699077,41591119,1.08453,0.373479,7524390687,0.057135476,0.006951904,41591086.36,1.481358079,0.507236093,41591069,1.61362,0.526702,41891461,2.1092,0.811599,41290736,0.811599,-0.124493,30085209802,0.049787666,0.004419792,41290676.42,1.454017337,0.509085133,41290685.5,1.60883,0.514731,41891461,9.49978,4.5823,40689932,-2.66703,-2.19539,1.20E+11,0.25613138,0.05375024,40990272.69,1.27604382,0.479567346,40990262,1.13241,0.433332,41891461,9.49978,4.5823,40089090,-2.66703,-2.19539,2.71E+11,0.234128825,0.037604114
12.20 PM,2,41921555.13,1.107222967,0.396362932,41921552,1.10847,0.39742,41951559,1.13001,0.421361,41891561,1.08453,0.368691,301458147.3,7.29E-05,7.33E-05,41801373.83,1.256878557,0.449903779,41801372,1.1348,0.406997,41951559,1.92725,0.699077,41651206,1.08453,0.368691,7525192761,0.046698026,0.00587155,41651168.58,1.428139257,0.494601229,41651156,1.60165,0.521914,41951559,2.1092,0.811599,41350824,0.811599,-0.124493,30087203935,0.058457312,0.005464623,41350758.34,1.46355464,0.508008386,41350773,1.60883,0.514731,41951559,9.49978,4.5823,40750010,-2.66703,-2.19539,1.20E+11,0.247606265,0.053967887,41050355.31,1.282016573,0.478679667,41050339,1.13241,0.433332,41951559,9.49978,4.5823,40149163,-2.66703,-2.19539,2.71E+11,0.231006409,0.037727155
12.21 PM,2,41981656.19,1.101844113,0.391283492,41981657,1.10129,0.392632,42011646,1.52983,0.548249,41951660,0.78287,0.0694289,301325776.6,0.001594213,0.000608551,41861466.68,1.153614819,0.413176707,41861466,1.11804,0.399814,42011646,1.92725,0.699077,41711281,0.78287,0.0694289,7525657113,0.01500363,0.002176307,41711253.13,1.374021845,0.481248536,41711231,1.41012,0.512337,42011646,2.1092,0.811599,41410907,0.78287,-0.124493,30089916973,0.061711298,0.006315944,41410841.15,1.472901205,0.506674276,41410857,1.60883,0.514731,42011646,9.49978,4.5823,40810092,-2.66703,-2.19539,1.20E+11,0.23908605,0.054268089,41110438.74,1.287896219,0.477687845,41110419,1.13241,0.433332,42011646,9.49978,4.5823,40209244,-2.66703,-2.19539,2.71E+11,0.227866828,0.037887424
12.22 PM,2,42041742.2,1.096333617,0.386235962,42041740,1.0965,0.387844,42071737,1.12044,0.406997,42011746,1.07495,0.354327,301528399.2,6.53E-05,7.86E-05,41921558.36,1.111100449,0.395588866,41921552,1.10847,0.395026,42071737,1.52983,0.548249,41771388,0.78287,0.0694289,7525720350,0.00055561,0.000226797,41771337.3,1.31906332,0.467423411,41771338,1.14677,0.414179,42071737,2.1092,0.811599,41470990,0.78287,-0.124493,30093076709,0.059008965,0.006840367,41470924.25,1.482400591,0.5049615,41470940,1.60883,0.514731,42071737,9.49978,4.5823,40870156,-2.66703,-2.19539,1.20E+11,0.230010436,0.054590288,41170522.14,1.293708958,0.476515004,41170495,1.13241,0.430938,42071737,9.49978,4.5823,40269348,-2.66703,-2.19539,2.71E+11,0.224592432,0.038059093
12.23 PM,2,42101832.87,1.092474817,0.386036458,42101831.5,1.09171,0.38545,42131827,1.12762,0.416573,42071837,1.03664,0.349538,301471133,7.49E-05,9.16E-05,41981650.33,1.102913349,0.391856475,41981657,1.10129,0.392632,42131827,1.52983,0.548249,41831467,0.78287,0.0694289,7525587297,0.000450812,0.000214966,41831424.1,1.277090345,0.454098253,41831417,1.12523,0.404603,42131827,1.92725,0.699077,41531031,0.78287,0.0694289,30095303723,0.054146192,0.006782403,41531008.82,1.447101183,0.48636993,41530981,1.60883,0.514731,42131827,2.1092,0.811599,40930221,0.78287,-0.124493,1.20E+11,0.059000512,0.00462413,41230605.23,1.299372988,0.475352405,41230587,1.13241,0.430938,42131827,9.49978,4.5823,40329423,-2.66703,-2.19539,2.71E+11,0.221318637,0.038227848
12.24 PM,2,42161912.43,1.08870385,0.384284783,42161914.5,1.08931,0.38545,42191916,1.11804,0.406997,42131927,1.06777,0.359115,301442642.3,6.73E-05,7.88E-05,42041739.76,1.097315873,0.388840725,42041740,1.0965,0.387844,42191916,1.52983,0.548249,41891561,0.78287,0.0694289,7524857649,0.000417899,0.000205505,41891513.07,1.227457813,0.436652858,41891511,1.11326,0.399814,42191916,1.92725,0.699077,41591119,0.78287,0.0694289,30095191566,0.045711639,0.005864489,41591093.97,1.421975275,0.480237845,41591069,1.60883,0.514731,42191916,2.1092,0.811599,40990312,0.78287,-0.124493,1.20E+11,0.063750755,0.005086047,41290688.11,1.30497862,0.474137137,41290685.5,1.13241,0.430938,42191916,9.49978,4.5823,40389520,-2.66703,-2.19539,2.71E+11,0.217982628,0.03840298
12.25 PM,2,42222009.05,1.240932888,0.435482583,42222010,1.08931,0.390238,42252011,2.07329,0.744565,42192016,0.988763,0.308839,301452940.7,0.074527797,0.006953952,42101830.55,1.124057857,0.396664656,42101831.5,1.0941,0.387844,42252011,2.07329,0.744565,41951660,0.78287,0.0694289,7524487930,0.018680551,0.001942483,41951602.19,1.190468207,0.423284217,41951609.5,1.10847,0.395026,42252011,2.07329,0.744565,41651206,0.78287,0.0694289,30095907698,0.037094909,0.004615085,41651179.68,1.403431386,0.476394918,41651156,1.60405,0.512337,42252011,2.1092,0.811599,41050389,0.78287,-0.124493,1.20E+11,0.066960808,0.005463494,41350771.29,1.315728912,0.474639236,41350773,1.1372,0.430938,42252011,9.49978,4.5823,40449613,-2.66703,-2.19539,2.71E+11,0.215500935,0.038585141
12.26 PM,2,42282101.54,1.69564465,0.577779813,42282097.5,1.69981,0.579372,42312089,1.74051,0.610495,42252111,1.63517,0.548249,301241509.9,0.000563716,0.000125636,42161919.62,1.242817964,0.43396392,42161914.5,1.0941,0.390238,42312089,2.07329,0.744565,42011746,0.988763,0.308839,7524926045,0.069631418,0.007011264,42011693.15,1.198216392,0.423570313,42011696,1.10847,0.395026,42312089,2.07329,0.744565,41711281,0.78287,0.0694289,30095790601,0.044300102,0.004701065,41711265.7,1.407012787,0.479496872,41711231,1.60405,0.514731,42312089,2.1092,0.811599,41110469,0.78287,-0.124493,1.20E+11,0.068809163,0.005892664,41410854.34,1.341682149,0.47988085,41410857,1.19705,0.483608,42312089,9.49978,4.5823,40509705,-2.66703,-2.19539,2.71E+11,0.214356932,0.038815911
12.27 PM,2,42342192.51,1.740146867,0.592176392,42342197,1.74051,0.591342,42372193,1.77642,0.620072,42312189,1.70699,0.557825,301598062.4,0.000130024,9.13E-05,42222009.68,1.371580614,0.475152006,42222010,1.10129,0.39742,42372193,2.07329,0.744565,42071837,0.988763,0.308839,7525265315,0.098249733,0.00986893,42071784.02,1.241340532,0.435370436,42071787,1.10847,0.39742,42372193,2.07329,0.744565,41771388,0.78287,0.0694289,30095749766,0.066359743,0.006629859,41771352.39,1.412480712,0.483199149,41771338,1.60405,0.517125,42372193,2.1092,0.811599,41170545,0.78287,-0.124493,1.20E+11,0.071827291,0.006439784,41470937.82,1.36916947,0.485618709,41470940,1.57771,0.502761,42372193,9.49978,4.5823,40569772,-2.66703,-2.19539,2.71E+11,0.212842273,0.039084141
12.28 PM,2,42402283.05,1.76193655,0.598732253,42402284,1.76206,0.598525,42432266,1.79318,0.627254,42372293,1.73572,0.565007,301210200,9.34E-05,8.66E-05,42282099.72,1.505472961,0.517691165,42282097.5,1.7046,0.576978,42432266,2.07329,0.744565,42131927,0.988763,0.308839,7525604875,0.095220798,0.009524343,42131875.03,1.304193155,0.45477382,42131877,1.10847,0.39742,42432266,2.07329,0.744565,41831467,0.78287,0.0694289,30095561167,0.088348145,0.008828095,41831439.39,1.418817053,0.487121485,41831417,1.60405,0.519519,42432266,2.1092,0.811599,41230637,0.78287,-0.124493,1.20E+11,0.075414343,0.007023739,41531021.82,1.39736662,0.491608616,41530981,1.59447,0.509943,42432266,9.49978,4.5823,40629847,-2.66703,-2.19539,2.71E+11,0.210345656,0.039326825
12.29 PM,2,42462360,1.77813315,0.604079067,42462361,1.77882,0.603313,42492352,1.80515,0.632042,42432366,1.74769,0.576978,301452887.7,8.32E-05,8.34E-05,42342189.23,1.643358821,0.561650022,42342197,1.74051,0.591342,42492352,2.07329,0.744565,42192016,0.988763,0.308839,7524613951,0.056327903,0.005524672,42191964.5,1.370337347,0.475245373,42191966,1.10847,0.399814,42492352,2.07329,0.744565,41891561,0.78287,0.0694289,30094713495,0.102921322,0.010331619,41891525.43,1.425847713,0.491240733,41891511,1.60405,0.521914,42492352,2.1092,0.811599,41290736,0.78287,-0.124493,1.20E+11,0.079429788,0.007630964,41591105.78,1.426124007,0.497805213,41591069,1.60644,0.512337,42492352,9.49978,4.5823,40689932,-2.66703,-2.19539,2.71E+11,0.206608967,0.039530475
