accX_variances1,accY_variances1,accZ_variances1,gyroX_variances1,gyroY_variances1,gyroZ_variances1,gravX_variances1,gravY_variances1,gravZ_variances1,magX_variances1,magY_variances1,magZ_variances1,accX_variances2,accY_variances2,accZ_variances2,gyroX_variances2,gyroY_variances2,gyroZ_variances2,gravX_variances2,gravY_variances2,gravZ_variances2,magX_variances2,magY_variances2,magZ_variances2,accX_variances3,accY_variances3,accZ_variances3,gyroX_variances3,gyroY_variances3,gyroZ_variances3,gravX_variances3,gravY_variances3,gravZ_variances3,magX_variances3,magY_variances3,magZ_variances3,accX_variances4,accY_variances4,accZ_variances4,gyroX_variances4,gyroY_variances4,gyroZ_variances4,gravX_variances4,gravY_variances4,gravZ_variances4,magX_variances4,magY_variances4,magZ_variances4,accX_variances5,accY_variances5,accZ_variances5,gyroX_variances5,gyroY_variances5,gyroZ_variances5,gravX_variances5,gravY_variances5,gravZ_variances5,magX_variances5,magY_variances5,magZ_variances5,tags
1.122202215,1.1496181,0.613936292,0.127765147,0.165952237,0.133232247,0.795133608,1.241587027,0.472616903,48.56280688,141.4958104,26.3455304,0.195069503,0.058208796,0.014376344,0.000161215,0.010858323,0.000585178,0.162523115,0.017942659,0.012254191,4.826955777,0.967147783,0.993457101,0.00276061,0.000442667,0.000293226,3.85E-06,2.01E-05,4.43E-06,0.001933752,9.23E-05,3.83E-05,0.535997,0.543134099,0.570141535,0.059492996,0.01826541,0.002650845,3.87E-05,0.000800397,0.000127686,0.055515988,0.014847294,0.001514286,2.093422115,0.80135982,0.608330748,0.000620933,0.000255425,0.000115717,1.19E-06,2.81E-06,5.54E-06,3.00E-05,3.15E-06,1.95E-07,0.563630191,0.520968662,0.585488339,3
0.000441407,0.000229513,0.000123865,1.36E-06,2.05E-06,1.85E-06,0.000209897,1.06E-05,1.28E-06,0.538062168,0.451509099,0.633118412,0.000972392,0.000803143,0.000146344,1.32E-06,2.20E-06,2.05E-06,3.15E-05,1.29E-05,3.35E-07,0.54094791,0.563361791,0.573818558,0.014727347,0.003491275,0.00152142,1.91E-05,4.37E-05,7.37E-05,0.000959147,0.000428558,1.24E-05,0.571463869,0.629235175,0.590877058,0.003180101,0.001400424,0.000507048,3.44E-06,8.84E-06,9.28E-06,7.49E-05,7.37E-05,6.34E-07,0.577673982,0.505066945,0.664638715,0.001779019,0.002969878,0.003979191,5.27E-06,2.56E-05,6.07E-06,0.000151922,0.000154372,2.04E-06,0.537503973,0.539346487,0.620959698,3
0.000187616,0.000201663,0.000106545,8.44E-07,8.87E-07,7.61E-07,3.25E-05,5.79E-06,2.82E-07,0.509810642,0.512477165,0.61631841,6.96E-05,7.65E-05,8.94E-05,7.48E-07,6.39E-07,5.57E-07,1.35E-06,1.04E-06,1.28E-08,0.548097801,0.487537857,0.532552672,0.069776183,0.009243891,0.0018431,6.33E-05,0.000570496,8.19E-05,0.06441245,0.001385952,0.000829179,1.952804629,0.563129303,0.628177539,0.001374689,0.000748903,0.000423353,3.43E-06,3.04E-05,3.25E-06,0.000335153,2.83E-05,6.73E-06,0.569186187,0.562081515,0.611911458,0.000107287,7.84E-05,0.000105971,8.03E-07,1.27E-06,5.21E-07,5.46E-05,1.55E-06,1.13E-06,0.523998198,0.62781336,0.679652648,1
6.41E-05,8.45E-05,9.70E-05,8.93E-07,1.12E-06,5.11E-07,3.53E-06,6.53E-07,6.54E-08,0.645825518,0.535797096,0.642559865,6.69E-05,7.94E-05,8.30E-05,7.87E-07,1.29E-06,5.01E-07,4.74E-06,9.51E-07,9.91E-08,0.591979203,0.553045162,0.663457764,7.18E-05,8.10E-05,8.38E-05,7.57E-07,1.17E-06,4.58E-07,1.14E-05,8.96E-07,2.25E-07,0.578219303,0.605367022,0.626680627,5.99E-05,7.83E-05,8.10E-05,8.55E-07,1.14E-06,4.75E-07,2.52E-06,8.12E-07,4.88E-08,0.576124058,0.564379972,0.631512184,6.66E-05,7.09E-05,9.00E-05,7.94E-07,1.27E-06,5.42E-07,4.33E-06,7.42E-07,7.98E-08,0.580642478,0.511666585,0.705555287,1
5.91E-05,7.19E-05,8.48E-05,8.55E-07,1.13E-06,4.62E-07,3.45E-06,8.10E-07,7.22E-08,0.556083025,0.634419786,0.672187772,5.94E-05,7.52E-05,8.41E-05,7.27E-07,1.11E-06,4.89E-07,2.24E-06,8.75E-07,4.50E-08,0.589824324,0.555389409,0.663511927,6.73E-05,6.95E-05,8.47E-05,9.02E-07,1.08E-06,4.51E-07,4.57E-06,9.09E-07,8.27E-08,0.550104119,0.5370795,0.621903615,5.96E-05,8.28E-05,8.83E-05,7.65E-07,1.21E-06,5.50E-07,3.09E-06,9.07E-07,6.25E-08,0.573410775,0.565146926,0.623254435,5.97E-05,7.64E-05,8.73E-05,8.72E-07,1.15E-06,4.91E-07,2.82E-06,9.59E-07,5.99E-08,0.568931189,0.587303018,0.672458909,0
6.07E-05,7.63E-05,9.44E-05,8.10E-07,1.19E-06,4.52E-07,3.04E-06,1.16E-06,5.68E-08,0.572968583,0.553516501,0.610170289,6.36E-05,7.16E-05,9.94E-05,8.28E-07,1.12E-06,4.87E-07,4.29E-06,9.18E-07,8.16E-08,0.592283101,0.576732562,0.648784881,5.72E-05,7.76E-05,9.05E-05,7.68E-07,1.17E-06,4.05E-07,2.88E-06,1.01E-06,5.89E-08,0.575224809,0.609155234,0.609448433,5.88E-05,8.21E-05,9.33E-05,7.83E-07,1.16E-06,5.53E-07,3.03E-06,1.04E-06,6.08E-08,0.570049857,0.5473651,0.721421576,6.47E-05,8.22E-05,8.80E-05,7.77E-07,1.15E-06,4.49E-07,4.09E-06,8.78E-07,8.48E-08,0.536788274,0.553470028,0.664017924,0
6.75E-05,7.61E-05,9.34E-05,7.97E-07,1.10E-06,5.23E-07,2.74E-06,1.00E-06,5.55E-08,0.650384764,0.601448413,0.701692358,5.67E-05,7.46E-05,8.19E-05,7.78E-07,1.15E-06,4.86E-07,2.75E-06,1.17E-06,4.97E-08,0.570506783,0.651825505,0.666693294,7.08E-05,9.02E-05,8.55E-05,8.23E-07,1.10E-06,4.62E-07,3.53E-06,9.32E-07,7.06E-08,0.606629488,0.58701655,0.643588331,6.15E-05,8.31E-05,9.74E-05,7.49E-07,1.24E-06,5.39E-07,5.53E-06,1.45E-06,1.32E-07,0.632703203,0.590934052,0.640947086,6.35E-05,7.67E-05,9.10E-05,8.41E-07,1.12E-06,5.22E-07,3.47E-06,1.14E-06,7.10E-08,0.622046283,0.563812512,0.651005109,0
6.21E-05,7.29E-05,8.83E-05,8.83E-07,1.16E-06,5.04E-07,5.04E-06,1.57E-06,9.46E-08,0.585297021,0.624530376,0.619070882,6.56E-05,7.30E-05,9.17E-05,7.89E-07,1.20E-06,4.94E-07,3.27E-06,1.16E-06,6.93E-08,0.676499201,0.624674833,0.725522801,6.24E-05,7.20E-05,9.48E-05,7.66E-07,1.15E-06,5.13E-07,3.37E-06,1.39E-06,6.89E-08,0.599180813,0.577524672,0.723771485,6.39E-05,6.87E-05,8.49E-05,8.01E-07,1.04E-06,4.65E-07,3.05E-06,9.61E-07,6.50E-08,0.566950296,0.580706327,0.700138937,5.75E-05,7.43E-05,9.64E-05,8.57E-07,1.25E-06,5.44E-07,4.27E-06,1.18E-06,9.85E-08,0.63854231,0.596456673,0.670002686,0
6.54E-05,7.02E-05,8.39E-05,7.37E-07,1.22E-06,4.91E-07,4.11E-06,1.59E-06,7.42E-08,0.612197842,0.649640099,0.653698762,6.91E-05,7.97E-05,8.37E-05,8.99E-07,1.26E-06,5.21E-07,4.85E-06,1.23E-06,9.06E-08,0.557024548,0.633280134,0.640389762,6.33E-05,8.10E-05,8.79E-05,9.03E-07,1.19E-06,5.06E-07,3.95E-06,8.75E-07,7.29E-08,0.609302575,0.661500185,0.637418951,6.57E-05,7.69E-05,8.51E-05,8.24E-07,1.35E-06,4.60E-07,3.50E-06,8.14E-07,7.08E-08,0.560735445,0.608600657,0.646096184,7.32E-05,7.34E-05,8.73E-05,7.98E-07,1.23E-06,5.46E-07,3.42E-06,1.20E-06,7.47E-08,0.63577931,0.59931911,0.652976508,0
6.21E-05,7.95E-05,9.65E-05,7.97E-07,1.19E-06,5.36E-07,3.26E-06,7.51E-07,6.91E-08,0.585196614,0.594750329,0.64624741,7.06E-05,8.22E-05,8.43E-05,7.87E-07,1.27E-06,4.93E-07,3.94E-06,8.07E-07,7.58E-08,0.670187437,0.632308586,0.707247029,6.49E-05,7.20E-05,9.40E-05,8.89E-07,1.45E-06,5.28E-07,3.53E-06,1.08E-06,7.37E-08,0.642909382,0.575689748,0.752710491,6.31E-05,7.50E-05,9.22E-05,9.16E-07,1.25E-06,5.20E-07,4.03E-06,1.06E-06,8.36E-08,0.694431906,0.593286364,0.64817639,6.95E-05,7.65E-05,9.34E-05,9.38E-07,1.35E-06,5.06E-07,4.22E-06,1.08E-06,7.95E-08,0.571184671,0.569928841,0.695051848,0
