minutes,tags,accX_means,accY_means,accZ_means,gyroX_means,gyroY_means,gyroZ_means,gravX_means,gravY_means,gravZ_means,magX_means,magY_means,magZ_means,accX_medians,accY_medians,accZ_medians,gyroX_medians,gyroY_medians,gyroZ_medians,gravX_medians,gravY_medians,gravZ_medians,magX_medians,magY_medians,magZ_medians,accX_maxes,accY_maxes,accZ_maxes,gyroX_maxes,gyroY_maxes,gyroZ_maxes,gravX_maxes,gravY_maxes,gravZ_maxes,magX_maxes,magY_maxes,magZ_maxes,accX_mins,accY_mins,accZ_mins,gyroX_mins,gyroY_mins,gyroZ_mins,gravX_mins,gravY_mins,gravZ_mins,magX_mins,magY_mins,magZ_mins,accX_variances,accY_variances,accZ_variances,gyroX_variances,gyroY_variances,gyroZ_variances,gravX_variances,gravY_variances,gravZ_variances,magX_variances,magY_variances,magZ_variances
4.59 AM,1,5.044928555,3.493556678,5.644175539,0.00206131,0.015448321,0.035491243,5.037234147,3.464713554,5.705424893,-31.4694077,10.21771757,-12.91043761,6.760935,4.66251,4.06757,-0.000881936,-0.00134581,0.00106138,6.705265,4.60063,3.952705,-41.539,2.6409,-0.3036955,19.8782,7.93644,11.2403,1.28071,1.9015,3.13663,8.83846,7.18342,9.79032,0,37.8413,15.1269,-4.60864,-4.2998,-0.610495,-3.24457,-2.07096,-1.22678,-0.116966,-1.12684,0,-50.5119,-11.5241,-43.2264,9.137379788,7.82636135,9.39009302,0.044111846,0.073920001,0.080417261,8.323384012,7.619275295,10.02023488,231.3539217,227.5201644,452.9210019
5.00 AM,1,1.383370133,-0.014137159,9.51882465,-0.00017274,-0.000595047,0.000397194,1.415505217,-0.013973997,9.703225133,-12.16121333,29.48230817,-40.765908,1.41252,-0.023941,9.51415,-3.96E-05,-0.000124082,0.000450513,1.44321,-0.02681385,9.69978,-12.15795,29.4305,-40.80205,1.97274,0.34475,9.86369,0.0712001,0.178859,0.0450436,1.92023,0.111669,9.73993,-9.10683,31.804,-38.4014,0.986369,-0.481214,9.04251,-0.0833487,-0.169334,-0.0685772,1.14127,-0.103943,9.61635,-15.1437,27.1837,-43.3747,0.015254322,0.003578593,0.00280764,0.000119147,0.000396543,5.08E-05,0.012543956,0.001173016,0.000263831,1.0483741,0.637965636,0.638796258
5.01 AM,1,1.46842825,-0.028182547,9.50353445,0.000206526,0.000381141,-3.14E-05,1.494620317,-0.027380972,9.69201475,-12.76005317,29.49884117,-40.885431,1.46519,-0.0287292,9.50218,0.000413451,0.000569427,-0.000117796,1.48916,-0.026503,9.69289,-12.87975,29.4201,-40.8256,1.69502,0.107734,9.59794,0.05934,0.0384984,0.00795242,1.53199,0.0406555,9.70438,-10.0214,31.9714,-38.2534,1.35267,-0.153222,9.34177,-0.108648,-0.0885614,-0.00976266,1.41201,-0.0431362,9.68617,-15.1596,27.1893,-43.2214,0.000685532,0.000325451,0.000261546,3.25E-05,2.60E-05,1.26E-06,0.000468292,0.000119534,1.13E-05,0.604106823,0.616079716,0.600013861
5.02 AM,1,1.50910795,-0.039390925,9.497377433,0.000169043,0.00024676,-1.94E-05,1.5377391,-0.03844695,9.68525965,-12.9952445,29.52730267,-40.9002685,1.50828,-0.0406997,9.49739,0.000413451,0.00026865,-4.70E-05,1.5377,-0.0384338,9.68527,-13.0357,29.4267,-40.8142,1.54659,0,9.58358,0.00346777,0.00332297,0.00239643,1.54455,-0.0341506,9.68649,-10.6423,31.7932,-38.3775,1.47716,-0.0646407,9.47106,-0.00264087,-0.00584,-0.00310135,1.52996,-0.0428269,9.68417,-15.6021,27.6037,-43.5082,8.77E-05,8.41E-05,0.000102991,9.25E-07,1.01E-06,5.63E-07,1.10E-05,2.94E-06,2.76E-07,0.59388347,0.573183175,0.662958204
5.03 AM,1,1.518308833,-0.037411803,9.495458583,-3.08E-05,8.27E-06,5.27E-05,1.548492217,-0.038129089,9.683547467,-13.07534383,29.559383,-40.98589,1.51786,-0.0383056,9.495,-0.000131764,-9.22E-05,1.86E-06,1.54882,-0.03819015,9.68349,-13.0547,29.4333,-40.9441,1.56095,-0.0023941,9.52133,0.00308412,0.00296213,0.00305619,1.55555,-0.0345006,9.68454,-10.7832,32.2436,-38.6969,1.49392,-0.0694289,9.46627,-0.00318609,-0.00266043,-0.00183911,1.54229,-0.0422271,9.68241,-15.1642,27.6037,-43.5187,7.90E-05,8.79E-05,8.57E-05,9.87E-07,9.20E-07,5.07E-07,9.86E-06,2.10E-06,2.55E-07,0.601781021,0.524190601,0.669337914
5.04 AM,1,1.523875067,-0.037699094,9.493830283,8.30E-05,1.86E-05,-5.12E-05,1.553638517,-0.03867259,9.68272125,-13.1341905,29.6025535,-40.830771,1.52504,-0.0383056,9.4926,2.98E-05,-9.22E-05,-6.52E-06,1.553805,-0.03884185,9.6827,-13.17985,29.6914,-40.8037,1.60165,0.0143646,9.53091,0.00308412,0.00296213,0.0024551,1.56638,-0.0278286,9.6838,-10.6261,32.2483,-38.1004,1.42449,-0.10534,9.46387,-0.00302453,-0.00273213,-0.00243182,1.54677,-0.0443362,9.68068,-15.5957,27.6157,-44.087,0.000137827,0.000112218,9.92E-05,1.07E-06,9.70E-07,5.75E-07,3.73E-06,3.58E-06,9.77E-08,0.637185907,0.565685878,0.666436763
5.05 AM,1,1.453816233,-0.033305918,9.511087783,5.47E-05,0.000490872,0.000195019,1.483214833,-0.033303732,9.693077083,-12.70495408,29.58636783,-40.8744715,1.52025,-0.0383056,9.50457,-3.63E-05,0.000154579,-2.84E-05,1.555845,-0.03818405,9.682375,-12.8853,29.6968,-40.92415,1.72375,0.19871,9.66498,0.0207331,0.0480832,0.0262388,1.61854,0.0549271,9.72639,-9.73865,31.8162,-37.7863,1.07495,-0.313627,9.38966,-0.0372991,-0.0447682,-0.0206847,1.25172,-0.120499,9.67155,-15.4574,27.0679,-43.0622,0.013727782,0.001389833,0.000720647,1.56E-05,4.55E-05,1.07E-05,0.012879098,0.000474711,0.000280924,1.03851556,0.586779293,0.680620666
5.06 AM,1,1.127381092,0.052734034,9.560957117,0.000104442,-0.000560752,0.000360569,1.154513492,0.051313152,9.73811115,-10.73075342,28.94449567,-40.645936,1.11804,0.0574584,9.56203,-2.84E-05,-0.0005224,4.61E-05,1.146485,0.05911575,9.73925,-10.7694,28.99415,-40.6846,2.54972,1.00792,9.77989,0.0266327,0.0708994,0.13667,1.51618,0.0860845,9.7585,-8.51351,31.8402,-38.1247,0.258563,-1.41252,9.31065,-0.0222365,-0.135573,-0.112563,0.970611,-0.0744928,9.68869,-13.195,26.3243,-43.2262,0.017498649,0.013931038,0.001193753,1.66E-05,0.000197612,0.000198028,0.003403092,0.000594124,5.16E-05,0.602045473,0.619017203,0.744988927
5.07 AM,1,1.140764247,0.069999479,9.551456583,7.33E-05,-0.000121624,5.77E-05,1.1625847,0.069634962,9.737175917,-10.68492592,28.81824733,-40.62876167,1.15874,0.071823,9.55006,-8.57E-05,0.000137815,0.000120125,1.18255,0.07521845,9.734815,-10.6368,28.8651,-40.67905,1.35027,0.227439,9.61949,0.00911641,0.0237967,0.0147455,1.22571,0.0883162,9.74593,-8.51334,31.11,-38.0937,0.909757,-0.0383056,9.45669,-0.0103191,-0.0204318,-0.00978734,1.08771,0.0428184,9.72947,-12.7635,26.6141,-43.1096,0.002722513,0.000696961,0.000198604,1.88E-06,9.93E-06,3.34E-06,0.001232471,9.19E-05,1.78E-05,0.642632281,0.572820298,0.651994687
5.08 AM,1,1.177246002,0.081012333,9.5442506,-1.11E-05,4.45E-05,-3.30E-06,1.200015933,0.082039862,9.73260485,-10.85190802,28.86900333,-40.57265583,1.1779,0.0813994,9.54288,-0.000199741,-0.000113605,0.000113606,1.20084,0.08251735,9.7325,-10.79395,28.874,-40.66695,1.45082,0.217863,9.60512,0.00540652,0.00807906,0.00683312,1.21823,0.089704,9.73619,-8.39502,30.8158,-38.4273,0.799629,-0.0430938,9.47345,-0.00314558,-0.0047491,-0.00416245,1.17052,0.0711181,9.7304,-13.2062,26.6108,-43.0912,0.000976255,0.000312911,0.000113413,1.25E-06,2.22E-06,1.01E-06,1.63E-05,4.39E-06,2.50E-07,0.621422945,0.584515236,0.578451504
5.09 AM,1,1.17793615,0.082744057,9.543524333,1.89E-05,4.02E-05,-6.94E-05,1.201806483,0.084232992,9.732365917,-10.85260385,28.81490183,-40.61676467,1.1779,0.0837935,9.54288,-0.000223953,-0.000208124,0.000110347,1.20203,0.08422215,9.73234,-10.7929,28.8646,-40.6804,1.24972,0.126887,9.574,0.00344124,0.00528966,0.00196156,1.20989,0.0888573,9.73319,-8.65891,31.437,-38.2677,1.13001,0.0359115,9.51415,-0.00331785,-0.00510761,-0.00294398,1.19478,0.0812234,9.73139,-13.0483,26.1995,-43.3783,0.000152104,0.000123683,9.64E-05,1.25E-06,1.91E-06,6.11E-07,2.68E-06,1.02E-06,4.06E-08,0.555257682,0.554704647,0.703056337
5.10 AM,1,1.144359333,0.063571329,9.545994067,1.87E-05,-0.000264787,-0.000119205,1.168718317,0.065134819,9.736519083,-10.6863687,28.76464883,-40.49243333,1.13959,0.0622466,9.54527,-0.000191827,-0.000208124,-5.35E-05,1.16391,0.06210475,9.737155,-10.7635,28.84105,-40.5331,1.31675,0.181951,9.64822,0.0126042,0.0492719,0.0221015,1.22932,0.0982791,9.75144,-8.36624,31.8437,-38.1266,0.909757,-0.14604,9.48302,-0.0118304,-0.0808423,-0.016383,1.03789,0.0459499,9.72911,-12.7498,26.7857,-43.1038,0.000963109,0.000567394,0.000191493,4.53E-06,3.87E-05,3.85E-06,0.000353163,8.37E-05,5.26E-06,0.562271911,0.609508204,0.687128868
5.11 AM,1,1.123095433,0.061025608,9.548631517,-1.45E-05,7.64E-05,-3.43E-05,1.144409683,0.062732444,9.739443567,-10.66578573,28.79814667,-40.45362133,1.12283,0.0598525,9.54767,-8.99E-05,-5.40E-05,9.64E-05,1.14351,0.0625462,9.73955,-10.63,28.85815,-40.527,1.21381,0.107734,9.58118,0.00662965,0.00901491,0.00376157,1.16794,0.0716732,9.74003,-8.21631,30.95,-37.829,1.07974,0.0167587,9.51894,-0.00691134,-0.0104387,-0.00601227,1.13923,0.0597646,9.73662,-13.6369,26.6194,-43.0717,0.000108171,9.04E-05,8.50E-05,4.93E-06,8.97E-06,6.39E-07,1.27E-05,2.47E-06,1.79E-07,0.650437975,0.610641224,0.75765259
