accX_means1,accY_means1,accZ_means1,accX_medians1,accY_medians1,accZ_medians1,accX_maxes1,accY_maxes1,accZ_maxes1,accX_mins1,accY_mins1,accZ_mins1,accX_variances1,accY_variances1,accZ_variances1,accX_means6,accY_means6,accZ_means6,accX_medians6,accY_medians6,accZ_medians6,accX_maxes6,accY_maxes6,accZ_maxes6,accX_mins6,accY_mins6,accZ_mins6,accX_variances6,accY_variances6,accZ_variances6,accX_means10,accY_means10,accZ_means10,accX_medians10,accY_medians10,accZ_medians10,accX_maxes10,accY_maxes10,accZ_maxes10,accX_mins10,accY_mins10,accZ_mins10,accX_variances10,accY_variances10,accZ_variances10,tags
7.964975117,4.001077709,0.965535795,8.3578,4.281845,1.215005,11.2092,7.71857,6.74657,2.18581,-6.50955,-5.26941,2.207862087,7.084936695,7.729157376,3.762511137,1.013726611,6.30088072,1.56215,-0.418967,9.42796,21.2931,9.45669,11.8508,-1.44604,-6.50955,-5.26941,11.30195502,8.123628787,20.34210825,2.691216018,0.425377893,7.597043469,1.18508,-0.459667,9.52372,21.2931,9.45669,11.8508,-1.44604,-6.50955,-5.26941,8.506257771,5.393091143,14.72357001,3
2.061522565,-0.216681924,8.447150282,0.972004,-0.414179,9.54168,21.2931,9.45669,11.8508,-1.44604,-5.01803,-4.57991,4.833498026,3.728214358,10.04769377,3.069828185,0.652261253,7.113812994,1.24493,-0.421361,9.50218,21.2931,9.45669,11.8508,-1.44604,-6.50955,-5.26941,9.916540876,6.484362812,17.23792461,2.416625215,0.275693782,7.92165113,1.14677,-0.469243,9.53091,21.2931,9.45669,11.8508,-1.44604,-6.50955,-5.26941,7.465407373,4.606190355,12.79597626,3
1.261035728,-0.743215953,9.489956083,1.27366,-0.737382,9.4926,1.6615,-0.253774,9.76792,0.809205,-1.14438,9.35853,0.046035833,0.037261024,0.002622376,2.691216018,0.425377893,7.597043469,1.18508,-0.459667,9.52372,21.2931,9.45669,11.8508,-1.44604,-6.50955,-5.26941,8.506257771,5.393091143,14.72357001,2.237155337,0.162958329,8.151973537,1.15635,-0.476426,9.5333,21.2931,9.45669,11.8508,-1.44604,-6.50955,-5.26941,6.592121773,4.024509579,11.28593532,1
0.99177933,-0.432134822,9.552609817,0.992354,-0.42615,9.55485,1.24493,-0.318415,9.6961,0.845117,-0.6895,9.49021,0.004899583,0.001412891,0.00024115,2.416625215,0.275693782,7.92165113,1.14677,-0.469243,9.53091,21.2931,9.45669,11.8508,-1.44604,-6.50955,-5.26941,7.465407373,4.606190355,12.79597626,2.109189543,0.08080483,8.323989543,1.17071,-0.481214,9.53091,21.2931,9.45669,11.8508,-1.44604,-6.50955,-5.26941,5.882635781,3.568674236,10.08208619,1
1.17676735,-0.482155547,9.529965367,1.181485,-0.483608,9.52851,1.26648,-0.323203,9.56442,1.10847,-0.691895,9.50457,0.000533251,0.000302577,0.000108551,1.282518707,-0.476728235,9.349713161,1.13241,-0.483608,9.5357,21.2931,9.45669,11.8508,-1.44604,-5.01803,-4.57991,0.942558025,0.65107707,1.836192263,2.01196561,0.017530572,8.457478307,1.18508,-0.483608,9.53091,21.2931,9.45669,11.8508,-1.44604,-6.50955,-5.26941,5.304559145,3.204156506,9.104238662,1
1.0436712,-0.472726772,9.544689433,1.03664,-0.474032,9.54527,1.16832,-0.337568,9.58118,0.964822,-0.617678,9.50218,0.00088834,0.000839327,0.000116375,1.141169777,-0.522992858,9.529871711,1.15874,-0.488396,9.5357,1.6615,-0.0502761,9.76792,0.794841,-1.14438,9.35853,0.017802763,0.017313019,0.000957276,1.935332064,-0.032815905,8.564081378,1.20184,-0.483608,9.52851,21.2931,9.45669,11.8508,-1.44604,-6.50955,-5.26941,4.826889175,2.906521289,8.295969066,1
1.160336068,-0.51345439,9.533907983,1.16114,-0.514731,9.5333,1.48674,-0.0502761,9.58358,0.794841,-1.03425,9.44232,0.00106907,0.001607206,0.000173413,1.136692847,-0.480567448,9.5357771,1.16593,-0.486002,9.5357,1.48674,-0.0502761,9.6961,0.794841,-1.03425,9.44232,0.009222483,0.001482386,0.000240703,1.264046366,-0.481553006,9.420006385,1.20184,-0.486002,9.53091,21.2931,9.45669,11.8508,-1.44604,-5.01803,-4.57991,0.566163032,0.39076966,1.109050319,1
1.213428983,-0.494269665,9.528101583,1.2162,-0.493184,9.52851,1.29521,-0.23941,9.57161,1.07256,-0.658377,9.46866,0.000403293,0.000632561,0.000136584,1.179001317,-0.489534009,9.530926967,1.19944,-0.488396,9.53091,1.48674,-0.0502761,9.58358,0.794841,-1.03425,9.44232,0.005112755,0.000809109,0.000173312,1.183436276,-0.508711661,9.527599163,1.2186,-0.488396,9.52851,1.6615,-0.0502761,9.76792,0.794841,-1.14438,9.35853,0.01344665,0.010766099,0.000621035,1
1.23417415,-0.488663492,9.525388417,1.23296,-0.488396,9.52372,1.32872,-0.378268,9.574,1.12044,-0.608101,9.49739,0.000330571,0.000361313,0.000102331,1.191559781,-0.490223636,9.530063717,1.22578,-0.488396,9.52851,1.48674,-0.0502761,9.58358,0.794841,-1.03425,9.44232,0.005770184,0.000769435,0.000174672,1.183499702,-0.483230476,9.530721433,1.22578,-0.486002,9.52851,1.48674,-0.0502761,9.6961,0.794841,-1.03425,9.44232,0.008868093,0.00094535,0.000220467,1
1.24563015,-0.485934192,9.523509017,1.24733,-0.486002,9.52372,1.28563,-0.409391,9.55485,1.19944,-0.538672,9.48542,0.000112718,0.000171592,0.000110674,1.226851525,-0.492813919,9.526461822,1.24014,-0.49079,9.52612,1.48674,-0.0502761,9.58358,0.794841,-1.03425,9.44232,0.001422434,0.000586954,0.00012971,1.21108608,-0.488878951,9.52738161,1.24014,-0.488396,9.52612,1.48674,-0.0502761,9.58358,0.794841,-1.03425,9.44232,0.004658671,0.00052146,0.000159789,1
