accX_means,accY_means,accZ_means,gyroX_means,gyroY_means,gyroZ_means,gravX_means,gravY_means,gravZ_means,magX_means,magY_means,magZ_means,accX_medians,accY_medians,accZ_medians,gyroX_medians,gyroY_medians,gyroZ_medians,gravX_medians,gravY_medians,gravZ_medians,magX_medians,magY_medians,magZ_medians,accX_maxes,accY_maxes,accZ_maxes,gyroX_maxes,gyroY_maxes,gyroZ_maxes,gravX_maxes,gravY_maxes,gravZ_maxes,magX_maxes,magY_maxes,magZ_maxes,accX_mins,accY_mins,accZ_mins,gyroX_mins,gyroY_mins,gyroZ_mins,gravX_mins,gravY_mins,gravZ_mins,magX_mins,magY_mins,magZ_mins,accX_variances,accY_variances,accZ_variances,gyroX_variances,gyroY_variances,gyroZ_variances,gravX_variances,gravY_variances,gravZ_variances,magX_variances,magY_variances,magZ_variances,tags
1.614402033,1.241562324,9.368250693,0.004486153,0.005885784,0.008564652,1.658127897,1.258314299,9.489378417,-16.29084807,7.707684433,-51.40693178,1.28563,0.756535,9.53091,0.000297983,-0.00323498,-0.000136886,1.33521,0.767349,9.685465,-18.61515,18.0964,-55.7825,9.08082,7.09611,11.3025,3.70946,3.76326,4.19991,7.88956,9.24096,9.71608,7.89375,34.0374,0,-2.40368,-2.97586,-0.964822,-2.36559,-2.57813,-1.57887,-1.49011,-1.71665,0,-50.1171,-26.8314,-59.0222,0.625443289,0.96054421,0.26189736,0.042641024,0.059091126,0.044726902,0.503848199,0.998996831,0.234035514,37.06121104,281.7054883,56.91199201,3
1.443399179,1.065941546,9.421135583,0.003304526,0.004441729,0.006699647,1.482201366,1.080544855,9.552298683,-16.53096289,10.58396508,-52.57332696,1.23775,0.744565,9.54048,5.45E-05,-0.00262411,-0.000136886,1.278165,0.7578365,9.69367,-18.3031,18.39045,-55.89605,9.08082,7.09611,11.3025,3.70946,3.76326,4.19991,7.88956,9.24096,9.76898,7.89375,34.0374,0,-2.40368,-2.97586,-0.964822,-2.36559,-2.57813,-1.57887,-1.49011,-1.71665,0,-50.1171,-26.8314,-59.0222,0.571634434,0.817435243,0.205451542,0.031990168,0.044518294,0.033582837,0.48458442,0.847696143,0.187762175,28.48778466,236.2791656,46.91309016,3
1.305572293,0.942500815,9.456369879,0.002648786,0.003558621,0.005375098,1.339250614,0.955719478,9.595021587,-16.50107918,12.38180666,-53.2366842,1.21381,0.727806,9.55006,5.45E-05,-0.00130833,-1.58E-05,1.254675,0.7493095,9.69627,-17.3923,18.68905,-55.8962,9.08082,7.09611,11.3025,3.70946,3.76326,4.19991,7.88956,9.24096,9.76898,7.89375,34.0374,0,-2.40368,-2.97586,-0.964822,-2.36559,-2.57813,-1.57887,-1.49011,-1.71665,0,-50.1171,-26.8314,-59.0222,0.533403786,0.714915478,0.169338124,0.025591959,0.035615348,0.026872156,0.469408142,0.740447294,0.157500678,22.90447694,202.0448786,39.40504327,3
1.214383325,0.860533527,9.479417149,0.002201409,0.002957183,0.004474275,1.244798338,0.87287348,9.623417669,-16.48380681,13.57934883,-53.66897528,1.16114,0.559022,9.56203,2.51E-05,-0.000697467,-3.31E-05,1.227085,0.5430935,9.707275,-16.943,18.8641,-55.8962,9.08082,7.09611,11.3025,3.70946,3.76326,4.19991,7.88956,9.24096,9.76898,7.89375,34.0374,0,-2.40368,-2.97586,-0.964822,-2.36559,-2.57813,-1.57887,-1.49011,-1.71665,0,-50.1171,-26.8314,-59.0222,0.486140611,0.629370505,0.143784498,0.021326674,0.029679958,0.022396585,0.435805204,0.651333726,0.135276292,19.17704795,175.6090512,33.87572189,3
0.969866695,0.553278207,9.571468817,-0.000126929,-0.001471093,-1.18E-05,0.996118028,0.560838271,9.732938186,-17.52100842,19.15861256,-56.03325331,0.78287,0.464455,9.58597,2.51E-05,-0.000650906,-3.31E-05,0.7942135,0.463016,9.763795,-17.07385,19.2945,-56.02505,5.00127,4.67807,10.534,0.0956869,0.952639,0.0989089,4.6773,0.995345,9.76898,-13.9073,22.3958,-48.9973,-0.699077,-0.962428,8.42004,-0.124835,-1.43645,-0.495463,0.720461,0.264167,8.6153,-36.6441,15.4602,-59.0222,0.10825312,0.02735468,0.003896211,3.47E-05,0.001949867,0.000121364,0.109742908,0.019941771,0.003863952,3.37818334,0.872310957,0.70306133,3
0.863852639,0.516208256,9.585294036,4.03E-05,-0.000541184,0.000171439,0.882908351,0.525570926,9.749590133,-16.95658822,19.28718603,-55.98098111,0.761323,0.457273,9.59315,5.91E-05,-0.000203932,-3.31E-05,0.769068,0.459426,9.76558,-16.769,19.3655,-55.9457,2.61196,1.16832,10.0863,0.0446602,0.274583,0.107398,2.49165,0.995345,9.77083,-13.9073,21.8951,-52.792,-0.423755,0.0502761,8.89168,-0.063265,-0.238544,-0.106405,0.696677,0.422365,9.43246,-25.4077,15.4602,-58.9024,0.044313218,0.01600455,0.001192934,1.10E-05,0.000146275,3.60E-05,0.044013226,0.015171464,0.00095937,1.716381324,0.788352223,0.63659154,3
0.786355001,0.467839481,9.593916697,-3.70E-05,-7.50E-05,0.000178673,0.801536896,0.476158772,9.761307431,-16.50860986,19.49513722,-55.88791517,0.756535,0.452485,9.59555,5.45E-05,-7.40E-05,-3.31E-05,0.7688975,0.458876,9.76559,-16.3365,19.5133,-55.9088,2.61196,1.16832,10.0863,0.0446602,0.274583,0.107398,2.49165,0.995345,9.77083,-13.6112,21.8951,-52.792,-0.423755,0.0502761,8.89168,-0.063265,-0.238544,-0.106405,0.696677,0.422365,9.43246,-25.4077,15.4602,-58.5031,0.01739779,0.005098994,0.000885209,1.08E-05,0.000143149,3.68E-05,0.014156628,0.003587597,0.000336818,0.924972862,0.594298102,0.615711485,3
0.758102642,0.454361366,9.596502972,2.50E-05,-3.92E-05,-1.46E-05,0.771776564,0.462498172,9.765267008,-16.34288106,19.54586336,-55.83441433,0.754141,0.452485,9.59794,5.91E-05,-4.80E-05,-3.31E-05,0.7684625,0.458555,9.76562,-16.3209,19.5231,-55.8038,2.3534,1.5418,10.0863,0.0446602,0.114035,0.107398,0.912625,0.577098,9.77083,-13.6112,21.8951,-52.792,-0.423755,0.0502761,8.09924,-0.0390283,-0.0922806,-0.106405,0.696677,0.432976,9.74876,-18.6003,16.182,-58.5031,0.003643292,0.001540942,0.001066656,5.28E-06,1.42E-05,1.64E-05,0.000269382,0.000133029,3.15E-06,0.55714065,0.534908159,0.612371347,3
0.756826455,0.456124355,9.596299467,2.55E-05,-7.62E-05,-4.00E-05,0.770581629,0.464353134,9.765272683,-16.31388917,19.52483342,-55.81439778,0.751747,0.454879,9.59794,5.91E-05,-4.80E-05,-7.08E-05,0.767703,0.4628695,9.76554,-16.3095,19.5165,-55.8011,2.3534,1.5418,10.0863,0.0446602,0.114035,0.107398,0.912625,0.577098,9.77083,-13.6112,21.8951,-52.792,-0.423755,0.0502761,8.09924,-0.0390283,-0.0922806,-0.106405,0.696677,0.432976,9.74876,-18.6003,16.182,-58.5031,0.003589116,0.001527705,0.001065009,5.22E-06,1.39E-05,1.56E-05,0.000287289,0.000128114,3.17E-06,0.550144537,0.534557823,0.617276006,3
0.753885698,0.457308766,9.596510261,2.73E-05,-6.88E-05,-4.28E-05,0.76732654,0.465466193,9.765476167,-16.27382969,19.52722569,-55.79897633,0.749353,0.457273,9.59794,5.91E-05,-4.80E-05,-7.50E-05,0.7656075,0.464911,9.76569,-16.182,19.5209,-55.79725,2.3534,1.5418,10.0863,0.0446602,0.114035,0.107398,0.912625,0.577098,9.77083,-13.6112,21.8951,-52.792,-0.423755,0.0502761,8.09924,-0.0390283,-0.0922806,-0.106405,0.696677,0.432976,9.74876,-18.6097,16.182,-58.3444,0.003561002,0.001496403,0.001058794,5.12E-06,1.37E-05,1.54E-05,0.000292838,0.000119996,3.22E-06,0.55314459,0.540784987,0.601233132,1
