accX_means1,accY_means1,accZ_means1,accX_medians1,accY_medians1,accZ_medians1,accX_maxes1,accY_maxes1,accZ_maxes1,accX_mins1,accY_mins1,accZ_mins1,accX_variances1,accY_variances1,accZ_variances1,accX_means6,accY_means6,accZ_means6,accX_medians6,accY_medians6,accZ_medians6,accX_maxes6,accY_maxes6,accZ_maxes6,accX_mins6,accY_mins6,accZ_mins6,accX_variances6,accY_variances6,accZ_variances6,accX_means10,accY_means10,accZ_means10,accX_medians10,accY_medians10,accZ_medians10,accX_maxes10,accY_maxes10,accZ_maxes10,accX_mins10,accY_mins10,accZ_mins10,accX_variances10,accY_variances10,accZ_variances10,accX_variances20,accY_variances20,accZ_variances20,accX_variances30,accY_variances30,accZ_variances30,tags
2.521696167,0.284019912,9.283309517,2.52099,0.284898,9.28192,2.54493,0.313627,9.31783,2.49465,0.25138,9.25319,6.18E-05,9.73E-05,0.000105886,2.491413606,0.305731736,9.291942639,2.50183,0.29208,9.2915,2.76758,0.471637,9.58597,2.02541,0.229833,8.93238,0.001644899,0.001161935,0.000335547,2.470929365,0.312209641,9.297362995,2.46113,0.294474,9.29628,2.9208,0.471637,9.58597,2.02541,0.229833,8.93238,0.001876886,0.001436802,0.000319967,0.015327578,0.004967255,0.00092609,0.121792366,0.006467577,0.005136936,2
2.477468883,0.319803713,9.29489685,2.51141,0.296868,9.2915,2.5952,0.471637,9.58597,2.02541,0.229833,9.17419,0.004970262,0.001799472,0.000689402,2.483441161,0.317628421,9.294167183,2.49944,0.296868,9.29389,2.76758,0.471637,9.58597,2.02541,0.229833,8.93238,0.001946506,0.001512603,0.000361602,2.472401313,0.321381038,9.29695677,2.46353,0.301656,9.29628,2.9208,0.596131,9.64822,2.02541,0.222651,8.93238,0.001924096,0.001694716,0.000368182,0.008267341,0.005461833,0.000634085,0.114900637,0.006872331,0.004899224,2
2.44208415,0.361860103,9.306021067,2.44198,0.361509,9.30586,2.46832,0.390238,9.3322,2.42043,0.325597,9.28192,7.74E-05,9.54E-05,9.05E-05,2.474428597,0.329106145,9.296646406,2.45395,0.351933,9.29628,2.76758,0.471637,9.58597,2.02541,0.229833,8.93238,0.002056368,0.001570314,0.000369538,2.469776592,0.334099289,9.297307917,2.45635,0.349538,9.29628,2.76758,0.596131,9.64822,2.02541,0.222651,8.93238,0.001926813,0.002233709,0.000341496,0.00896996,0.006039624,0.000678515,0.119884112,0.00696564,0.005054113,2
2.444653767,0.362083558,9.305211233,2.44437,0.361509,9.30586,2.47071,0.390238,9.3322,2.41325,0.33278,9.27713,7.37E-05,9.28E-05,0.000102727,2.461074767,0.343173474,9.300032664,2.44677,0.356721,9.30107,2.5952,0.596131,9.64822,2.02541,0.222651,9.17419,0.00209994,0.00152617,0.000362923,2.453153968,0.34862947,9.30114326,2.44677,0.356721,9.30107,2.76758,0.596131,9.64822,1.75727,0.222651,8.93238,0.005213182,0.003015727,0.00053522,0.017389136,0.006635387,0.001012106,0.123957599,0.007278515,0.005165873,2
2.445631583,0.360303937,9.305079433,2.44677,0.359115,9.30586,2.47789,0.387844,9.33459,2.41804,0.316021,9.28192,7.53E-05,0.000107611,8.85E-05,2.444806219,0.364711048,9.303723542,2.44198,0.363903,9.30347,2.5952,0.596131,9.64822,2.02541,0.222651,9.17419,0.001452647,0.001296963,0.000307131,2.425038063,0.367166183,9.307691162,2.44198,0.363903,9.30347,2.76758,0.596131,9.64822,1.75727,0.222651,8.93238,0.009709379,0.003986589,0.000776662,0.03525891,0.007108066,0.001792467,0.118654676,0.00888465,0.004954087,2
2.43491405,0.370969618,9.305677883,2.44437,0.363903,9.30347,2.5138,0.596131,9.64822,2.12835,0.222651,9.18616,0.001852597,0.001149265,0.000676831,2.419605106,0.384077972,9.3096103,2.43719,0.368691,9.30586,2.5138,0.596131,9.64822,1.75727,0.222651,9.18616,0.004757309,0.001386573,0.000449017,2.397622835,0.386253933,9.314151213,2.43719,0.368691,9.30826,2.5952,0.596131,9.64822,1.75727,0.222651,9.17419,0.011641268,0.004188026,0.000841879,0.051434213,0.007610388,0.002502912,0.112722195,0.010589311,0.0046984,2
2.424084883,0.413245357,9.305454783,2.42522,0.414179,9.30586,2.45874,0.447696,9.33698,2.39649,0.38545,9.27713,7.39E-05,9.48E-05,0.000103223,2.382349067,0.403235409,9.317887308,2.43001,0.399814,9.30826,2.5138,0.596131,9.64822,1.75727,0.222651,9.18616,0.010024418,0.002369938,0.000733021,2.373985087,0.405433856,9.319807648,2.43001,0.399814,9.31304,2.5952,0.596131,9.64822,1.75727,0.222651,9.17419,0.010805322,0.003576403,0.000779676,0.06656099,0.008089764,0.003150617,0.117307224,0.012029453,0.004851591,1
2.3262622,0.43600526,9.3302174,2.41325,0.418967,9.31783,2.45874,0.579372,9.55245,1.75727,0.265745,9.23643,0.015635242,0.001520789,0.001125118,2.348387564,0.422462007,9.325345578,2.41804,0.416573,9.31544,2.5138,0.596131,9.64822,1.75727,0.222651,9.18616,0.011789233,0.002647217,0.000868695,2.354871418,0.420886164,9.324383948,2.41804,0.416573,9.31783,2.5138,0.596131,9.64822,1.75727,0.222651,9.18616,0.009649886,0.002909696,0.000681014,0.098005342,0.008017966,0.004288409,0.123560215,0.013350608,0.005082094,1
2.218547917,0.476804725,9.355683117,2.21933,0.476426,9.35614,2.24806,0.509943,9.38008,2.19299,0.452485,9.32262,8.07E-05,9.13E-05,9.52E-05,2.321668747,0.441714541,9.33114465,2.28876,0.464455,9.33459,2.5138,0.596131,9.64822,1.75727,0.222651,9.18616,0.010161414,0.00210415,0.000802597,2.323502355,0.431328419,9.33069724,2.29594,0.459667,9.3298,2.5138,1.00792,9.68652,1.00073,0.191528,9.18616,0.022498067,0.003239915,0.001158655,0.122195914,0.008182979,0.005120563,0.128566685,0.014467126,0.005248293,1
2.24088475,0.477443145,9.34996085,2.22651,0.476426,9.34896,2.48986,0.58416,9.58358,1.9871,0.404603,9.19813,0.001451972,0.00016082,0.000382737,2.296905106,0.458940738,9.336974978,2.28158,0.471637,9.34177,2.48986,0.58416,9.58358,1.75727,0.265745,9.19813,0.007324622,0.000976412,0.000579081,2.256988737,0.418763383,9.344468862,2.28636,0.459667,9.33938,2.5138,1.00792,9.68652,1.00073,0.191528,9.18616,0.046202596,0.006402734,0.002163422,0.128296608,0.009833219,0.005292698,0.132245428,0.01541841,0.005355611,1
2.285318683,0.475819138,9.339873867,2.28397,0.476426,9.33938,2.31509,0.505155,9.3705,2.26003,0.445302,9.30826,7.32E-05,9.07E-05,9.34E-05,2.247623211,0.467780286,9.347591511,2.27918,0.474032,9.34417,2.48986,1.00792,9.68652,1.00073,0.191528,9.19813,0.022706749,0.001528716,0.001055876,2.18980874,0.405906665,9.358441995,2.27918,0.459667,9.34417,2.5138,1.00792,9.68652,1.00073,0.191528,9.18616,0.061479125,0.009394944,0.00282064,0.130144156,0.01122945,0.005251437,0.136199706,0.01779298,0.00548438,1
2.2863322,0.474326802,9.34065985,2.28636,0.474032,9.34177,2.32228,0.512337,9.39205,2.24327,0.442908,9.31544,8.89E-05,0.000104711,9.71E-05,2.156499108,0.434518276,9.366376519,2.26721,0.471637,9.34896,2.48986,1.00792,9.68652,1.00073,0.191528,9.19813,0.047311284,0.00894086,0.001997076,2.122011453,0.392415913,9.372546018,2.22651,0.459667,9.35135,2.48986,1.00792,9.68652,1.00073,0.098158,9.19813,0.06981222,0.011962763,0.003076234,0.128406149,0.012202088,0.005102541,0.138171963,0.020659817,0.005517343,1
2.128393517,0.466282648,9.369153983,2.28158,0.471637,9.34417,2.33664,1.00792,9.68652,1.00073,0.191528,9.28192,0.09484974,0.005920359,0.00360333,2.082379725,0.393673615,9.381231128,2.26721,0.466849,9.35135,2.48986,1.00792,9.68652,1.00073,0.191528,9.19813,0.065588626,0.013833441,0.002782876,2.025624583,0.393302526,9.391557932,2.21454,0.459667,9.35853,2.48986,1.00792,9.68652,1.00073,0.098158,9.19813,0.095448263,0.012050756,0.003793763,0.125148622,0.013073066,0.004905765,0.137938655,0.023312417,0.00546372,1
1.779517583,0.236433195,9.44292745,1.77882,0.237016,9.44232,1.80754,0.265745,9.47106,1.75248,0.203498,9.4136,7.83E-05,0.00010528,9.92E-05,2.001722464,0.353443441,9.397357339,1.79079,0.265745,9.43036,2.33664,1.00792,9.68652,1.00073,0.098158,9.28192,0.072946814,0.015328421,0.003046303,1.940996358,0.394636838,9.407445985,1.79079,0.457273,9.43036,2.48986,1.00792,9.68652,1.00073,0.098158,9.19813,0.108024445,0.012293079,0.004055684,0.120815302,0.014099621,0.004709279,0.135232959,0.025614402,0.005309148,1
1.773831617,0.23173676,9.444810767,1.77403,0.232228,9.44472,1.8267,0.265745,9.47345,1.74051,0.191528,9.41599,9.20E-05,0.00011624,9.51E-05,1.864205381,0.344492165,9.423307347,1.77642,0.265745,9.44232,2.33664,1.00792,9.68652,1.00073,0.098158,9.28192,0.089923965,0.013611691,0.003457329,1.889341232,0.404933059,9.41652796,1.77642,0.457273,9.43993,2.48986,1.00792,9.68652,1.00073,0.098158,9.14546,0.103395759,0.014968201,0.003885904,0.113633016,0.014942944,0.00440139,0.130845055,0.027475219,0.005079417,1
1.756941183,0.236062102,9.446718117,1.76804,0.232228,9.44472,1.9057,0.47882,9.52851,1.36942,0.098158,9.35614,0.003839975,0.001016377,0.000212185,1.729813339,0.340329095,9.448047028,1.76684,0.265745,9.44951,2.33664,1.00792,9.68652,1.00073,0.098158,9.28192,0.067685518,0.013039955,0.002497638,1.836526155,0.416426733,9.426017757,1.76684,0.457273,9.44232,2.33664,1.00792,9.68652,1.00073,0.098158,9.14546,0.091227757,0.01781747,0.003403766,0.105530054,0.017713889,0.004092759,0.124470904,0.028811395,0.004746075,1
1.460216183,0.422111485,9.495573917,1.47237,0.421361,9.495,1.6615,0.682318,9.58358,1.12044,0.272927,9.37768,0.002575429,0.000535174,0.000257467,1.658747194,0.359243143,9.460938508,1.72136,0.373479,9.4519,1.9057,0.751747,9.68652,1.00792,0.098158,9.14546,0.020557672,0.018672475,0.00075718,1.77951868,0.428499383,9.436729318,1.72615,0.457273,9.44472,2.33664,1.00792,9.68652,1.00073,0.098158,9.14546,0.069303773,0.020563754,0.002589778,0.094051967,0.020813157,0.003572797,0.116392364,0.029654262,0.004364333,1
1.47997995,0.449348378,9.489097933,1.46279,0.428544,9.49021,1.72854,0.660771,9.68652,1.00792,0.373479,9.34896,0.005633706,0.00264568,0.000515785,1.647616594,0.41856759,9.461260403,1.70939,0.423755,9.4519,1.9057,0.751747,9.68652,1.00792,0.098158,9.14546,0.018487831,0.021696639,0.000744696,1.72261576,0.440763564,9.447404552,1.71896,0.460864,9.44711,2.33664,1.00792,9.68652,1.00073,0.098158,9.14546,0.040761294,0.023041028,0.001563038,0.080392274,0.023983493,0.00298564,0.110592222,0.030711338,0.004186036,1
