accX_variances1,accY_variances1,accZ_variances1,gyroX_variances1,gyroY_variances1,gyroZ_variances1,gravX_variances1,gravY_variances1,gravZ_variances1,magX_variances1,magY_variances1,magZ_variances1,accX_variances2,accY_variances2,accZ_variances2,gyroX_variances2,gyroY_variances2,gyroZ_variances2,gravX_variances2,gravY_variances2,gravZ_variances2,magX_variances2,magY_variances2,magZ_variances2,accX_variances3,accY_variances3,accZ_variances3,gyroX_variances3,gyroY_variances3,gyroZ_variances3,gravX_variances3,gravY_variances3,gravZ_variances3,magX_variances3,magY_variances3,magZ_variances3,accX_variances4,accY_variances4,accZ_variances4,gyroX_variances4,gyroY_variances4,gyroZ_variances4,gravX_variances4,gravY_variances4,gravZ_variances4,magX_variances4,magY_variances4,magZ_variances4,accX_variances5,accY_variances5,accZ_variances5,gyroX_variances5,gyroY_variances5,gyroZ_variances5,gravX_variances5,gravY_variances5,gravZ_variances5,magX_variances5,magY_variances5,magZ_variances5,tags
6.07E-05,9.11E-05,8.46E-05,2.81E-06,5.85E-06,5.22E-07,2.19E-06,1.40E-06,2.30E-08,0.608235334,0.682839615,0.682374694,6.74E-05,8.03E-05,9.00E-05,2.59E-06,5.87E-06,4.99E-07,2.70E-06,1.16E-06,2.57E-08,0.626351174,0.646184711,0.701552816,6.54E-05,8.01E-05,8.45E-05,2.24E-06,4.72E-06,5.27E-07,1.13E-06,7.94E-07,8.51E-09,0.570838217,0.699003518,0.680334916,0.0001571,9.62E-05,9.46E-05,2.39E-06,5.69E-06,7.37E-07,3.56E-05,5.02E-06,3.00E-07,0.663151331,0.583153157,0.721397835,6.76E-05,8.46E-05,8.62E-05,2.35E-06,4.68E-06,5.09E-07,1.17E-06,9.82E-07,1.03E-08,0.635967415,0.711145487,0.667583647,1
6.99E-05,6.81E-05,8.37E-05,1.92E-06,4.21E-06,4.67E-07,3.09E-06,6.84E-07,2.63E-08,0.602101718,0.580864895,0.660722295,7.06E-05,7.57E-05,8.63E-05,1.79E-06,3.06E-06,4.32E-07,2.37E-06,5.91E-07,1.93E-08,0.596001037,0.577202986,0.653141299,6.67E-05,7.50E-05,9.32E-05,1.41E-06,2.16E-06,5.23E-07,7.05E-07,9.02E-07,6.14E-09,0.590639218,0.70359797,0.753290593,6.89E-05,7.46E-05,9.27E-05,1.54E-06,2.49E-06,4.75E-07,1.96E-06,8.99E-07,1.23E-08,0.617868861,0.628066412,0.681859223,6.90E-05,7.52E-05,8.46E-05,1.48E-06,2.63E-06,5.02E-07,5.24E-07,1.28E-06,5.04E-09,0.631645629,0.652219026,0.64605625,1
6.19E-05,6.74E-05,8.35E-05,1.53E-06,2.54E-06,4.99E-07,1.17E-06,6.62E-07,1.06E-08,0.602862216,0.634217577,0.626762101,6.55E-05,7.16E-05,8.90E-05,1.79E-06,3.37E-06,4.99E-07,1.42E-06,8.02E-07,1.25E-08,0.583173079,0.634405581,0.671133634,7.12E-05,8.06E-05,9.73E-05,1.19E-06,1.69E-06,4.83E-07,7.86E-07,6.59E-07,7.01E-09,0.565232055,0.65443045,0.668493862,6.79E-05,8.68E-05,8.58E-05,1.58E-06,2.11E-06,4.85E-07,7.76E-07,8.77E-07,6.40E-09,0.599006166,0.595368199,0.701512492,0.113089854,0.005220319,0.002025055,4.60E-06,4.66E-05,3.55E-06,0.116631624,0.005258189,0.002051016,3.30775242,0.876342042,0.714612211,1
9.88E-05,6.39E-05,8.89E-05,1.02E-06,1.46E-06,4.80E-07,3.51E-05,2.25E-06,9.91E-07,0.555317274,0.665566707,0.662786863,8.47E-05,6.51E-05,0.000127608,1.62E-06,2.98E-06,5.15E-07,1.79E-05,9.59E-07,4.98E-07,0.606566979,0.576710811,0.682146074,7.58E-05,6.81E-05,9.06E-05,1.19E-06,1.97E-06,5.03E-07,1.14E-05,1.53E-06,3.48E-07,0.553950302,0.654625206,0.723376172,0.000137614,7.08E-05,0.000111759,1.52E-06,3.06E-06,5.04E-07,6.96E-05,3.18E-06,1.72E-06,0.65688773,0.549771313,0.730168365,0.000284891,8.23E-05,8.40E-05,1.38E-06,2.69E-06,5.71E-07,0.000198387,1.07E-05,4.94E-06,0.660580869,0.645088491,0.714267928,1
0.015221122,0.000347875,0.000433342,3.38E-06,2.08E-05,5.01E-06,0.015015612,0.000154395,0.00036002,0.996673452,0.661278799,0.692960772,0.00158523,0.000479294,0.000135571,3.46E-06,6.08E-06,9.37E-07,0.001310494,0.000155502,2.94E-05,0.646005035,0.548096891,0.697886178,0.002355414,0.000187949,0.000118579,1.55E-06,3.89E-06,7.05E-07,0.002057738,7.47E-05,4.09E-05,0.669531124,0.642622339,0.776511764,7.31E-05,6.34E-05,0.000115605,2.36E-06,4.66E-06,5.58E-07,9.16E-06,3.89E-06,2.40E-07,0.593911844,0.585191303,0.767036227,6.92E-05,6.07E-05,8.91E-05,2.73E-06,6.53E-06,4.49E-07,2.41E-06,1.13E-06,5.13E-08,0.630464528,0.603044463,0.668478994,1
5.75E-05,5.81E-05,0.00010954,2.94E-06,7.03E-06,5.39E-07,2.24E-06,1.24E-06,5.34E-08,0.633516138,0.680282493,0.731340555,6.68E-05,7.18E-05,0.000102788,3.44E-06,8.53E-06,5.17E-07,2.82E-06,1.47E-06,6.77E-08,0.618591409,0.638424972,0.697704645,5.79E-05,6.36E-05,8.23E-05,2.66E-06,6.32E-06,4.50E-07,9.92E-07,9.67E-07,2.14E-08,0.628609313,0.732512094,0.74418674,6.09E-05,5.81E-05,8.60E-05,2.83E-06,6.51E-06,5.05E-07,2.82E-06,8.88E-07,5.79E-08,0.669592982,0.666092509,0.791641997,6.15E-05,6.43E-05,7.37E-05,1.09E-06,2.13E-06,4.83E-07,1.78E-06,9.12E-07,3.58E-08,0.644981432,0.652408643,0.756170794,0
6.82E-05,6.07E-05,8.77E-05,7.43E-07,6.93E-07,5.57E-07,1.99E-06,4.98E-07,3.89E-08,0.653467554,0.694569867,0.78610201,6.57E-05,6.01E-05,8.05E-05,7.56E-07,6.66E-07,5.20E-07,1.26E-06,7.24E-07,3.20E-08,0.722230809,0.714440203,0.771007567,6.03E-05,7.12E-05,7.93E-05,7.39E-07,6.44E-07,5.16E-07,6.80E-07,9.02E-07,1.98E-08,0.682522683,0.63754587,0.674797178,6.28E-05,6.64E-05,8.95E-05,8.10E-07,6.64E-07,5.52E-07,5.06E-07,6.48E-07,1.35E-08,0.582536752,0.698849342,0.738028881,6.28E-05,6.13E-05,8.52E-05,8.35E-07,6.16E-07,5.22E-07,5.37E-07,5.94E-07,1.44E-08,0.707288545,0.65889781,0.813528537,0
6.80E-05,6.45E-05,8.23E-05,8.28E-07,7.05E-07,4.69E-07,1.94E-06,6.51E-07,4.03E-08,0.715358555,0.700128541,0.704942006,6.83E-05,6.75E-05,8.62E-05,7.36E-07,7.23E-07,5.33E-07,9.83E-07,7.54E-07,2.25E-08,0.702742048,0.651799707,0.741566592,5.95E-05,7.26E-05,0.000104507,7.83E-07,6.35E-07,5.16E-07,2.49E-06,1.02E-06,5.81E-08,0.722580389,0.635248647,0.690418479,6.45E-05,6.51E-05,8.77E-05,8.28E-07,6.69E-07,4.78E-07,9.66E-07,1.49E-06,2.45E-08,0.654103808,0.615470321,0.688590708,6.15E-05,6.31E-05,0.000102853,7.70E-07,5.88E-07,4.70E-07,2.30E-06,7.67E-07,4.55E-08,0.658591319,0.699576296,0.772483427,0
6.79E-05,7.20E-05,9.14E-05,7.81E-07,6.87E-07,5.24E-07,1.58E-06,6.01E-07,3.19E-08,0.763915576,0.686176583,0.76336539,6.23E-05,5.67E-05,9.82E-05,7.52E-07,7.33E-07,4.98E-07,6.11E-07,4.81E-07,1.46E-08,0.620994836,0.667113853,0.73517184,6.18E-05,6.91E-05,9.31E-05,7.73E-07,6.40E-07,4.79E-07,3.67E-06,6.95E-07,6.25E-08,0.702117454,0.754127033,0.791102902,6.25E-05,6.59E-05,0.000104199,7.69E-07,7.18E-07,5.11E-07,1.94E-06,6.21E-07,4.23E-08,0.675013131,0.643416073,0.83354594,6.47E-05,6.67E-05,8.51E-05,7.38E-07,7.02E-07,5.01E-07,1.97E-06,6.63E-07,3.92E-08,0.658534363,0.694607035,0.657985041,0
6.15E-05,6.67E-05,9.10E-05,7.67E-07,6.50E-07,4.86E-07,1.09E-06,1.09E-06,2.31E-08,0.651532121,0.632023309,0.743304207,6.69E-05,6.43E-05,8.04E-05,6.97E-07,6.26E-07,5.63E-07,1.52E-06,7.78E-07,3.04E-08,0.624026668,0.629505189,0.672071573,6.50E-05,6.29E-05,8.33E-05,6.46E-07,6.58E-07,5.20E-07,7.71E-07,5.81E-07,1.83E-08,0.669817111,0.624401546,0.725009439,6.09E-05,6.42E-05,8.92E-05,7.18E-07,6.53E-07,5.40E-07,3.16E-06,9.88E-07,7.81E-08,0.606931584,0.616570644,0.733666814,5.68E-05,6.34E-05,8.88E-05,8.21E-07,6.77E-07,4.88E-07,2.96E-06,9.73E-07,5.77E-08,0.696181396,0.62604695,0.744231919,0
6.53E-05,5.93E-05,9.19E-05,7.05E-07,6.97E-07,4.78E-07,4.85E-07,1.40E-06,1.30E-08,0.641277984,0.666402707,0.711365182,6.24E-05,7.18E-05,9.25E-05,7.98E-07,7.12E-07,5.06E-07,1.91E-06,1.15E-06,5.15E-08,0.684151124,0.634594974,0.858560617,6.56E-05,6.15E-05,8.63E-05,7.65E-07,7.00E-07,5.42E-07,9.63E-07,7.01E-07,2.51E-08,0.607913834,0.729821,0.751122393,6.20E-05,6.90E-05,9.17E-05,7.21E-07,6.71E-07,4.67E-07,4.88E-07,7.50E-07,1.33E-08,0.637538782,0.686282274,0.673714107,0.000448303,9.89E-05,0.000110113,9.31E-07,3.55E-06,6.39E-07,0.000294248,2.28E-06,6.70E-06,0.659946807,0.621246214,0.73969984,0
0.026970802,0.001030606,0.000666871,3.24E-06,4.61E-05,5.23E-06,0.026656018,0.000903545,0.000550053,1.233924192,0.694164885,0.770312291,9.44E-05,0.000114486,8.95E-05,8.16E-07,1.60E-06,5.62E-07,3.46E-05,2.21E-05,4.85E-07,0.702730557,0.697944913,0.701261166,8.32E-05,7.80E-05,8.13E-05,7.36E-07,7.77E-07,4.86E-07,5.28E-06,2.08E-06,7.79E-08,0.732164794,0.663380166,0.683429621,7.32E-05,7.16E-05,8.30E-05,7.50E-07,7.07E-07,5.41E-07,8.27E-07,6.73E-07,1.00E-08,0.718779755,0.662985237,0.689258451,7.27E-05,7.93E-05,8.26E-05,7.34E-07,7.82E-07,5.24E-07,1.04E-06,8.13E-07,1.38E-08,0.579815826,0.804273243,0.81469725,1
7.74E-05,8.11E-05,8.39E-05,7.69E-07,8.28E-07,5.00E-07,2.34E-06,1.87E-06,2.93E-08,0.627941375,0.6854284,0.824377581,8.25E-05,8.41E-05,8.72E-05,7.08E-07,7.10E-07,4.89E-07,4.03E-06,7.29E-07,4.37E-08,0.661108823,0.687997432,0.748297934,7.56E-05,8.01E-05,9.10E-05,8.07E-07,7.59E-07,4.43E-07,1.81E-06,1.51E-06,2.64E-08,0.60972134,0.639866135,0.745350738,8.98E-05,8.71E-05,8.08E-05,8.00E-07,8.80E-07,5.24E-07,2.25E-06,3.81E-06,3.61E-08,0.64110372,0.752045679,0.785559262,6.16E-05,8.26E-05,7.92E-05,7.38E-07,7.88E-07,4.72E-07,1.23E-06,6.56E-07,1.45E-08,0.620430191,0.621198523,0.702530548,1
6.86E-05,8.23E-05,8.20E-05,8.07E-07,8.18E-07,5.12E-07,1.57E-06,7.38E-07,1.72E-08,0.642571952,0.652575214,0.813550501,0.000101778,8.87E-05,9.10E-05,7.58E-07,7.53E-07,5.46E-07,3.69E-06,8.74E-07,3.83E-08,0.657222679,0.656573972,0.72247971,0.000165467,8.74E-05,9.68E-05,9.12E-07,1.18E-06,6.36E-07,2.61E-06,4.13E-06,3.29E-08,0.680033222,0.754913209,0.751935949,6.92E-05,8.24E-05,9.28E-05,7.16E-07,7.83E-07,5.18E-07,1.33E-06,1.28E-06,2.05E-08,0.67714462,0.728460128,0.756472325,5.92E-05,7.74E-05,8.59E-05,8.41E-07,7.35E-07,5.51E-07,8.93E-07,9.70E-07,1.17E-08,0.687080626,0.672889417,0.728856199,2
7.81E-05,8.36E-05,8.70E-05,7.27E-07,7.60E-07,4.48E-07,4.09E-06,9.59E-07,4.72E-08,0.628168597,0.595352033,0.667397578,6.90E-05,8.38E-05,7.54E-05,7.85E-07,7.98E-07,4.86E-07,2.13E-06,1.14E-06,2.81E-08,0.617259052,0.621276788,0.699549022,0.248772657,0.071118938,0.00729219,0.000153255,0.000356415,6.11E-06,0.247905522,0.067120847,0.008570206,6.244945615,2.254603393,0.869990321,0.00326834,0.003944344,0.000479178,3.51E-05,1.75E-05,1.04E-06,0.003842804,0.005624814,0.000422447,0.711212061,0.660748599,0.705278571,6.91E-05,0.000145179,8.86E-05,2.38E-06,1.52E-06,5.17E-07,8.53E-06,4.00E-05,1.78E-06,0.693783352,0.669626979,0.698869896,2
7.57E-05,0.000123916,8.89E-05,1.90E-06,1.52E-06,5.08E-07,1.67E-05,4.30E-05,2.89E-06,0.640244499,0.629244238,0.728750766,7.02E-05,0.000122708,9.14E-05,2.08E-06,1.55E-06,5.38E-07,8.69E-06,3.31E-05,1.79E-06,0.680646986,0.675678162,0.748436493,0.00163428,0.000753659,0.000213693,1.14E-05,7.02E-06,7.22E-07,0.00143221,0.000710042,6.69E-05,0.60083786,0.657214977,0.73788284,8.01E-05,0.000121122,9.51E-05,2.23E-06,2.28E-06,4.92E-07,3.26E-05,5.42E-05,4.52E-06,0.624710062,0.649220431,0.74898592,0.000210365,0.000170569,0.00010174,2.83E-06,2.43E-06,5.02E-07,0.000138072,9.23E-05,5.79E-06,0.640085599,0.722572527,0.783010403,2
0.000160441,0.000184412,0.000111231,2.79E-06,2.52E-06,6.70E-07,2.95E-05,4.28E-05,3.92E-06,0.67899003,0.573286652,0.624116543,6.55E-05,0.000111177,8.98E-05,1.79E-06,1.80E-06,4.95E-07,7.12E-06,2.92E-05,1.67E-06,0.648549935,0.635517838,0.773348368,6.47E-05,0.000112946,0.000109583,1.81E-06,1.57E-06,4.77E-07,1.11E-05,3.00E-05,2.10E-06,0.637336451,0.64509499,0.727784855,7.50E-05,0.000121838,0.000102257,1.98E-06,1.63E-06,5.10E-07,1.11E-05,4.09E-05,2.50E-06,0.62062257,0.653448041,0.690351759,7.05E-05,0.000114946,8.82E-05,1.78E-06,1.64E-06,5.21E-07,9.37E-06,2.97E-05,1.89E-06,0.605519529,0.655111423,0.727619418,2
