minutes,tags,accX_means,accY_means,accZ_means,gyroX_means,gyroY_means,gyroZ_means,gravX_means,gravY_means,gravZ_means,magX_means,magY_means,magZ_means,accX_medians,accY_medians,accZ_medians,gyroX_medians,gyroY_medians,gyroZ_medians,gravX_medians,gravY_medians,gravZ_medians,magX_medians,magY_medians,magZ_medians,accX_maxes,accY_maxes,accZ_maxes,gyroX_maxes,gyroY_maxes,gyroZ_maxes,gravX_maxes,gravY_maxes,gravZ_maxes,magX_maxes,magY_maxes,magZ_maxes,accX_mins,accY_mins,accZ_mins,gyroX_mins,gyroY_mins,gyroZ_mins,gravX_mins,gravY_mins,gravZ_mins,magX_mins,magY_mins,magZ_mins,accX_variances,accY_variances,accZ_variances,gyroX_variances,gyroY_variances,gyroZ_variances,gravX_variances,gravY_variances,gravZ_variances,magX_variances,magY_variances,magZ_variances
5.44 AM,1,1.535055983,0.694847297,9.494899783,0.000135691,-0.000112682,-1.19E-05,1.560984117,0.706489895,9.655802733,-19.413918,5.51041855,-38.0933635,1.53462,0.694289,9.495,0.000145732,-3.91E-05,-9.41E-05,1.56087,0.7070125,9.65579,-19.41975,5.55275,-38.1198,1.65672,0.837935,9.53809,0.00869784,0.00729127,0.00906892,1.58739,0.724135,9.65821,-16.8328,8.47835,-34.9875,1.43885,0.620072,9.40402,-0.00657378,-0.00920208,-0.00864616,1.55181,0.693645,9.65019,-21.226,3.48319,-40.3869,0.000199922,0.000223081,0.000125957,1.56E-06,1.29E-06,9.89E-07,2.53E-05,3.47E-05,1.49E-06,0.63776084,0.618409045,0.748952272
5.45 AM,1,1.583321557,0.555682273,9.48871505,-0.000475766,0.000562375,-0.000319168,1.607992337,0.563608075,9.654027667,-19.46942333,6.10031515,-37.9146415,1.67108,0.553037,9.47584,-0.00046327,0.00121335,6.24E-05,1.698555,0.5621905,9.64113,-19.7108,6.10659,-37.9777,2.4324,1.59926,10.3832,0.197455,0.162451,0.0383904,2.40358,1.29897,9.75181,-14.4328,9.15005,-35.403,0.505155,0.284898,9.20052,-0.172118,-0.216285,-0.0850042,0.95096,0.409548,9.42452,-23.9502,2.52958,-40.536,0.062055409,0.013780742,0.003585898,0.000356669,0.000888837,6.38E-05,0.055506638,0.009760619,0.001689918,1.95873255,0.770555258,0.786794109
5.46 AM,1,1.718950967,0.547745888,9.465349083,-8.85E-05,-4.25E-06,-0.00012436,1.74958935,0.557097368,9.633220067,-20.09608433,6.06021005,-37.86068917,1.71896,0.548249,9.46627,-2.33E-06,0.000123851,0.000151785,1.75025,0.5570395,9.6331,-20.1462,5.97931,-37.9588,1.76206,0.62486,9.495,0.00436172,0.00378904,0.00263948,1.7584,0.567493,9.6362,-17.3011,8.51267,-35.5729,1.6232,0.505155,9.42317,-0.00296865,-0.0041522,-0.00346917,1.73314,0.551668,9.63178,-22.4061,3.44173,-40.3589,0.000179028,0.000131644,9.15E-05,1.20E-06,1.20E-06,6.77E-07,2.68E-05,8.01E-06,6.60E-07,0.639730943,0.656421855,0.716865469
5.47 AM,1,1.727502117,0.543943232,9.46422385,-5.63E-05,-0.00015781,-2.60E-05,1.759370683,0.552896355,9.631682183,-20.20608967,6.01713095,-37.76296217,1.72854,0.54346,9.46387,-1.30E-05,-0.000165751,0.000192758,1.759375,0.552957,9.631695,-20.154,5.96266,-37.6723,1.76684,0.593737,9.4926,0.00304129,0.00288857,0.00202535,1.76404,0.55681,9.63281,-18.178,9.08111,-34.9504,1.67587,0.507549,9.43754,-0.00306736,-0.00322007,-0.0022507,1.75234,0.548924,9.63077,-22.579,3.857,-40.3768,0.000107606,0.000109837,8.66E-05,9.87E-07,1.07E-06,5.21E-07,5.79E-06,2.33E-06,1.64E-07,0.626231601,0.638790924,0.680012049
5.48 AM,1,1.734185567,0.541948183,9.461478533,-0.000105275,-4.65E-05,3.69E-05,1.765148433,0.550990173,9.630733017,-20.17494733,6.0926497,-37.83250667,1.73333,0.541066,9.46148,-4.24E-05,-5.17E-05,0.000269582,1.763695,0.5510185,9.63103,-20.15,6.08186,-37.94115,1.84824,0.591342,9.49739,0.00301195,0.0054461,0.00274191,1.78363,0.557972,9.63341,-18.0274,8.20732,-35.1242,1.56095,0.421361,9.42796,-0.00492929,-0.00799292,-0.00642106,1.75003,0.543155,9.62721,-23.486,3.58153,-40.5457,0.000287014,0.000153212,0.000105701,1.21E-06,1.31E-06,6.76E-07,2.55E-05,2.90E-06,7.82E-07,0.683738344,0.6374222,0.708461673
5.49 AM,1,1.740761367,0.539641847,9.459510983,1.04E-05,0.000124938,2.21E-05,1.771492883,0.549165118,9.629673233,-20.2472435,6.10195895,-37.79879717,1.74051,0.538672,9.45908,9.31E-07,9.45E-05,-0.000255147,1.77198,0.549034,9.62961,-20.1627,6.09228,-37.6681,1.786,0.581766,9.48781,0.00318562,0.00324103,0.00271304,1.77672,0.556724,9.6312,-17.5964,8.19418,-35.5691,1.7022,0.502761,9.43275,-0.00305339,-0.00357067,-0.00330947,1.76316,0.54522,9.62866,-22.5533,3.86686,-40.0774,8.66E-05,9.61E-05,8.85E-05,1.03E-06,1.13E-06,5.98E-07,4.62E-06,2.69E-06,1.27E-07,0.662823597,0.609779655,0.650270575
5.50 AM,1,1.740625783,0.541102235,9.460756433,5.67E-05,2.57E-05,1.05E-05,1.771651,0.550796675,9.629551133,-20.19602633,6.12342395,-37.8658955,1.74051,0.541066,9.46148,0.000131299,0.000142472,-0.000252354,1.77166,0.550891,9.62955,-20.1569,6.0956,-37.96775,1.76206,0.579372,9.4926,0.00318562,0.00324103,0.00279918,1.77727,0.55397,9.63059,-16.5347,9.5141,-35.4018,1.70939,0.514731,9.42796,-0.00292302,-0.00356695,-0.00208774,1.76639,0.547795,9.62846,-22.7224,4.02211,-40.6744,8.43E-05,9.70E-05,9.53E-05,9.94E-07,1.14E-06,5.58E-07,6.11E-06,1.21E-06,2.03E-07,0.624734639,0.614682402,0.713179507
5.51 AM,1,1.743011833,0.54157707,9.460612733,3.79E-05,-5.45E-05,5.35E-05,1.7746544,0.551165415,9.628976917,-20.16241933,6.1621022,-37.83483417,1.7429,0.541066,9.46148,0.000203932,9.82E-05,0.000306363,1.77455,0.5511355,9.62899,-20.14515,6.11878,-37.9545,1.8267,0.610495,9.4926,0.00264739,0.00315257,0.00274982,1.78589,0.555916,9.63033,-18.1732,8.62615,-35.3867,1.6615,0.512337,9.4136,-0.00346126,-0.00307388,-0.00269581,1.76747,0.547591,9.62666,-22.4297,3.88453,-40.3734,0.000139104,9.58E-05,9.92E-05,1.06E-06,1.24E-06,5.75E-07,4.61E-06,1.36E-06,1.42E-07,0.590798037,0.629724816,0.710021385
5.52 AM,1,1.743662083,0.542151673,9.45992215,3.04E-05,-1.10E-05,7.18E-05,1.7754654,0.551601848,9.628802533,-20.09181683,6.205519517,-37.89830917,1.7429,0.541066,9.45908,9.45E-05,-1.96E-05,0.000302639,1.77538,0.55163,9.62882,-20.01425,6.11425,-37.9726,1.79557,0.591342,9.48302,0.0037597,0.00683033,0.00396783,1.78161,0.557746,9.62986,-18.0464,8.64257,-34.9793,1.68784,0.507549,9.42796,-0.00355438,-0.00429561,-0.00336255,1.76944,0.547154,9.62762,-22.5717,4.02553,-40.3648,0.000101942,9.85E-05,9.07E-05,1.16E-06,1.82E-06,6.44E-07,5.44E-06,1.37E-06,1.67E-07,0.536759169,0.619277195,0.763939193
5.53 AM,1,1.749754817,0.545068505,9.45918405,-1.79E-05,-0.000103214,-3.88E-05,1.7813539,0.554385235,9.627554783,-20.14916383,6.198652933,-37.9204015,1.75009,0.545855,9.45908,0.000110812,0.000110813,0.000239783,1.781605,0.5543065,9.62749,-20.1461,6.11911,-37.97275,1.90091,0.63683,9.49978,0.00499773,0.00438687,0.00457869,1.79004,0.563334,9.62956,-18.1845,8.8099,-35.5463,1.6232,0.440514,9.41838,-0.00538697,-0.00355437,-0.00397341,1.76768,0.551032,9.62579,-23.0394,4.03663,-40.6744,0.000241631,0.000137795,0.000113748,1.39E-06,1.73E-06,7.19E-07,9.16E-06,2.31E-06,3.17E-07,0.624777409,0.5992023,0.729993479
