accX_means1,accY_means1,accZ_means1,accX_medians1,accY_medians1,accZ_medians1,accX_maxes1,accY_maxes1,accZ_maxes1,accX_mins1,accY_mins1,accZ_mins1,accX_variances1,accY_variances1,accZ_variances1,accX_means6,accY_means6,accZ_means6,accX_medians6,accY_medians6,accZ_medians6,accX_maxes6,accY_maxes6,accZ_maxes6,accX_mins6,accY_mins6,accZ_mins6,accX_variances6,accY_variances6,accZ_variances6,accX_means10,accY_means10,accZ_means10,accX_medians10,accY_medians10,accZ_medians10,accX_maxes10,accY_maxes10,accZ_maxes10,accX_mins10,accY_mins10,accZ_mins10,accX_variances10,accY_variances10,accZ_variances10,tags
2.59436118,4.178085183,8.24719545,2.904045,4.426685,8.17944,5.49206,7.39537,10.3281,-1.87458,1.22817,5.18083,1.207726161,1.103423504,0.353500363,2.032083138,2.592064004,8.782412094,1.91528,3.10754,8.935975,7.04344,7.61563,13.9767,-1.87458,-1.13001,4.12024,1.524596563,3.945541117,0.759820177,1.530010285,1.704623793,9.107479417,0.809205,0.418967,9.58358,7.04344,7.61563,13.9767,-1.87458,-1.13001,4.12024,1.292925563,3.548589832,0.614388136,3
2.668985255,3.155110793,8.5102113,2.88369,4.22319,8.15909,7.04344,7.61563,13.9767,-1.72375,-1.13001,4.12024,1.187469291,3.249027358,0.890529067,1.719107586,2.038579001,8.986020092,0.9336985,0.566204,9.560835,7.04344,7.61563,13.9767,-1.87458,-1.13001,4.12024,1.43735963,3.878214874,0.694235609,1.402576782,1.481358538,9.187748042,0.792447,0.390238,9.58597,7.04344,7.61563,13.9767,-1.87458,-1.13001,4.12024,1.158670534,3.206328904,0.54420973,3
0.832902978,0.442996037,9.589829533,0.815191,0.418967,9.59315,1.99668,4.19446,11.4031,-1.35745,-0.217863,6.37788,0.020245017,0.033929225,0.02380474,1.530010285,1.704623793,9.107479417,0.809205,0.418967,9.58358,7.04344,7.61563,13.9767,-1.87458,-1.13001,4.12024,1.292925563,3.548589832,0.614388136,1.327253004,1.322134738,9.242412833,0.787659,0.383056,9.58358,7.04344,7.61563,13.9767,-1.87458,-1.13001,4.12024,1.032144107,2.900562107,0.484844391,1
0.78018093,0.378123992,9.596844083,0.780476,0.378268,9.59555,0.91694,0.430938,9.65061,0.660771,0.299262,9.56682,0.000350458,0.000200905,0.000116811,1.402576782,1.481358538,9.187748042,0.792447,0.390238,9.58597,7.04344,7.61563,13.9767,-1.87458,-1.13001,4.12024,1.158670534,3.206328904,0.54420973,1.31520017,1.203727893,9.278923035,0.802023,0.380662,9.57879,7.04344,7.61563,13.9767,-1.87458,-1.13001,4.12024,0.904270654,2.636117269,0.433589074,1
0.77362108,0.368802958,9.593316717,0.773294,0.368691,9.59315,0.909757,0.409391,9.62428,0.57219,0.313627,9.54767,0.00027469,0.000117608,8.41E-05,1.116068308,0.846142997,9.408282397,0.780476,0.375874,9.58836,7.04344,7.61563,13.9767,-1.72375,-1.13001,4.12024,0.690928297,1.61405739,0.314196869,1.297229138,1.113102505,9.307912148,0.849905,0.380662,9.574,7.04344,7.61563,13.9767,-1.87458,-1.13001,4.12024,0.80928444,2.408933545,0.392237896,1
0.765409267,0.365032262,9.589091167,0.76252,0.366297,9.58836,0.87624,0.42615,9.6554,0.622466,0.29208,9.53091,0.000440954,0.000173764,0.000143339,0.876375821,0.382771195,9.578996256,0.78287,0.373479,9.58836,1.99668,4.19446,11.4031,-1.35745,-0.371085,6.37788,0.036187861,0.006807213,0.005066529,1.292746718,1.040443384,9.32973442,0.931304,0.380662,9.56442,7.04344,7.61563,13.9767,-1.87458,-1.13001,4.12024,0.733197548,2.215625906,0.35739302,1
0.875310337,0.366791942,9.570401583,0.768506,0.366297,9.57879,1.7453,0.684712,9.74877,0.53149,-0.371085,8.43202,0.034960483,0.00168057,0.003250658,0.929802138,0.373621756,9.570662175,0.785264,0.371085,9.58358,1.7453,0.684712,9.9379,0.53149,-0.371085,8.43202,0.046832285,0.000561413,0.001436532,1.119388425,0.664216366,9.462133265,0.86427,0.380662,9.574,7.04344,7.61563,13.9767,-1.72375,-1.13001,4.12024,0.431841177,1.018289152,0.193204743,1
1.230830333,0.37487998,9.53449445,1.23296,0.373479,9.5333,1.38139,0.462061,9.63146,1.05819,0.304051,9.4543,0.001236504,0.000314541,0.000239971,1.008506139,0.375019639,9.558877306,0.931304,0.371085,9.56442,1.7453,0.684712,9.9379,0.53149,-0.371085,8.43202,0.061987212,0.000723392,0.001659166,0.933121947,0.388970033,9.568595625,0.82357,0.380662,9.5764,1.99668,4.19446,11.4031,-1.35745,-0.371085,6.37788,0.048356272,0.004436382,0.003606935,1
1.153460882,0.3880994,9.53982505,1.26169,0.38545,9.5333,1.39576,0.49079,9.9379,0.833146,0.287292,9.26037,0.02634397,0.000510046,0.000992502,1.023032334,0.382854981,9.555188503,0.9348955,0.378268,9.55964,1.7453,0.684712,9.9379,0.53149,-0.371085,8.43202,0.056302051,0.000966038,0.001490645,1.008587921,0.372237678,9.55655972,0.845117,0.375874,9.57161,1.97992,0.684712,9.9379,0.53149,-0.371085,8.43202,0.099111558,0.002195884,0.002362377,1
1.252404938,0.386511292,9.526134867,1.35267,0.378268,9.51654,1.60644,0.545855,9.6554,0.727806,0.296868,9.39444,0.046812058,0.001039763,0.000989814,1.029850869,0.389124181,9.552812458,0.936093,0.38545,9.55964,1.7453,0.684712,9.9379,0.53149,-0.371085,8.43202,0.053192235,0.000996273,0.001363693,1.018842247,0.372804678,9.553547578,0.859481,0.378268,9.56921,1.97992,0.684712,9.9379,0.53149,-0.371085,8.43202,0.099248128,0.002321892,0.00227204,1
0.860778245,0.415815008,9.5711839,0.861876,0.416573,9.57161,1.15874,0.514731,9.66019,0.775688,0.349538,9.44951,0.000787573,0.000316151,0.000189704,1.1485596,0.373937605,9.535990608,1.14438,0.387844,9.54647,1.97992,0.545855,9.9379,0.603313,0.179557,9.26037,0.108889161,0.003274343,0.002212044,1.060428144,0.392773853,9.541766665,0.873846,0.383056,9.56442,8.17585,4.9103,15.248,-2.20018,-0.371085,5.51122,0.19035489,0.0569613,0.035708228,1
0.806320482,0.402647463,9.5748349,0.811599,0.402209,9.5764,0.967216,0.512337,9.62667,0.603313,0.299262,9.4926,0.001473535,0.000517421,0.000179181,1.090541909,0.375423273,9.541361978,0.900181,0.390238,9.56203,1.97992,0.545855,9.9379,0.603313,0.165193,9.26037,0.122486966,0.003463355,0.002437641,1.225263033,0.897690477,9.081030378,0.970807,0.390238,9.55245,8.17585,13.395,15.248,-11.3025,-0.749353,-3.46905,2.084104004,3.238973072,2.952339504,1
1.58756272,0.275672485,9.469470483,1.7836,0.248986,9.44711,1.97992,0.521914,9.64822,0.723018,0.179557,9.35614,0.166659556,0.004360894,0.003400942,1.096545104,0.405489158,9.5306424,0.861876,0.395026,9.56442,8.17585,4.9103,15.248,-2.20018,0.023941,5.51122,0.278999393,0.094040595,0.058107022,1.053064298,1.036699022,8.744406508,0.950457,0.395026,9.55006,10.2587,13.395,15.248,-12.8898,-3.3254,-3.46905,4.426901696,4.03727974,6.19893245,1
0.882724188,0.383793987,9.566722667,0.804417,0.390238,9.57161,1.96795,0.486002,9.63385,0.670348,0.165193,9.39205,0.039160197,0.001367034,0.000825041,1.290103973,1.243437026,8.773241305,0.854693,0.404603,9.56442,8.17585,13.395,15.248,-11.3025,-0.749353,-3.46905,3.43008273,5.09931282,4.683114461,0.989886408,1.036051417,8.751363279,0.861876,0.395026,9.56203,10.2587,13.395,15.248,-12.8898,-3.3254,-3.46905,4.440291102,4.038134783,6.210351661,1
1.189480052,0.568494715,9.475507583,0.828358,0.421361,9.56682,8.17585,4.9103,15.248,-2.20018,0.023941,5.51122,0.96110188,0.512984498,0.331822405,1.005528096,1.466947423,8.212071135,0.828358,0.402209,9.55964,10.2587,13.395,15.248,-12.8898,-3.3254,-3.46905,7.344479298,6.266121032,9.623458113,0.934962985,1.034279782,8.756681734,0.825964,0.392632,9.56921,10.2587,13.395,15.248,-12.8898,-3.3254,-3.46905,4.447332346,4.040604318,6.218991133,1
2.413758149,5.414198497,4.981728297,3.478625,6.99795,4.407535,7.6276,13.395,13.1029,-11.3025,-0.749353,-3.46905,17.49116649,9.165736182,10.51018073,0.970983256,1.461240168,8.216942346,0.811599,0.392632,9.56442,10.2587,13.395,15.248,-12.8898,-3.3254,-3.46905,7.364051765,6.278391897,9.63684857,0.872106725,1.03612044,8.762642196,0.792447,0.39742,9.574,10.2587,13.395,15.248,-12.8898,-3.3254,-3.46905,4.438358432,4.038180438,6.228398474,1
-0.846677013,1.75687739,6.204162881,0.63683,0.4967755,9.57879,10.2587,10.0552,13.7158,-12.8898,-3.3254,-3.34216,19.61772606,7.733187444,25.60270877,0.807093911,1.477025262,8.237532199,0.756535,0.392632,9.5764,10.2587,13.395,15.248,-12.8898,-3.3254,-3.46905,7.269307084,6.241799921,9.690155526,0.848984123,1.036544597,8.763722316,0.749353,0.39742,9.5764,10.2587,13.395,15.248,-12.8898,-3.3254,-3.46905,4.443669498,4.037652779,6.230147629,3
0.59905144,0.368403932,9.604062167,0.598525,0.368691,9.60512,0.739776,0.452485,9.65061,0.507549,0.248986,9.56442,0.000494563,0.000253758,0.000127938,0.763946935,1.480545909,8.240701669,0.627254,0.399814,9.58358,10.2587,13.395,15.248,-12.8898,-3.3254,-3.46905,7.265654167,6.233991964,9.698516878,0.830812919,1.038391647,8.764028358,0.641618,0.402209,9.57879,10.2587,13.395,15.248,-12.8898,-3.3254,-3.46905,4.448102093,4.035317426,6.230638218,3
0.604226647,0.370383053,9.5930096,0.600919,0.366297,9.59555,1.15874,0.818782,9.7368,-0.0143646,0.100552,9.06885,0.004897908,0.001962525,0.000959063,0.670625632,1.45580622,8.258447921,0.620072,0.402209,9.58597,10.2587,13.395,13.7158,-12.8898,-3.3254,-3.46905,7.069893212,6.19686236,9.688721362,0.734070591,1.051747527,8.774781861,0.629648,0.406997,9.57879,10.2587,13.395,15.248,-12.8898,-3.3254,-3.46905,4.369538488,4.01619057,6.246550324,3
0.623842337,0.404917865,9.585739483,0.622466,0.402209,9.58597,0.7709,0.497973,9.63385,0.495578,0.313627,9.54767,0.000493105,0.000345325,0.000122738,0.372434014,0.623626132,9.024475758,0.617678,0.402209,9.58597,10.2587,10.0552,13.7158,-12.8898,-3.3254,-3.34216,3.563694254,1.544967649,5.852773344,0.699111565,1.049418077,8.776597759,0.622466,0.404603,9.58118,10.2587,13.395,15.248,-12.8898,-3.3254,-3.46905,4.366244658,4.019222926,6.249383343,3
0.629552232,0.420056583,9.5819851,0.629648,0.421361,9.58118,0.751747,0.505155,9.61949,0.529096,0.318415,9.54288,0.000531154,0.000286344,0.000106759,0.616903423,0.399018448,9.586616197,0.617678,0.402209,9.58597,1.15874,0.818782,9.80862,-0.0143646,0.100552,9.06885,0.001748007,0.001124597,0.000387432,0.632213264,1.028041176,8.787895861,0.610495,0.395026,9.58358,10.2587,13.395,13.7158,-12.8898,-3.3254,-3.46905,4.244948998,3.992686973,6.23320437,3
0.62460844,0.421117967,9.577895317,0.62486,0.421361,9.57879,0.828358,0.47882,9.60991,0.545855,0.313627,9.51894,0.000568255,0.00027714,0.000111033,0.60591717,0.397701039,9.583419444,0.615283,0.402209,9.58358,1.15874,0.818782,9.80862,-0.0143646,0.100552,9.06885,0.00267935,0.001184333,0.000320794,0.442634574,0.522078736,9.248327696,0.600919,0.378268,9.58597,10.2587,10.0552,13.7158,-12.8898,-3.3254,-3.34216,2.146379287,0.942659134,3.586521932,3
0.620139442,0.409231285,9.577005517,0.620072,0.414179,9.5764,1.00073,0.517125,9.80862,0.325597,0.325597,9.44472,0.002759008,0.000799829,0.00036353,0.591962236,0.395091481,9.582665944,0.612889,0.399814,9.58358,1.00073,0.517125,9.80862,0.325597,0.313627,9.44472,0.002894926,0.001046665,0.000164773,0.57887475,0.381968905,9.586343733,0.591342,0.371085,9.58597,1.15874,0.818782,9.80862,-0.0143646,0.100552,9.06885,0.0032653,0.00114168,0.000270445,1
0.53313392,0.360499483,9.58488165,0.53149,0.359115,9.58597,0.562613,0.387844,9.60991,0.507549,0.335174,9.55485,0.000105975,7.57E-05,9.08E-05,0.574317054,0.386700853,9.582717139,0.550643,0.373479,9.58358,1.00073,0.517125,9.80862,0.325597,0.313627,9.44472,0.003255811,0.001186858,0.00016003,0.570128701,0.380617042,9.58442488,0.545855,0.366297,9.58358,1.15874,0.818782,9.80862,-0.0143646,0.100552,9.06885,0.003556981,0.001176962,0.000231983,1
0.520497043,0.354725703,9.5884886,0.519519,0.354327,9.58836,0.548249,0.38545,9.65301,0.497973,0.330386,9.55245,5.76E-05,7.38E-05,9.14E-05,0.555345808,0.375987936,9.583106831,0.526702,0.361509,9.58358,1.00073,0.517125,9.80862,0.325597,0.313627,9.44472,0.002880758,0.00101053,0.000158227,0.560867129,0.37906966,9.5835279,0.526702,0.363903,9.58358,1.00073,0.517125,9.80862,0.325597,0.313627,9.44472,0.003214238,0.001041423,0.000137163,1
0.517971248,0.354574097,9.58604665,0.517125,0.354327,9.58597,0.565007,0.378268,9.61231,0.49079,0.323203,9.51415,6.69E-05,6.31E-05,9.23E-05,0.536509559,0.364949159,9.584269883,0.521914,0.359115,9.58358,1.00073,0.517125,9.80862,0.325597,0.323203,9.44472,0.001959841,0.000589688,0.000149684,0.549432113,0.374077179,9.583215488,0.521914,0.361509,9.58358,1.00073,0.517125,9.80862,0.325597,0.313627,9.44472,0.002907258,0.000980161,0.000134797,1
0.515724755,0.355779078,9.58432325,0.514731,0.354327,9.58358,0.541066,0.383056,9.61949,0.493184,0.330386,9.55964,5.80E-05,7.34E-05,9.48E-05,0.518421473,0.355895484,9.585442264,0.517125,0.356721,9.58597,0.565007,0.387844,9.65301,0.488396,0.323203,9.51415,0.000120578,7.65E-05,9.42E-05,0.537336728,0.367609929,9.583240617,0.519519,0.359115,9.58358,1.00073,0.517125,9.80862,0.325597,0.313627,9.44472,0.002238504,0.000740348,0.000133586,1
0.511590948,0.354885308,9.584873633,0.512337,0.354327,9.58358,0.536278,0.38545,9.62188,0.488396,0.330386,9.55964,5.51E-05,7.50E-05,9.19E-05,0.514481183,0.354977746,9.58506455,0.514731,0.354327,9.58358,0.565007,0.38545,9.65301,0.486002,0.323203,9.51415,7.41E-05,7.13E-05,9.75E-05,0.525834276,0.361105171,9.58380917,0.514731,0.356721,9.58358,1.00073,0.517125,9.80862,0.325597,0.323203,9.44472,0.001370261,0.000404842,0.000128074,1
0.511610925,0.354909233,9.5840398,0.512337,0.354327,9.58358,0.53149,0.38545,9.62188,0.488396,0.327992,9.55245,5.91E-05,7.20E-05,9.12E-05,0.512498072,0.355087476,9.584022514,0.512337,0.354327,9.58358,0.565007,0.38545,9.62188,0.486002,0.323203,9.51415,7.01E-05,7.08E-05,9.65E-05,0.514595978,0.355744791,9.584702138,0.514731,0.356721,9.58358,0.565007,0.387844,9.65301,0.486002,0.323203,9.51415,0.000117674,7.41E-05,9.57E-05,1
0.509492177,0.354993053,9.582615367,0.509943,0.354327,9.58358,0.53149,0.38545,9.61709,0.486002,0.327992,9.54767,5.72E-05,7.00E-05,0.000104079,0.511100185,0.355336857,9.583611547,0.509943,0.354327,9.58358,0.541066,0.38545,9.62188,0.486002,0.323203,9.53091,6.27E-05,7.29E-05,9.49E-05,0.512077782,0.355249609,9.584581267,0.512337,0.354327,9.58358,0.565007,0.38545,9.65301,0.486002,0.323203,9.51415,7.64E-05,7.11E-05,9.56E-05,1
0.508598377,0.355384083,9.582236383,0.507549,0.356721,9.58118,0.53149,0.383056,9.61231,0.488396,0.330386,9.53091,5.88E-05,7.12E-05,9.52E-05,0.509772136,0.355311591,9.583880206,0.509943,0.354327,9.58358,0.536278,0.38545,9.62188,0.486002,0.323203,9.53091,5.96E-05,7.15E-05,9.46E-05,0.510604614,0.355313052,9.584019867,0.509943,0.354327,9.58358,0.565007,0.38545,9.62188,0.486002,0.323203,9.51415,7.15E-05,7.04E-05,9.39E-05,1
0.509583927,0.356070385,9.58358085,0.509943,0.354327,9.58358,0.53149,0.380662,9.60512,0.488396,0.323203,9.55485,5.56E-05,7.54E-05,8.76E-05,0.509165637,0.355421984,9.583680089,0.509943,0.354327,9.58358,0.53149,0.38545,9.62188,0.486002,0.323203,9.53091,5.94E-05,7.09E-05,9.40E-05,0.528955784,0.376255822,9.580769123,0.509943,0.356721,9.58358,4.57752,2.88728,13.3686,-2.30791,-1.36942,5.5998,0.016049297,0.012250225,0.009363691,1
0.50775646,0.355627482,9.5859352,0.507549,0.356721,9.58597,0.53149,0.38545,9.62188,0.486002,0.33278,9.55724,6.04E-05,6.50E-05,8.89E-05,0.508191378,0.355497134,9.583485889,0.507549,0.354327,9.58358,0.53149,0.38545,9.62188,0.486002,0.323203,9.53091,5.97E-05,6.99E-05,9.38E-05,0.555663158,0.385644676,9.578635988,0.509943,0.356721,9.58118,4.57752,2.88728,13.3686,-2.30791,-1.36942,5.5998,0.022549283,0.012861807,0.009581164,1
0.507951958,0.355547668,9.583672933,0.507549,0.354327,9.58358,0.53149,0.383056,9.6147,0.486002,0.33278,9.55485,5.59E-05,7.12E-05,8.92E-05,0.540189839,0.390331924,9.578639864,0.509943,0.356721,9.58118,4.57752,2.88728,13.3686,-2.30791,-1.36942,5.5998,0.026394627,0.019875409,0.015532514,0.623992334,0.441960251,9.539952981,0.512337,0.359115,9.58118,6.82797,8.50863,13.5099,-5.56389,-2.68139,-3.45229,0.180776014,0.32202592,0.21319625,1
0.505765367,0.355360133,9.5828746,0.505155,0.354327,9.58358,0.529096,0.380662,9.6147,0.486002,0.327992,9.55006,6.11E-05,6.65E-05,9.01E-05,0.585889859,0.406045846,9.57543245,0.512337,0.359115,9.58118,4.57752,2.88728,13.3686,-2.30791,-1.36942,5.5998,0.035262092,0.020349926,0.015880319,1.076985329,0.838722627,9.178490004,0.514731,0.361509,9.57879,9.58358,8.50863,13.5099,-5.56389,-2.68139,-3.45229,2.590382066,2.149965769,1.794017043,1
0.701482948,0.564001795,9.553539217,0.720624,0.471637,9.56682,4.57752,2.88728,13.3686,-2.30791,-1.36942,5.5998,0.127017655,0.082814924,0.092108703,0.700106322,0.499707625,9.511176235,0.517125,0.367494,9.5764,6.82797,8.50863,13.5099,-5.56389,-2.68139,-3.45229,0.286800272,0.52838213,0.353232482,1.09338211,0.867667673,9.177986874,0.519519,0.368691,9.5764,9.58358,8.50863,13.5099,-5.56389,-2.68139,-3.45229,2.575839554,2.129848351,1.794287319,1
0.782798493,0.449667613,9.5629919,0.7709,0.447696,9.56442,1.49871,1.05101,9.86847,0.095764,0.18674,8.67621,0.007931916,0.002103062,0.002014455,1.455737058,1.160858545,8.90842204,0.7302,0.442908,9.568015,9.58358,8.50863,13.5099,-5.56389,-2.68139,-3.45229,3.959012478,3.324126605,2.807904385,1.143465844,0.909247973,9.173735409,0.679924,0.442908,9.574,9.58358,8.50863,13.5099,-5.56389,-2.68139,-3.45229,2.541721952,2.107106281,1.791741859,1
1.194882703,0.91804106,9.198043558,0.926516,0.454879,9.55006,6.82797,8.50863,13.5099,-5.56389,-2.68139,-3.45229,1.224128298,2.8451573,1.909237397,1.483321729,1.209007852,8.907407229,0.737382,0.462061,9.56682,9.58358,8.50863,13.5099,-5.56389,-2.68139,-3.45229,3.913266439,3.258730949,2.807665792,1.189124519,0.947668459,9.170631497,0.734988,0.462061,9.56921,9.58358,8.50863,13.5099,-5.56389,-2.68139,-3.45229,2.503324425,2.077953166,1.789388209,1
5.041540875,4.322532999,5.969410033,6.19832,5.10661,4.93783,9.58358,7.29721,10.5628,-1.12044,-1.49392,3.84492,6.653113019,4.807372958,4.372673584,1.567266788,1.278312344,8.900215085,0.86427,0.62486,9.55485,9.58358,8.50863,13.5099,-5.56389,-2.68139,-3.45229,3.787491196,3.171571904,2.799422861,1.223940696,0.981976288,9.168382657,0.840329,0.62486,9.56442,9.58358,8.50863,13.5099,-5.56389,-2.68139,-3.45229,2.466808924,2.047928969,1.787567905,1
0.67345999,0.644443512,9.577584067,0.708653,0.644013,9.57879,1.56574,1.28563,9.88763,-0.943275,0.205893,7.71618,0.016588173,0.003563307,0.006861419,1.611381409,1.307691253,8.900048837,0.91694,0.675136,9.55245,9.58358,8.50863,13.5099,-5.56389,-2.68139,-3.45229,3.700903215,3.120257053,2.784064014,1.257578184,1.01600321,9.166367631,0.847511,0.684712,9.56203,9.58358,8.50863,13.5099,-5.56389,-2.68139,-3.45229,2.428819716,2.015715508,1.785931682,1
1.009435717,0.771187087,9.539721733,1.03904,0.754141,9.54288,2.46113,4.71398,10.0361,-0.555431,-0.715836,7.69703,0.018979966,0.043175398,0.007403329,1.623568033,1.349197612,8.900124654,0.91694,0.706259,9.55245,9.58358,8.50863,13.5099,-5.56389,-2.68139,-3.45229,3.680178952,3.057305547,2.783848088,1.291290283,1.049940753,9.164379359,0.849905,0.691895,9.55964,9.58358,8.50863,13.5099,-5.56389,-2.68139,-3.45229,2.38835341,1.981236885,1.784310417,3
0.966170677,0.740275245,9.552541733,0.976792,0.744565,9.55006,1.28324,0.837935,10.0552,0.758929,0.476426,9.40881,0.007376403,0.00080903,0.001132125,1.565142054,1.31216025,8.961037839,0.857087,0.706259,9.55724,9.58358,7.29721,10.5628,-1.12044,-1.49392,3.84492,3.543632883,2.622594542,2.520962384,1.305056745,1.062972232,9.165279956,0.849905,0.694289,9.55964,9.58358,8.50863,13.5099,-5.56389,-2.68139,-3.45229,2.361143972,1.961839562,1.775830972,3
0.855918235,0.698705768,9.5634468,0.852299,0.696683,9.56442,0.98158,0.751747,9.6147,0.7709,0.603313,9.51415,0.000324323,0.000173641,0.000112768,0.865366302,0.707527344,9.559968147,0.849905,0.699077,9.56203,2.46113,4.71398,10.0552,-0.943275,-0.715836,7.69703,0.018694915,0.009554419,0.002747488,1.310430693,1.087591551,9.165040139,0.849905,0.696683,9.55964,9.58358,8.50863,13.5099,-5.56389,-2.68139,-3.45229,2.355009523,1.936894245,1.775449467,1
0.84432683,0.69581689,9.563522667,0.845117,0.694289,9.56442,0.869058,0.734988,9.59555,0.818782,0.665559,9.5357,7.52E-05,9.42E-05,0.00010067,0.892980898,0.715839522,9.557461667,0.849905,0.701471,9.55964,2.46113,4.71398,10.0552,-0.555431,-0.715836,7.69703,0.009161469,0.008274953,0.001563991,1.274631334,1.065498417,9.201126788,0.845117,0.699077,9.55964,9.58358,7.29721,10.5628,-1.12044,-1.49392,3.84492,2.252615155,1.664716076,1.598942161,1
0.842886362,0.694735565,9.562991883,0.842723,0.694289,9.56203,0.881028,0.720624,9.59076,0.818782,0.663165,9.52851,8.38E-05,9.17E-05,8.69E-05,0.864164608,0.703285142,9.560940333,0.845117,0.696683,9.56203,1.28324,0.837935,10.0552,0.758929,0.476426,9.40881,0.003461641,0.000507382,0.000285398,0.841074033,0.696596562,9.56060949,0.840329,0.696683,9.56203,2.46113,4.71398,10.1175,-0.943275,-0.869058,5.8823,0.01613227,0.007859897,0.004454001,1
0.839147568,0.694316577,9.562545183,0.837935,0.694289,9.56203,0.888211,0.725412,9.59315,0.775688,0.658377,9.5357,9.19E-05,0.000102472,9.25E-05,0.84261768,0.696090888,9.562001719,0.842723,0.696683,9.56203,0.98158,0.78287,9.83975,0.739776,0.519519,9.51415,0.000199018,0.000139167,0.000127225,0.830764239,0.688249133,9.561137753,0.840329,0.696683,9.56203,2.46113,4.71398,10.1175,-0.555431,-0.869058,5.8823,0.018898286,0.009011897,0.003797794,1
0.836537973,0.695860807,9.560593733,0.83554,0.696683,9.56203,0.888211,0.742171,9.58836,0.794841,0.658377,9.5333,0.000117255,0.000121039,9.92E-05,0.817625953,0.685225667,9.562133428,0.837935,0.694289,9.56203,1.78121,1.59926,10.1175,-0.330386,-0.869058,5.8823,0.007083725,0.003329638,0.004707522,0.78594153,0.667053778,9.56537683,0.837935,0.694289,9.56442,1.78121,1.59926,10.1175,-0.330386,-0.869058,5.8823,0.019079748,0.005240049,0.003047494,1
0.83688911,0.697109723,9.55891005,0.83554,0.696683,9.55964,0.98158,0.78287,9.83975,0.739776,0.519519,9.51415,0.000241111,0.000240081,0.000255064,0.771965156,0.662751056,9.565357433,0.833146,0.691895,9.56442,1.78121,1.59926,10.1175,-0.330386,-0.869058,5.8823,0.015074355,0.005380239,0.004765808,0.745166813,0.648975141,9.568272477,0.833146,0.6895,9.56682,1.78121,1.59926,10.1175,-0.330386,-0.869058,5.8823,0.018617771,0.005465854,0.002945024,1
