accX_means,accY_means,accZ_means,gyroX_means,gyroY_means,gyroZ_means,gravX_means,gravY_means,gravZ_means,magX_means,magY_means,magZ_means,accX_medians,accY_medians,accZ_medians,gyroX_medians,gyroY_medians,gyroZ_medians,gravX_medians,gravY_medians,gravZ_medians,magX_medians,magY_medians,magZ_medians,accX_maxes,accY_maxes,accZ_maxes,gyroX_maxes,gyroY_maxes,gyroZ_maxes,gravX_maxes,gravY_maxes,gravZ_maxes,magX_maxes,magY_maxes,magZ_maxes,accX_mins,accY_mins,accZ_mins,gyroX_mins,gyroY_mins,gyroZ_mins,gravX_mins,gravY_mins,gravZ_mins,magX_mins,magY_mins,magZ_mins,accX_variances,accY_variances,accZ_variances,gyroX_variances,gyroY_variances,gyroZ_variances,gravX_variances,gravY_variances,gravZ_variances,magX_variances,magY_variances,magZ_variances,tags
1.148463709,0.068514473,9.549135703,3.16E-05,-0.000130994,3.20E-05,1.172008101,0.069181371,9.736036747,-10.74539094,28.83490728,-40.56836214,1.15396,0.0694289,9.54767,-9.13E-05,-0.000113605,9.64E-05,1.17939,0.0671154,9.735225,-10.7744,28.868,-40.6615,2.54972,1.00792,9.77989,0.0266327,0.0708994,0.13667,1.51618,0.0982791,9.7585,-8.21631,31.8437,-37.829,0.258563,-1.41252,9.31065,-0.0222365,-0.135573,-0.112563,0.970611,-0.0744928,9.68869,-13.6369,26.1995,-43.3783,0.004208608,0.002731867,0.000347784,5.06E-06,4.32E-05,3.46E-05,0.001308996,0.000257681,1.96E-05,0.610926847,0.594402721,0.691418473,1
1.147017261,0.070130492,9.547237061,4.36E-05,-1.43E-05,-1.90E-05,1.169660519,0.071299689,9.736335375,-10.7193971,28.81955225,-40.519245,1.14438,0.0694289,9.54767,-8.99E-05,-0.000113605,9.64E-05,1.169815,0.0652676,9.736415,-10.7629,28.8646,-40.5427,1.45082,0.227439,9.64822,0.0126042,0.0492719,0.0221015,1.22932,0.0982791,9.75144,-8.21631,31.8437,-37.829,0.799629,-0.14604,9.45669,-0.0118304,-0.0808423,-0.016383,1.03789,0.0428184,9.72911,-13.6369,26.1995,-43.3783,0.0013831,0.00039016,0.000135552,3.33E-06,1.21E-05,1.67E-06,0.000852799,0.000105725,1.27E-05,0.611123273,0.58469249,0.682636749,1
1.146817748,0.072106287,9.546899842,9.52E-05,3.91E-05,3.04E-05,1.169552079,0.073684102,9.736320794,-10.69852755,28.82168319,-40.52210803,1.14199,0.0694289,9.54767,-8.99E-05,-0.000113605,9.64E-05,1.166725,0.0712419,9.736785,-10.6541,28.8663,-40.5476,1.64235,0.538672,9.67455,0.0181537,0.104909,0.0385636,1.27605,0.164818,9.75741,-8.21631,31.8437,-37.829,-0.440514,-0.189134,9.40163,-0.0197199,-0.0808423,-0.0371985,0.973331,0.00430309,9.72246,-13.6369,26.1995,-43.3783,0.002525786,0.000724946,0.000195997,5.20E-06,2.37E-05,4.32E-06,0.000973932,0.000175238,1.40E-05,0.624439757,0.586759842,0.686265227,1
1.138831471,0.071711927,9.548130753,7.31E-05,3.36E-05,3.08E-05,1.161560088,0.073265137,9.737289817,-10.60914334,28.82412517,-40.54603283,1.13241,0.0694289,9.54767,-8.99E-05,-5.40E-05,9.64E-05,1.15301,0.07129625,9.73835,-10.6325,28.868,-40.6551,1.64235,0.538672,9.67455,0.0181537,0.104909,0.0385636,1.27605,0.164818,9.75741,-8.21631,31.8437,-37.829,-0.440514,-0.189134,9.40163,-0.0197199,-0.0808423,-0.0371985,0.973331,0.00430309,9.72246,-13.6369,26.1995,-43.3783,0.002239741,0.000687265,0.000197124,5.44E-06,2.42E-05,4.27E-06,0.000805028,0.000168614,1.15E-05,0.641800496,0.588446842,0.6939868,1
1.13040358,0.071195868,9.549075683,6.88E-05,3.01E-05,4.87E-05,1.152929093,0.072746584,9.738336667,-10.52644419,28.81948106,-40.56459997,1.12762,0.0694289,9.55006,-8.99E-05,-5.40E-05,9.64E-05,1.150265,0.07129625,9.73866,-10.5004,28.86735,-40.6584,1.64235,0.538672,9.67455,0.0181537,0.104909,0.0385636,1.27605,0.164818,9.75741,-7.92104,31.8437,-37.829,-0.440514,-0.189134,9.40163,-0.0197199,-0.0808423,-0.0371985,0.973331,0.00430309,9.72246,-13.6369,26.248,-43.1102,0.001928352,0.000670318,0.000191468,5.62E-06,2.46E-05,4.26E-06,0.00048413,0.00015855,6.67E-06,0.633689423,0.592440876,0.681840661,1
1.126740558,0.07390386,9.549414822,7.61E-05,6.67E-05,7.44E-05,1.148998502,0.075647756,9.738785358,-10.46287213,28.83466067,-40.59526844,1.12523,0.07302005,9.55006,-2.51E-05,-5.40E-05,0.000159234,1.146235,0.07908565,9.73911,-10.4846,28.8734,-40.6772,1.64235,0.538672,9.67455,0.0181537,0.104909,0.0385636,1.27605,0.164818,9.75741,-7.92104,31.894,-37.6977,-0.440514,-0.189134,9.40163,-0.0197199,-0.0343677,-0.0371985,0.973331,0.00430309,9.72246,-13.6369,26.248,-43.1102,0.001744902,0.000584346,0.000171154,5.20E-06,1.87E-05,3.70E-06,0.00037878,0.000142682,5.18E-06,0.63490323,0.592751161,0.674853738,1
1.125862098,0.076892492,9.549612986,8.04E-05,4.47E-05,8.53E-05,1.148254307,0.078702568,9.738850192,-10.39990293,28.85672636,-40.63577058,1.12523,0.0766112,9.55006,-1.58E-05,-0.000133161,0.000161097,1.145815,0.08052805,9.73914,-10.4732,28.8833,-40.68565,1.64235,0.538672,9.67455,0.0181537,0.104909,0.0385636,1.27605,0.164818,9.75741,-7.92104,31.894,-37.6783,-0.440514,-0.189134,9.40163,-0.0197199,-0.0343677,-0.0371985,0.973331,0.00430309,9.72246,-13.1806,26.248,-43.8433,0.001795927,0.000570172,0.000176961,4.71E-06,1.77E-05,3.71E-06,0.000386966,0.000110224,5.26E-06,0.613773073,0.595852514,0.652699705,1
1.125800962,0.079847874,9.549215283,7.59E-05,4.78E-05,8.35E-05,1.148261402,0.081724564,9.738826672,-10.35459787,28.87654533,-40.69466825,1.12283,0.0790053,9.55006,-1.58E-05,-0.000133161,0.000165753,1.14582,0.0812331,9.73913,-10.3459,28.8876,-40.69785,1.64235,0.538672,9.67455,0.0181537,0.104909,0.0385636,1.27605,0.164818,9.75741,-7.31369,31.894,-37.6783,-0.440514,-0.189134,9.40163,-0.0197199,-0.0343677,-0.0371985,0.973331,0.00430309,9.72246,-13.1806,26.3472,-43.8433,0.001810484,0.000535922,0.000179866,4.00E-06,1.64E-05,3.73E-06,0.000386939,6.73E-05,5.22E-06,0.626337688,0.602750221,0.640399879,0
1.122344148,0.079527999,9.549025114,5.51E-06,2.02E-05,4.46E-05,1.144735244,0.081276617,9.739267564,-10.30539531,28.89520914,-40.69007903,1.12283,0.0790053,9.55006,-1.58E-05,-1.16E-05,0.000179255,1.142975,0.0813311,9.73947,-10.3379,28.8921,-40.6948,1.2593,0.225045,9.63146,0.00780855,0.0107833,0.00510342,1.16278,0.0925592,9.7412,-7.31369,31.894,-37.6783,0.938487,-0.0670348,9.46866,-0.00624134,-0.00935945,-0.0041699,1.1284,0.0701133,9.73718,-13.0443,26.1997,-43.8433,0.000190495,0.000116886,9.74E-05,2.09E-06,3.54E-06,6.20E-07,2.81E-05,2.11E-06,3.84E-07,0.60428539,0.60472456,0.652241137,0
1.120408238,0.079768074,9.548735169,3.78E-05,1.63E-05,5.15E-05,1.142741164,0.081700381,9.739498789,-10.28297132,28.88434047,-40.69637314,1.12044,0.0790053,9.55006,-1.58E-05,-0.000133161,0.000161097,1.141125,0.08166195,9.73969,-10.336,28.8909,-40.6952,1.2593,0.225045,9.61949,0.00780855,0.0107833,0.00510342,1.15579,0.0925592,9.7412,-7.16903,31.894,-37.6783,0.938487,-0.0670348,9.48781,-0.00624134,-0.00935945,-0.00344869,1.1284,0.0701133,9.73798,-13.1884,26.1997,-43.8433,0.00014907,0.000108696,9.11E-05,1.87E-06,2.93E-06,5.77E-07,1.75E-05,1.44E-06,2.41E-07,0.598541466,0.599543964,0.657889614,0
