accX_means1,accY_means1,accZ_means1,accX_medians1,accY_medians1,accZ_medians1,accX_maxes1,accY_maxes1,accZ_maxes1,accX_mins1,accY_mins1,accZ_mins1,accX_variances1,accY_variances1,accZ_variances1,accX_means6,accY_means6,accZ_means6,accX_medians6,accY_medians6,accZ_medians6,accX_maxes6,accY_maxes6,accZ_maxes6,accX_mins6,accY_mins6,accZ_mins6,accX_variances6,accY_variances6,accZ_variances6,accX_means10,accY_means10,accZ_means10,accX_medians10,accY_medians10,accZ_medians10,accX_maxes10,accY_maxes10,accZ_maxes10,accX_mins10,accY_mins10,accZ_mins10,accX_variances10,accY_variances10,accZ_variances10,accX_variances20,accY_variances20,accZ_variances20,accX_variances30,accY_variances30,accZ_variances30,tags
0.906932385,0.347391737,9.593775317,0.907363,0.347144,9.59315,0.931304,0.371085,9.61709,0.878634,0.318415,9.56921,7.42E-05,7.47E-05,7.82E-05,0.906381748,0.346894291,9.594546944,0.904969,0.347144,9.59555,1.12523,0.493184,9.73201,0.847511,0.306445,9.55724,0.000104743,9.17E-05,9.43E-05,0.906907656,0.347334275,9.593847755,0.907363,0.347144,9.59315,1.12523,0.493184,9.73201,0.797235,0.237016,9.55724,0.000109235,0.000106982,9.66E-05,0.097337543,0.347270388,0.03887343,0.118465588,0.283615828,0.031845884,3
0.90383203,0.345524332,9.592666417,0.902575,0.34475,9.59315,0.92891,0.368691,9.62428,0.881028,0.320809,9.56682,6.53E-05,7.72E-05,7.62E-05,0.90509425,0.34582958,9.594041586,0.904969,0.34475,9.59315,0.95764,0.409391,9.63625,0.852299,0.263351,9.55724,7.38E-05,8.44E-05,9.19E-05,0.906123184,0.346481574,9.593577235,0.904969,0.347144,9.59315,1.12523,0.493184,9.73201,0.797235,0.237016,9.55724,0.000101214,0.000102096,0.000101441,0.000764086,0.000352836,0.000121179,0.13130942,0.272897367,0.030935233,1
0.9024235,0.343908307,9.592390983,0.902575,0.342356,9.59315,0.931304,0.373479,9.61949,0.869058,0.320809,9.56203,6.34E-05,7.35E-05,8.56E-05,0.905086269,0.345599479,9.593194981,0.904969,0.34475,9.59315,0.964822,0.411785,9.64343,0.797235,0.237016,9.55724,8.22E-05,9.07E-05,9.42E-05,0.905222603,0.345313649,9.593258835,0.904969,0.34475,9.59315,1.12523,0.493184,9.73201,0.797235,0.237016,9.55724,0.000103992,0.000100329,0.000101234,0.003935682,0.001196522,0.000184314,0.142363304,0.262940922,0.030076813,1
0.904965238,0.344227508,9.58968965,0.904969,0.34475,9.58956,0.95764,0.409391,9.63625,0.878634,0.263351,9.55724,7.72E-05,0.00010616,9.18E-05,0.904396634,0.344645159,9.592018567,0.904969,0.34475,9.59076,0.964822,0.411785,9.64343,0.797235,0.237016,9.55724,8.04E-05,9.00E-05,9.66E-05,0.903992835,0.344355214,9.593222953,0.904969,0.34475,9.59315,0.964822,0.411785,9.64343,0.797235,0.237016,9.55724,8.49E-05,9.24E-05,9.74E-05,0.020668414,0.00602984,0.000549489,0.151835547,0.253678715,0.029277333,1
0.904430543,0.344127777,9.592562683,0.904969,0.34475,9.59315,0.964822,0.411785,9.64343,0.797235,0.237016,9.55724,0.000127462,0.000121633,0.000107244,0.90336518,0.343533898,9.591727347,0.902575,0.342356,9.59076,0.964822,0.411785,9.64343,0.797235,0.237016,9.55724,8.68E-05,9.53E-05,9.75E-05,0.903487687,0.343799782,9.59251746,0.902575,0.34475,9.59315,0.964822,0.411785,9.64343,0.797235,0.237016,9.55724,8.73E-05,9.34E-05,9.66E-05,0.037150706,0.011140554,0.000949033,0.15995483,0.245036423,0.028525693,1
0.90379611,0.342691293,9.59102635,0.904969,0.342356,9.59076,0.931304,0.368691,9.63385,0.883422,0.318415,9.56442,6.43E-05,7.43E-05,0.000131029,0.902791931,0.342785078,9.591676775,0.902575,0.342356,9.59076,0.964822,0.411785,9.64343,0.797235,0.237016,9.55724,8.91E-05,9.49E-05,9.90E-05,0.902562773,0.342866881,9.591826368,0.902575,0.342356,9.59076,0.964822,0.411785,9.64343,0.797235,0.237016,9.55724,8.77E-05,9.29E-05,9.37E-05,0.057433268,0.01315846,0.001526812,0.166666897,0.236968852,0.027801229,1
0.900743657,0.340724168,9.592028,0.900181,0.339962,9.59315,0.955245,0.406997,9.62428,0.840329,0.277715,9.56203,0.000112296,0.000106291,8.74E-05,0.902292505,0.342126038,9.591376175,0.902575,0.342356,9.59076,0.964822,0.411785,9.64343,0.797235,0.237016,9.55724,9.39E-05,9.70E-05,9.95E-05,0.901874074,0.342002612,9.591647235,0.902575,0.342356,9.59076,0.964822,0.411785,9.64343,0.797235,0.237016,9.55724,8.61E-05,9.24E-05,9.50E-05,0.080560153,0.01416418,0.002098039,0.125876639,0.012839443,0.003343129,1
0.900392538,0.341031417,9.592362983,0.900181,0.339962,9.59315,0.936093,0.371085,9.62906,0.871452,0.316021,9.56442,7.20E-05,7.58E-05,8.56E-05,0.901245763,0.341269487,9.591623553,0.900181,0.342356,9.59076,0.964822,0.411785,9.64343,0.797235,0.237016,9.55724,9.35E-05,9.21E-05,9.93E-05,0.91894521,0.350784567,9.58927229,0.902575,0.342356,9.59076,1.54419,0.837935,9.68174,0.598525,0.047882,9.46387,0.00762031,0.002272353,0.000251404,0.10093406,0.014933088,0.00259341,0.136154719,0.01317098,0.00358978,1
0.899426943,0.339954065,9.590587383,0.900181,0.339962,9.59076,0.938487,0.373479,9.61949,0.871452,0.311233,9.56921,8.28E-05,8.20E-05,8.83E-05,0.900514904,0.340373033,9.591527103,0.900181,0.339962,9.59076,0.955245,0.406997,9.64104,0.840329,0.277715,9.56203,8.29E-05,8.41E-05,9.72E-05,0.979597268,0.383292434,9.58048081,0.902575,0.342356,9.58836,1.56813,0.837935,9.68174,0.598525,0.047882,9.46387,0.038790079,0.011374106,0.000897269,0.118432487,0.0154826,0.003037177,0.144873574,0.01348589,0.003784928,1
0.898684787,0.339088203,9.591173917,0.897787,0.339962,9.59076,0.933698,0.368691,9.62188,0.869058,0.313627,9.56442,7.53E-05,7.63E-05,9.40E-05,0.928972784,0.355481798,9.587842206,0.900181,0.339962,9.59076,1.54419,0.837935,9.68174,0.598525,0.047882,9.46387,0.012394568,0.003669735,0.000343854,1.042606343,0.418354413,9.571001823,0.904969,0.34475,9.58836,1.65672,0.837935,9.68174,0.598525,0.047882,9.40402,0.065133026,0.019711862,0.001534866,0.132708127,0.015780696,0.003392302,0.151942592,0.013705396,0.003927934,1
