accX_variances5,accY_variances5,accZ_variances5,,accX_variances10,accY_variances10,accZ_variances10,,accX_variances20,accY_variances20,accZ_variances20,,accX_variances30,accY_variances30,accZ_variances30,,tags
1.202381253,0.276393434,1.606256033,3.08503072,1.202381253,0.276393434,1.606256033,3.08503072,1.202381253,0.276393434,1.606256033,3.08503072,1.202381253,0.276393434,1.606256033,3.08503072,1
13.85162216,31.06139404,9.095283608,54.00829981,13.85162216,31.06139404,9.095283608,54.00829981,13.85162216,31.06139404,9.095283608,54.00829981,13.85162216,31.06139404,9.095283608,54.00829981,1
22.52790182,33.27065318,6.164634994,61.96318999,22.52790182,33.27065318,6.164634994,61.96318999,22.52790182,33.27065318,6.164634994,61.96318999,22.52790182,33.27065318,6.164634994,61.96318999,1
21.8103155,30.58153644,4.753732367,57.14558431,21.8103155,30.58153644,4.753732367,57.14558431,21.8103155,30.58153644,4.753732367,57.14558431,21.8103155,30.58153644,4.753732367,57.14558431,1
19.80802003,27.45588522,3.914700778,51.17860603,19.80802003,27.45588522,3.914700778,51.17860603,19.80802003,27.45588522,3.914700778,51.17860603,19.80802003,27.45588522,3.914700778,51.17860603,1
10.43175434,11.43623711,3.620559117,25.48855057,17.8149702,24.49484811,3.318322787,45.6281411,17.8149702,24.49484811,3.318322787,45.6281411,17.8149702,24.49484811,3.318322787,45.6281411,1
0.093826295,0.715545969,0.425876021,1.235248285,16.14140921,21.30827852,2.943197298,40.39288503,16.14140921,21.30827852,2.943197298,40.39288503,16.14140921,21.30827852,2.943197298,40.39288503,1
0.049351343,0.716697657,0.464876797,1.230925797,14.69113873,18.83496041,2.622861004,36.14896014,14.69113873,18.83496041,2.622861004,36.14896014,14.69113873,18.83496041,2.622861004,36.14896014,1
0.097147295,1.03197131,1.015323053,2.144441658,13.41026557,16.88526302,2.677134481,32.97266307,13.41026557,16.88526302,2.677134481,32.97266307,13.41026557,16.88526302,2.677134481,32.97266307,1
0.171739383,1.023149263,2.028674145,3.223562791,12.21964666,15.20459713,3.157709623,30.58195341,12.21964666,15.20459713,3.157709623,30.58195341,12.21964666,15.20459713,3.157709623,30.58195341,1
0.251820215,0.725900156,2.61153352,3.589253891,5.583018048,6.287063378,3.753542423,15.62362385,11.1639891,13.85733348,3.695738641,28.71706122,11.1639891,13.85733348,3.695738641,28.71706122,1
0.289087152,1.758608551,2.900090523,4.947786226,0.24554832,2.015643906,2.946315231,5.207507457,10.26908563,13.20526898,4.036924443,27.51127905,10.26908563,13.20526898,4.036924443,27.51127905,1
0.257858773,3.942006371,3.897711252,8.097576396,0.235030288,2.626739223,3.125523762,5.987293273,9.577616985,13.25555448,3.907839792,26.74101126,9.577616985,13.25555448,3.907839792,26.74101126,1
0.297702952,4.812619881,4.081261787,9.19158462,0.282098171,2.937951912,3.183330186,6.403380269,9.020283383,12.91808979,3.750595714,25.68896889,9.020283383,12.91808979,3.750595714,25.68896889,1
0.283000145,5.329874801,4.863520532,10.47639548,0.281923721,3.42644013,3.446098318,7.154462169,8.474740212,12.78619619,3.767272874,25.02820928,8.474740212,12.78619619,3.767272874,25.02820928,1
0.329329468,4.131790345,3.423280397,7.88440021,0.300552489,3.738274467,3.737570626,7.776397582,8.021669689,12.42596413,3.741841879,24.1894757,8.021669689,12.42596413,3.741841879,24.1894757,1
0.289194752,1.520781122,0.709315122,2.519290996,0.294854698,3.978371403,3.998633068,8.271859169,7.615147379,12.03367627,3.668737765,23.31756141,7.615147379,12.03367627,3.668737765,23.31756141,1
0.457041651,2.224417629,0.920890299,3.602349579,0.35889302,5.160923613,4.584771182,10.10458782,7.211300137,12.47048091,3.744346023,23.42612707,7.211300137,12.47048091,3.744346023,23.42612707,1
0.351027146,1.993006114,0.606550702,2.950583962,0.324375586,5.350069045,4.434171908,10.10861654,6.839372099,12.52592357,3.606275666,22.97157134,6.839372099,12.52592357,3.606275666,22.97157134,1
0.327115338,1.930565107,0.572953966,2.830634411,0.30585878,4.780854493,3.677468449,8.764181722,6.511654939,12.32585577,3.493236163,22.33074687,6.511654939,12.32585577,3.493236163,22.33074687,1
6.860467107,22.55305643,0.54810562,29.96162916,3.995275297,13.34768931,2.251723126,19.59468773,4.818281301,10.59368957,3.502903724,18.9148746,7.796839384,15.38365042,3.427954923,26.60844473,1
9.515885371,41.18773109,0.969016371,51.67263283,6.642996807,23.59414461,0.84243743,31.07957885,3.934735419,12.92034351,2.784323804,19.63940273,8.626835481,18.73649644,3.363428415,30.72676034,1
9.202038008,41.50137669,1.559012817,52.26242752,7.402739221,30.77514091,1.369230722,39.54711085,4.641082069,16.80585661,2.902364958,24.34930364,8.749446195,20.90923145,3.329911561,32.98858921,1
9.683402068,32.71753475,9.910337387,52.31127421,10.17817085,33.53977731,6.515945777,50.23389394,6.880398769,18.6993898,5.086453454,30.66624202,10.08814671,21.55851882,5.04155095,36.68821648,1
5.970784841,26.45952916,18.05265771,50.48297171,12.94098238,32.56482404,13.72248251,59.22828893,9.53451937,18.66862015,8.589199247,36.79233877,11.76334718,20.85868938,7.793183637,40.4152202,1
3.912925146,26.0093598,17.7308195,47.65310445,14.04858953,31.95219077,18.86370791,64.86448821,11.81537416,18.62888625,11.6839151,42.12817551,13.200622,20.18911406,10.12618911,43.51592517,1
3.508902124,20.9099232,11.47810265,35.89692797,13.44757875,31.37823711,22.02219151,66.84800737,13.62189125,18.71658443,14.4255127,46.76398838,14.39381706,19.55438518,12.10377978,46.05198202,1
0.651813622,9.594284888,3.116614678,13.36271319,12.29353105,28.51538345,22.24215787,63.05107237,14.98276398,18.8073914,16.84631222,50.6364676,15.38613178,18.956075,13.77937649,48.12158327,1
