accX_means5,accY_means5,accZ_means5,accX_medians5,accY_medians5,accZ_medians5,accX_maxes5,accY_maxes5,accZ_maxes5,accX_mins5,accY_mins5,accZ_mins5,accX_variances5,accY_variances5,accZ_variances5,accX_means10,accY_means10,accZ_means10,accX_medians10,accY_medians10,accZ_medians10,accX_maxes10,accY_maxes10,accZ_maxes10,accX_mins10,accY_mins10,accZ_mins10,accX_variances10,accY_variances10,accZ_variances10,accX_means20,accY_means20,accZ_means20,accX_medians20,accY_medians20,accZ_medians20,accX_maxes20,accY_maxes20,accZ_maxes20,accX_mins20,accY_mins20,accZ_mins20,accX_variances20,accY_variances20,accZ_variances20,accX_means30,accY_means30,accZ_means30,accX_medians30,accY_medians30,accZ_medians30,accX_maxes30,accY_maxes30,accZ_maxes30,accX_mins30,accY_mins30,accZ_mins30,accX_variances30,accY_variances30,accZ_variances30,tags
-1.102689747,0.868626805,9.301368896,-1.11326,0.725412,9.58597,5.14971,11.3097,11.9442,-6.15523,-2.29833,-7.67548,0.323097187,1.346864292,3.90296712,-1.102689747,0.868626805,9.301368896,-1.11326,0.725412,9.58597,5.14971,11.3097,11.9442,-6.15523,-2.29833,-7.67548,0.323097187,1.346864292,3.90296712,-1.102689747,0.868626805,9.301368896,-1.11326,0.725412,9.58597,5.14971,11.3097,11.9442,-6.15523,-2.29833,-7.67548,0.323097187,1.346864292,3.90296712,-1.102689747,0.868626805,9.301368896,-1.11326,0.725412,9.58597,5.14971,11.3097,11.9442,-6.15523,-2.29833,-7.67548,0.323097187,1.346864292,3.90296712,1
-1.168495658,0.734519436,9.436090623,-1.174305,0.63683,9.57879,5.14971,11.3097,11.9442,-6.15523,-2.29833,-7.67548,0.1679482,0.692352099,1.995346636,-1.168495658,0.734519436,9.436090623,-1.174305,0.63683,9.57879,5.14971,11.3097,11.9442,-6.15523,-2.29833,-7.67548,0.1679482,0.692352099,1.995346636,-1.168495658,0.734519436,9.436090623,-1.174305,0.63683,9.57879,5.14971,11.3097,11.9442,-6.15523,-2.29833,-7.67548,0.1679482,0.692352099,1.995346636,-1.168495658,0.734519436,9.436090623,-1.174305,0.63683,9.57879,5.14971,11.3097,11.9442,-6.15523,-2.29833,-7.67548,0.1679482,0.692352099,1.995346636,1
-1.198999153,0.695107947,9.482224265,-1.23296,0.620072,9.5764,5.14971,11.3097,11.9442,-6.15523,-2.29833,-7.67548,0.114370001,0.46477047,1.339607616,-1.198999153,0.695107947,9.482224265,-1.23296,0.620072,9.5764,5.14971,11.3097,11.9442,-6.15523,-2.29833,-7.67548,0.114370001,0.46477047,1.339607616,-1.198999153,0.695107947,9.482224265,-1.23296,0.620072,9.5764,5.14971,11.3097,11.9442,-6.15523,-2.29833,-7.67548,0.114370001,0.46477047,1.339607616,-1.198999153,0.695107947,9.482224265,-1.23296,0.620072,9.5764,5.14971,11.3097,11.9442,-6.15523,-2.29833,-7.67548,0.114370001,0.46477047,1.339607616,1
-1.210742607,0.677969868,9.506168882,-1.24254,0.622466,9.5764,5.14971,11.3097,11.9442,-6.15523,-2.29833,-7.67548,0.086689233,0.349538358,1.008485116,-1.210742607,0.677969868,9.506168882,-1.24254,0.622466,9.5764,5.14971,11.3097,11.9442,-6.15523,-2.29833,-7.67548,0.086689233,0.349538358,1.008485116,-1.210742607,0.677969868,9.506168882,-1.24254,0.622466,9.5764,5.14971,11.3097,11.9442,-6.15523,-2.29833,-7.67548,0.086689233,0.349538358,1.008485116,-1.210742607,0.677969868,9.506168882,-1.24254,0.622466,9.5764,5.14971,11.3097,11.9442,-6.15523,-2.29833,-7.67548,0.086689233,0.349538358,1.008485116,1
-2.316787688,-0.090758668,8.24522168,-1.25451,0.617678,9.57161,5.14971,11.3097,11.9442,-16.943,-6.24381,-7.67548,6.935237585,3.637366243,9.821370037,-2.316787688,-0.090758668,8.24522168,-1.25451,0.617678,9.57161,5.14971,11.3097,11.9442,-16.943,-6.24381,-7.67548,6.935237585,3.637366243,9.821370037,-2.316787688,-0.090758668,8.24522168,-1.25451,0.617678,9.57161,5.14971,11.3097,11.9442,-16.943,-6.24381,-7.67548,6.935237585,3.637366243,9.821370037,-2.316787688,-0.090758668,8.24522168,-1.25451,0.617678,9.57161,5.14971,11.3097,11.9442,-16.943,-6.24381,-7.67548,6.935237585,3.637366243,9.821370037,1
-3.903857365,-0.933358499,6.493742137,-1.27605,0.600919,9.55964,0.7709,2.23848,11.664,-16.943,-6.24381,-6.9357,13.09474003,4.614927842,17.64486719,-3.436996095,-0.633027615,6.96167993,-1.26648,0.610495,9.56442,5.14971,11.3097,11.9442,-16.943,-6.24381,-7.67548,12.05593012,4.521243783,16.4493794,-3.436996095,-0.633027615,6.96167993,-1.26648,0.610495,9.56442,5.14971,11.3097,11.9442,-16.943,-6.24381,-7.67548,12.05593012,4.521243783,16.4493794,-3.436996095,-0.633027615,6.96167993,-1.26648,0.610495,9.56442,5.14971,11.3097,11.9442,-16.943,-6.24381,-7.67548,12.05593012,4.521243783,16.4493794,1
-5.228117173,-1.638194722,5.12374239,-7.15357,-2.792715,5.642895,0.861876,9.48302,18.0683,-16.943,-6.24381,-6.9357,13.48296985,5.25278792,18.85480276,-4.068225312,-0.960276391,6.355841885,-1.27845,0.600919,9.55245,5.14971,11.3097,18.0683,-16.943,-6.24381,-7.67548,13.04205078,5.098739415,17.83298821,-4.068225312,-0.960276391,6.355841885,-1.27845,0.600919,9.55245,5.14971,11.3097,18.0683,-16.943,-6.24381,-7.67548,13.04205078,5.098739415,17.83298821,-4.068225312,-0.960276391,6.355841885,-1.27845,0.600919,9.55245,5.14971,11.3097,18.0683,-16.943,-6.24381,-7.67548,13.04205078,5.098739415,17.83298821,1
-6.347498828,-2.427976015,4.37858876,-7.20624,-3.29907,5.50643,0.861876,9.48302,18.0683,-16.943,-6.24381,-6.9357,9.62271696,4.189713485,14.45795254,-4.41681145,-1.25681953,6.292452074,-1.3,0.58416,9.50098,5.14971,11.3097,18.0683,-16.943,-6.24381,-7.67548,12.26967644,5.078872378,15.64336117,-4.41681145,-1.25681953,6.292452074,-1.3,0.58416,9.50098,5.14971,11.3097,18.0683,-16.943,-6.24381,-7.67548,12.26967644,5.078872378,15.64336117,-4.41681145,-1.25681953,6.292452074,-1.3,0.58416,9.50098,5.14971,11.3097,18.0683,-16.943,-6.24381,-7.67548,12.26967644,5.078872378,15.64336117,1
-7.480365598,-3.221356458,3.604714692,-7.60605,-3.40321,4.98691,0.861876,9.48302,18.0683,-16.943,-6.24381,-6.9357,3.319001247,1.871976938,8.956453259,-4.693866491,-1.488322536,6.227583221,-6.01278,-2.77955,6.60532,5.14971,11.3097,18.0683,-16.943,-6.24381,-7.67548,11.58813972,4.94959579,14.02332212,-4.693866491,-1.488322536,6.227583221,-6.01278,-2.77955,6.60532,5.14971,11.3097,18.0683,-16.943,-6.24381,-7.67548,11.58813972,4.94959579,14.02332212,-4.693866491,-1.488322536,6.227583221,-6.01278,-2.77955,6.60532,5.14971,11.3097,18.0683,-16.943,-6.24381,-7.67548,11.58813972,4.94959579,14.02332212,1
-7.536871072,-3.263080066,4.092593728,-7.13202,-3.37807,5.579445,0.861876,9.48302,18.0683,-10.9841,-6.10974,-0.505155,1.281524978,0.880608891,6.890646156,-4.92682938,-1.676919367,6.168907704,-6.590955,-3.118315,6.049885,5.14971,11.3097,18.0683,-16.943,-6.24381,-7.67548,10.92069892,4.77489333,12.66708782,-4.92682938,-1.676919367,6.168907704,-6.590955,-3.118315,6.049885,5.14971,11.3097,18.0683,-16.943,-6.24381,-7.67548,10.92069892,4.77489333,12.66708782,-4.92682938,-1.676919367,6.168907704,-6.590955,-3.118315,6.049885,5.14971,11.3097,18.0683,-16.943,-6.24381,-7.67548,10.92069892,4.77489333,12.66708782,1
