accX_variances5,accY_variances5,accZ_variances5,accSum_variance5,accX_variances10,accY_variances10,accZ_variances10,accSum_variance10,accX_variances20,accY_variances20,accZ_variances20,accSum_variance20,accX_variances30,accY_variances30,accZ_variances30,accSum_variance30,tags
1.207726161,1.103423504,0.353500363,2.664650028,1.207726161,1.103423504,0.353500363,2.664650028,1.207726161,1.103423504,0.353500363,2.664650028,1.207726161,1.103423504,0.353500363,2.664650028,1
1.197992245,2.436247746,0.638804696,4.273044687,1.197992245,2.436247746,0.638804696,4.273044687,1.197992245,2.436247746,0.638804696,4.273044687,1.197992245,2.436247746,0.638804696,4.273044687,1
1.524596563,3.945541117,0.759820177,6.229957857,1.524596563,3.945541117,0.759820177,6.229957857,1.524596563,3.945541117,0.759820177,6.229957857,1.524596563,3.945541117,0.759820177,6.229957857,1
1.43735963,3.878214874,0.694235609,6.009810113,1.43735963,3.878214874,0.694235609,6.009810113,1.43735963,3.878214874,0.694235609,6.009810113,1.43735963,3.878214874,0.694235609,6.009810113,1
1.292925563,3.548589832,0.614388136,5.455903531,1.292925563,3.548589832,0.614388136,5.455903531,1.292925563,3.548589832,0.614388136,5.455903531,1.292925563,3.548589832,0.614388136,5.455903531,1
0.808261169,1.88147587,0.370097997,3.059835036,1.158670534,3.206328904,0.54420973,4.909209168,1.158670534,3.206328904,0.54420973,4.909209168,1.158670534,3.206328904,0.54420973,4.909209168,1
0.013017701,0.008091336,0.005556786,0.026665823,1.032144107,2.900562107,0.484844391,4.417550605,1.032144107,2.900562107,0.484844391,4.417550605,1.032144107,2.900562107,0.484844391,4.417550605,1
0.038930519,0.000521538,0.001297399,0.040749456,0.904270654,2.636117269,0.433589074,3.973976997,0.904270654,2.636117269,0.433589074,3.973976997,0.904270654,2.636117269,0.433589074,3.973976997,1
0.050757314,0.000628739,0.00153603,0.052922083,0.80928444,2.408933545,0.392237896,3.610455881,0.80928444,2.408933545,0.392237896,3.610455881,0.80928444,2.408933545,0.392237896,3.610455881,1
0.061088471,0.00083535,0.001689558,0.063613379,0.733197548,2.215625906,0.35739302,3.306216474,0.733197548,2.215625906,0.35739302,3.306216474,0.733197548,2.215625906,0.35739302,3.306216474,1
0.051544116,0.001048342,0.001484298,0.054076756,0.431841177,1.018289152,0.193204743,1.643335072,0.68202817,2.046453109,0.329733776,3.058215055,0.68202817,2.046453109,0.329733776,3.058215055,1
0.051117681,0.000740194,0.000912983,0.052770858,0.048356272,0.004436382,0.003606935,0.056399589,0.640583192,1.901725228,0.306071455,2.848379875,0.640583192,1.901725228,0.306071455,2.848379875,1
0.128802309,0.003866392,0.002606133,0.135274834,0.099111558,0.002195884,0.002362377,0.103669819,0.613894455,1.786648595,0.283484382,2.684027432,0.613894455,1.786648595,0.283484382,2.684027432,1
0.140780333,0.004015807,0.002726529,0.147522669,0.099248128,0.002321892,0.00227204,0.10384206,0.581527825,1.675743962,0.265656757,2.522928544,0.581527825,1.675743962,0.265656757,2.522928544,1
0.31963586,0.112560843,0.069529725,0.501726428,0.19035489,0.0569613,0.035708228,0.283024418,0.606782701,1.603048369,0.270471664,2.480302734,0.606782701,1.603048369,0.270471664,2.480302734,1
4.07191903,5.955007522,5.467149848,15.4940764,2.084104004,3.238973072,2.952339504,8.27541658,1.744279149,3.306248682,2.051809562,7.102337393,1.744279149,3.306248682,2.051809562,7.102337393,1
8.804043381,7.247712867,11.10289709,27.15465334,4.426901696,4.03727974,6.19893245,14.66311389,3.047033418,3.588625261,3.905872016,10.5415307,3.047033418,3.588625261,3.905872016,10.5415307,1
8.712794484,7.196168502,11.18753771,27.0965007,4.440291102,4.038134783,6.210351661,14.68877755,2.894630241,3.421656796,3.7113509,10.02763794,2.894630241,3.421656796,3.7113509,10.02763794,1
8.714458447,7.203370368,11.20450733,27.12233615,4.447332346,4.040604318,6.218991133,14.7069278,2.756545499,3.268977592,3.534433548,9.559956639,2.756545499,3.268977592,3.534433548,9.559956639,1
8.483832227,7.179038496,11.2065301,26.86940082,4.438358432,4.038180438,6.228398474,14.70493734,2.629800678,3.126647248,3.373026414,9.12947434,2.629800678,3.126647248,3.373026414,9.12947434,1
4.261290109,1.844163282,6.950166071,13.05561946,4.443669498,4.037652779,6.230147629,14.71146991,2.455833319,2.56242025,3.33336315,8.351616719,2.5138895,2.995095905,3.225418888,8.734404293,1
0.001544145,0.001164799,0.00037016,0.003079104,4.448102093,4.035317426,6.230638218,14.71405774,2.250658817,2.125154462,3.278708404,7.654521683,2.407897088,2.873945823,3.089921183,8.371764094,1
0.001922432,0.001073893,0.00036632,0.003362645,4.369538488,4.01619057,6.246550324,14.63227938,2.252980325,2.12446881,3.277002847,7.654451982,2.310685928,2.762667895,2.9652572,8.038611023,1
0.002236438,0.000850133,0.000171337,0.003257908,4.366244658,4.019222926,6.249383343,14.63485093,2.258119372,2.125065793,3.276492516,7.659677681,2.223977337,2.661771131,2.850491324,7.736239792,1
0.003131611,0.001163913,0.000170955,0.004466479,4.244948998,3.992686973,6.23320437,14.47084034,2.263312941,2.125554938,3.276287211,7.66515509,2.143930342,2.568109409,2.744357252,7.456397003,1
0.003068636,0.001100002,0.000170595,0.004339233,2.146379287,0.942659134,3.586521932,6.675560353,2.268204948,2.125915838,3.276155924,7.67027671,2.069468771,2.480710979,2.645725975,7.195905725,1
