accX_variances5,accY_variances5,accZ_variances5,,accX_variances10,accY_variances10,accZ_variances10,,accX_variances20,accY_variances20,accZ_variances20,,accX_variances30,accY_variances30,accZ_variances30,,tags
4.953112042,6.882633648,19.19216046,31.02790615,4.953112042,6.882633648,19.19216046,31.02790615,4.953112042,6.882633648,19.19216046,31.02790615,4.953112042,6.882633648,19.19216046,31.02790615,1
8.591729618,9.323367343,35.86851159,53.78360855,8.591729618,9.323367343,35.86851159,53.78360855,8.591729618,9.323367343,35.86851159,53.78360855,8.591729618,9.323367343,35.86851159,53.78360855,1
6.810192128,7.432832905,29.62735836,43.87038339,6.810192128,7.432832905,29.62735836,43.87038339,6.810192128,7.432832905,29.62735836,43.87038339,6.810192128,7.432832905,29.62735836,43.87038339,1
5.504998472,6.016731342,24.33843625,35.86016606,5.504998472,6.016731342,24.33843625,35.86016606,5.504998472,6.016731342,24.33843625,35.86016606,5.504998472,6.016731342,24.33843625,35.86016606,1
4.592181104,5.021016833,20.48050324,30.09370118,4.592181104,5.021016833,20.48050324,30.09370118,4.592181104,5.021016833,20.48050324,30.09370118,4.592181104,5.021016833,20.48050324,30.09370118,1
0.018586889,0.002795669,0.001141863,0.022524421,3.930518712,4.297547058,17.62714121,25.85520698,3.930518712,4.297547058,17.62714121,25.85520698,3.930518712,4.297547058,17.62714121,25.85520698,1
0.000205985,0.000474845,0.000251771,0.000932601,3.432203755,3.75161398,15.45028232,22.63410006,3.432203755,3.75161398,15.45028232,22.63410006,3.432203755,3.75161398,15.45028232,22.63410006,1
9.86E-05,0.000256336,0.00011606,0.000470996,3.04455597,3.326361861,13.74233731,20.11325514,3.04455597,3.326361861,13.74233731,20.11325514,3.04455597,3.326361861,13.74233731,20.11325514,1
7.93E-05,0.000210125,0.000102025,0.00039145,2.734756792,2.986286819,12.36890725,18.08995086,2.734756792,2.986286819,12.36890725,18.08995086,2.734756792,2.986286819,12.36890725,18.08995086,1
7.72E-05,0.000182585,9.57E-05,0.000355485,2.481608797,2.708668101,11.24259142,16.43286832,2.481608797,2.708668101,11.24259142,16.43286832,2.481608797,2.708668101,11.24259142,16.43286832,1
7.60E-05,0.000185791,9.08E-05,0.000352591,0.010507569,0.002389245,0.000870199,0.013767013,2.271331703,2.477364358,10.30257758,15.05127364,2.271331703,2.477364358,10.30257758,15.05127364,1
7.39E-05,0.000174754,8.76E-05,0.000336254,0.000172184,0.000697452,0.000238372,0.001108008,2.093673613,2.282140809,9.506532143,13.88234657,2.093673613,2.282140809,9.506532143,13.88234657,1
7.28E-05,0.000165152,8.60E-05,0.000323952,9.61E-05,0.000463536,0.000128139,0.000687775,1.941600796,2.115223605,8.82429649,12.88112089,1.941600796,2.115223605,8.82429649,12.88112089,1
7.42E-05,0.000152843,8.78E-05,0.000314843,8.04E-05,0.0003754,0.000105109,0.000560909,1.810133337,1.970893564,8.233139609,12.01416651,1.810133337,1.970893564,8.233139609,12.01416651,1
7.44E-05,0.000123044,8.92E-05,0.000286644,7.68E-05,0.000312436,9.70E-05,0.000486236,1.695260081,1.844963611,7.715861894,11.25608559,1.695260081,1.844963611,7.715861894,11.25608559,1
7.39E-05,0.000119443,8.98E-05,0.000283143,7.56E-05,0.000265265,9.16E-05,0.000432465,1.594123235,1.733997003,7.259449276,10.58756951,1.594123235,1.733997003,7.259449276,10.58756951,1
0.004991629,0.004092171,0.000312969,0.009396769,0.002638879,0.002133767,0.00020462,0.004977266,1.509113123,1.639580857,6.855547067,10.00424105,1.509113123,1.639580857,6.855547067,10.00424105,1
0.0120946,0.012843538,0.001105022,0.02604316,0.00729547,0.007323589,0.000697374,0.015316433,1.437651397,1.561364389,6.497640507,9.496656293,1.437651397,1.561364389,6.497640507,9.496656293,1
